Antigua and Barbuda,year,obs_anoms,smoothed_anoms,ssp126,ssp245,ssp370,ssp585
0,1800,,,,,,
1,1801,,,,,,
2,1802,,,,,,
3,1803,,,,,,
4,1804,,,,,,
5,1805,,,,,,
6,1806,,,,,,
7,1807,,,,,,
8,1808,,,,,,
9,1809,,,,,,
10,1810,,,,,,
11,1811,,,,,,
12,1812,,,,,,
13,1813,,,,,,
14,1814,,,,,,
15,1815,,,,,,
16,1816,,,,,,
17,1817,,,,,,
18,1818,,,,,,
19,1819,,,,,,
20,1820,,,,,,
21,1821,,,,,,
22,1822,,,,,,
23,1823,,,,,,
24,1824,-0.017000000000000126,0.05,,,,
25,1825,0.16299999999999987,0.04,,,,
26,1826,-0.027000000000000135,0.04,,,,
27,1827,0.22299999999999986,0.04,,,,
28,1828,-0.007000000000000117,0.03,,,,
29,1829,-0.1070000000000001,0.03,,,,
30,1830,,,,,,
31,1831,,,,,,
32,1832,,,,,,
33,1833,,,,,,
34,1834,,,,,,
35,1835,,,,,,
36,1836,,,,,,
37,1837,,,,,,
38,1838,,,,,,
39,1839,,,,,,
40,1840,,,,,,
41,1841,,,,,,
42,1842,,,,,,
43,1843,,,,,,
44,1844,,,,,,
45,1845,,,,,,
46,1846,,,,,,
47,1847,,,,,,
48,1848,,,,,,
49,1849,,,,,,
50,1850,,,0.49,0.48,0.48,0.48
51,1851,0.0129999999999999,-0.02,0.49,0.48,0.48,0.48
52,1852,-0.17700000000000016,-0.04,0.49,0.48,0.48,0.48
53,1853,0.03299999999999986,-0.06,0.49,0.48,0.48,0.48
54,1854,-0.1170000000000001,-0.09,0.49,0.48,0.48,0.48
55,1855,0.05299999999999988,-0.11,0.49,0.48,0.47,0.48
56,1856,0.15299999999999986,-0.13,0.49,0.48,0.47,0.48
57,1857,-0.42700000000000016,-0.15,0.49,0.48,0.47,0.48
58,1858,-0.39700000000000013,-0.17,0.49,0.48,0.47,0.48
59,1859,-0.30700000000000016,-0.19,0.49,0.48,0.47,0.48
60,1860,-0.21700000000000008,-0.19,0.49,0.48,0.47,0.48
61,1861,-0.13700000000000012,-0.17,0.49,0.48,0.47,0.48
62,1862,-0.29700000000000015,-0.14,0.49,0.48,0.47,0.48
63,1863,-0.18700000000000017,-0.09,0.49,0.48,0.47,0.48
64,1864,-0.1170000000000001,-0.03,0.49,0.48,0.47,0.48
65,1865,0.11299999999999988,0.02,0.49,0.48,0.47,0.48
66,1866,0.14299999999999985,0.07,0.49,0.48,0.47,0.48
67,1867,0.16299999999999987,0.11,0.49,0.48,0.47,0.48
68,1868,0.3729999999999999,0.14,0.49,0.48,0.48,0.48
69,1869,0.3829999999999999,0.15,0.49,0.49,0.48,0.48
70,1870,-0.027000000000000135,0.16,0.49,0.49,0.48,0.48
71,1871,0.17299999999999988,0.16,0.49,0.49,0.48,0.48
72,1872,0.3729999999999999,0.15,0.49,0.49,0.48,0.48
73,1873,0.05299999999999988,0.14,0.49,0.49,0.48,0.48
74,1874,-0.04700000000000015,0.12,0.49,0.49,0.48,0.48
75,1875,-0.027000000000000135,0.09,0.49,0.49,0.49,0.48
76,1876,0.12299999999999989,0.06,0.49,0.49,0.49,0.48
77,1877,0.3929999999999999,0.03,0.5,0.49,0.49,0.48
78,1878,0.47299999999999986,0.0,0.49,0.48,0.48,0.48
79,1879,-0.20700000000000007,-0.02,0.49,0.48,0.48,0.48
80,1880,-0.3270000000000002,-0.04,0.49,0.48,0.48,0.47
81,1881,0.03299999999999986,-0.06,0.48,0.47,0.47,0.47
82,1882,-0.15700000000000014,-0.08,0.48,0.47,0.47,0.46
83,1883,-0.2270000000000001,-0.1,0.48,0.46,0.46,0.46
84,1884,-0.2570000000000001,-0.11,0.47,0.46,0.46,0.45
85,1885,0.23299999999999987,-0.1,0.47,0.46,0.46,0.45
86,1886,-0.1170000000000001,-0.1,0.46,0.45,0.46,0.45
87,1887,-0.2570000000000001,-0.1,0.46,0.45,0.45,0.44
88,1888,0.0729999999999999,-0.11,0.46,0.45,0.45,0.44
89,1889,0.3829999999999999,-0.12,0.46,0.45,0.45,0.44
90,1890,-0.43700000000000017,-0.12,0.46,0.45,0.45,0.44
91,1891,-0.06700000000000017,-0.12,0.45,0.45,0.45,0.44
92,1892,-0.13700000000000012,-0.12,0.45,0.45,0.45,0.44
93,1893,-0.29700000000000015,-0.11,0.46,0.45,0.45,0.44
94,1894,-0.30700000000000016,-0.09,0.46,0.45,0.45,0.45
95,1895,-0.07700000000000018,-0.07,0.46,0.46,0.46,0.45
96,1896,-0.027000000000000135,-0.04,0.46,0.46,0.46,0.45
97,1897,0.17299999999999988,0.01,0.46,0.46,0.46,0.45
98,1898,0.14299999999999985,0.04,0.46,0.46,0.46,0.45
99,1899,-0.04700000000000015,0.08,0.46,0.45,0.45,0.45
