Australia,year,obs_anoms,smoothed_anoms,ssp126,ssp245,ssp370,ssp585
0,1800,,,,,,
1,1801,,,,,,
2,1802,,,,,,
3,1803,,,,,,
4,1804,,,,,,
5,1805,,,,,,
6,1806,,,,,,
7,1807,,,,,,
8,1808,,,,,,
9,1809,,,,,,
10,1810,,,,,,
11,1811,,,,,,
12,1812,,,,,,
13,1813,,,,,,
14,1814,,,,,,
15,1815,,,,,,
16,1816,,,,,,
17,1817,,,,,,
18,1818,,,,,,
19,1819,,,,,,
20,1820,,,,,,
21,1821,,,,,,
22,1822,,,,,,
23,1823,,,,,,
24,1824,,,,,,
25,1825,,,,,,
26,1826,,,,,,
27,1827,,,,,,
28,1828,,,,,,
29,1829,,,,,,
30,1830,,,,,,
31,1831,,,,,,
32,1832,,,,,,
33,1833,,,,,,
34,1834,,,,,,
35,1835,,,,,,
36,1836,,,,,,
37,1837,,,,,,
38,1838,,,,,,
39,1839,,,,,,
40,1840,,,,,,
41,1841,,,,,,
42,1842,,,,,,
43,1843,,,,,,
44,1844,,,,,,
45,1845,,,,,,
46,1846,,,,,,
47,1847,,,,,,
48,1848,,,,,,
49,1849,,,,,,
50,1850,,,0.06,0.06,0.07,0.06
51,1851,,,0.06,0.05,0.07,0.06
52,1852,,,0.06,0.05,0.06,0.05
53,1853,-0.5407692307692308,-0.2,0.06,0.05,0.06,0.05
54,1854,,,0.05,0.04,0.05,0.04
55,1855,,,0.05,0.04,0.05,0.04
56,1856,0.029230769230769227,-0.16,0.05,0.03,0.05,0.04
57,1857,-0.06076923076923074,-0.14,0.05,0.03,0.04,0.03
58,1858,0.17923076923076922,-0.12,0.04,0.03,0.04,0.03
59,1859,0.12923076923076923,-0.1,0.04,0.03,0.04,0.03
60,1860,-0.17076923076923078,-0.08,0.04,0.02,0.03,0.02
61,1861,-0.2007692307692308,-0.06,0.04,0.02,0.03,0.02
62,1862,-0.1807692307692308,-0.04,0.04,0.02,0.03,0.02
63,1863,-0.15076923076923077,-0.03,0.03,0.02,0.03,0.02
64,1864,-0.36076923076923073,-0.02,0.03,0.02,0.03,0.02
65,1865,-0.1907692307692308,-0.02,0.03,0.02,0.03,0.02
66,1866,0.09923076923076923,-0.01,0.03,0.02,0.03,0.02
67,1867,0.4392307692307692,-0.0,0.03,0.02,0.03,0.02
68,1868,0.17923076923076922,-0.0,0.03,0.02,0.03,0.02
69,1869,0.24923076923076923,-0.0,0.04,0.02,0.04,0.02
70,1870,0.09923076923076923,-0.0,0.04,0.03,0.04,0.03
71,1871,0.07923076923076922,-0.01,0.05,0.03,0.05,0.03
72,1872,-0.17076923076923078,-0.02,0.05,0.04,0.05,0.04
73,1873,-0.3207692307692308,-0.03,0.05,0.04,0.06,0.04
74,1874,-0.2907692307692308,-0.03,0.05,0.04,0.06,0.04
75,1875,-0.1907692307692308,-0.02,0.05,0.04,0.06,0.04
76,1876,-0.1907692307692308,-0.0,0.05,0.04,0.06,0.04
77,1877,0.36923076923076925,0.02,0.05,0.03,0.05,0.03
78,1878,1.0492307692307692,0.05,0.04,0.03,0.05,0.03
79,1879,-0.13076923076923075,0.08,0.04,0.02,0.04,0.02
80,1880,0.24923076923076923,0.12,0.03,0.01,0.03,0.01
81,1881,0.4492307692307692,0.15,0.03,0.01,0.03,0.01
82,1882,0.3192307692307692,0.17,0.02,0.01,0.02,0.01
83,1883,0.15923076923076923,0.18,0.02,0.0,0.02,0.0
84,1884,0.18923076923076923,0.19,0.02,0.0,0.02,0.0
85,1885,0.10923076923076924,0.18,0.02,0.0,0.02,0.0
86,1886,0.0692307692307692,0.17,0.02,0.0,0.02,0.0
87,1887,-0.1807692307692308,0.15,0.02,0.0,0.01,0.0
88,1888,0.5792307692307692,0.13,0.02,-0.0,0.01,-0.0
89,1889,0.7792307692307692,0.1,0.02,0.0,0.01,0.0
90,1890,0.08923076923076922,0.09,0.02,0.0,0.01,0.0
91,1891,-0.5707692307692308,0.09,0.03,0.01,0.02,0.01
92,1892,0.15923076923076923,0.09,0.04,0.02,0.02,0.02
93,1893,0.17923076923076922,0.09,0.05,0.03,0.03,0.03
94,1894,-0.4407692307692308,0.09,0.06,0.04,0.04,0.04
95,1895,-0.06076923076923074,0.1,0.07,0.05,0.05,0.05
96,1896,0.029230769230769227,0.1,0.08,0.05,0.06,0.05
97,1897,0.47923076923076924,0.11,0.08,0.06,0.07,0.06
98,1898,0.25923076923076926,0.11,0.08,0.06,0.07,0.06
99,1899,-0.12076923076923074,0.11,0.08,0.06,0.08,0.06
100,1900,0.41923076923076924,0.11,0.09,0.06,0.08,0.06
101,1901,0.30923076923076925,0.11,0.09,0.07,0.08,0.07
102,1902,0.2792307692307692,0.09,0.09,0.07,0.09,0.07
103,1903,-0.11076923076923079,0.07,0.1,0.08,0.09,0.08
