Azerbaijan,year,obs_anoms,smoothed_anoms,ssp126,ssp245,ssp370,ssp585
0,1800,,,,,,
1,1801,,,,,,
2,1802,,,,,,
3,1803,,,,,,
4,1804,,,,,,
5,1805,,,,,,
6,1806,,,,,,
7,1807,,,,,,
8,1808,,,,,,
9,1809,-1.3890322580645162,-1.34,,,,
10,1810,-1.2890322580645162,-1.27,,,,
11,1811,-1.3790322580645162,-1.21,,,,
12,1812,-1.0990322580645162,-1.15,,,,
13,1813,-0.8490322580645162,-1.08,,,,
14,1814,-0.4590322580645162,-1.01,,,,
15,1815,-1.0790322580645162,-0.95,,,,
16,1816,-1.3690322580645162,-0.88,,,,
17,1817,-1.1190322580645162,-0.81,,,,
18,1818,-0.04903225806451622,-0.75,,,,
19,1819,-0.8790322580645162,-0.68,,,,
20,1820,-0.7590322580645161,-0.62,,,,
21,1821,-0.37903225806451624,-0.56,,,,
22,1822,-0.8390322580645162,-0.5,,,,
23,1823,-0.23903225806451622,-0.45,,,,
24,1824,0.5009677419354838,-0.41,,,,
25,1825,-0.4590322580645162,-0.39,,,,
26,1826,-0.3290322580645162,-0.38,,,,
27,1827,0.5909677419354837,-0.39,,,,
28,1828,-0.5890322580645162,-0.4,,,,
29,1829,-0.42903225806451617,-0.42,,,,
30,1830,0.08096774193548378,-0.45,,,,
31,1831,-0.6390322580645162,-0.5,,,,
32,1832,-1.5290322580645161,-0.54,,,,
33,1833,-0.4390322580645162,-0.59,,,,
34,1834,-0.5390322580645162,-0.62,,,,
35,1835,-0.9190322580645163,-0.65,,,,
36,1836,-0.5590322580645162,-0.66,,,,
37,1837,-0.7790322580645161,-0.65,,,,
38,1838,-1.0190322580645161,-0.63,,,,
39,1839,-0.6890322580645163,-0.59,,,,
40,1840,-0.8590322580645162,-0.54,,,,
41,1841,-0.6390322580645162,-0.49,,,,
42,1842,-0.2090322580645162,-0.44,,,,
43,1843,0.05096774193548381,-0.38,,,,
44,1844,-0.4790322580645162,-0.31,,,,
45,1845,-0.40903225806451615,-0.24,,,,
46,1846,0.2309677419354838,-0.18,,,,
47,1847,-0.10903225806451622,-0.12,,,,
48,1848,-0.14903225806451625,-0.08,,,,
49,1849,0.09096774193548379,-0.05,,,,
50,1850,-0.4590322580645162,-0.04,0.34,0.31,0.34,0.33
51,1851,0.6609677419354838,-0.03,0.34,0.32,0.35,0.33
52,1852,0.06096774193548382,-0.03,0.35,0.32,0.35,0.34
53,1853,0.3109677419354838,-0.03,0.36,0.33,0.36,0.35
54,1854,-0.38903225806451625,-0.04,0.36,0.34,0.37,0.35
55,1855,0.4209677419354838,-0.07,0.37,0.34,0.38,0.36
56,1856,-0.07903225806451619,-0.1,0.37,0.35,0.38,0.36
57,1857,-0.7590322580645161,-0.14,0.38,0.36,0.39,0.37
58,1858,-0.23903225806451622,-0.17,0.38,0.36,0.4,0.38
59,1859,0.3609677419354838,-0.2,0.39,0.37,0.41,0.38
60,1860,0.14096774193548378,-0.22,0.4,0.38,0.41,0.39
61,1861,-0.9090322580645163,-0.23,0.4,0.38,0.42,0.39
62,1862,-1.0790322580645162,-0.22,0.41,0.39,0.42,0.4
63,1863,-0.42903225806451617,-0.21,0.41,0.39,0.43,0.4
64,1864,-0.29903225806451617,-0.18,0.42,0.4,0.43,0.41
65,1865,-0.06903225806451618,-0.15,0.42,0.4,0.43,0.41
66,1866,-0.1990322580645162,-0.11,0.42,0.39,0.43,0.41
67,1867,-0.04903225806451622,-0.07,0.41,0.39,0.43,0.4
68,1868,0.030967741935483795,-0.01,0.41,0.39,0.43,0.4
69,1869,0.4509677419354838,0.04,0.41,0.38,0.43,0.39
70,1870,0.07096774193548377,0.1,0.4,0.38,0.42,0.39
71,1871,-0.06903225806451618,0.16,0.4,0.38,0.42,0.39
72,1872,0.6609677419354838,0.21,0.39,0.38,0.42,0.38
73,1873,0.4609677419354838,0.24,0.39,0.37,0.42,0.38
74,1874,-0.0890322580645162,0.25,0.38,0.37,0.41,0.37
75,1875,-0.17903225806451617,0.24,0.38,0.36,0.41,0.36
76,1876,0.4609677419354838,0.22,0.37,0.36,0.41,0.36
77,1877,0.6809677419354838,0.18,0.36,0.35,0.4,0.35
78,1878,0.6209677419354838,0.15,0.35,0.34,0.39,0.34
79,1879,0.8709677419354838,0.12,0.34,0.33,0.38,0.33
80,1880,-0.9690322580645161,0.09,0.33,0.32,0.37,0.32
81,1881,-0.3090322580645162,0.07,0.32,0.31,0.36,0.31
82,1882,-0.28903225806451616,0.06,0.31,0.3,0.35,0.3
83,1883,0.2109677419354838,0.04,0.3,0.29,0.34,0.29
84,1884,-0.38903225806451625,0.02,0.3,0.29,0.34,0.29
85,1885,-0.03903225806451621,0.0,0.3,0.29,0.34,0.29
86,1886,-0.6090322580645162,-0.01,0.29,0.29,0.34,0.29
