Benin,year,obs_anoms,smoothed_anoms,ssp126,ssp245,ssp370,ssp585
0,1800,,,,,,
1,1801,,,,,,
2,1802,,,,,,
3,1803,,,,,,
4,1804,,,,,,
5,1805,,,,,,
6,1806,,,,,,
7,1807,,,,,,
8,1808,,,,,,
9,1809,,,,,,
10,1810,,,,,,
11,1811,,,,,,
12,1812,,,,,,
13,1813,,,,,,
14,1814,,,,,,
15,1815,,,,,,
16,1816,,,,,,
17,1817,,,,,,
18,1818,,,,,,
19,1819,,,,,,
20,1820,,,,,,
21,1821,,,,,,
22,1822,,,,,,
23,1823,,,,,,
24,1824,,,,,,
25,1825,,,,,,
26,1826,,,,,,
27,1827,,,,,,
28,1828,,,,,,
29,1829,,,,,,
30,1830,,,,,,
31,1831,,,,,,
32,1832,,,,,,
33,1833,,,,,,
34,1834,,,,,,
35,1835,,,,,,
36,1836,,,,,,
37,1837,,,,,,
38,1838,,,,,,
39,1839,,,,,,
40,1840,,,,,,
41,1841,,,,,,
42,1842,,,,,,
43,1843,,,,,,
44,1844,,,,,,
45,1845,,,,,,
46,1846,,,,,,
47,1847,,,,,,
48,1848,,,,,,
49,1849,-0.322,-0.31,,,,
50,1850,-0.37200000000000005,-0.3,0.28,0.3,0.3,0.3
51,1851,-0.1820000000000001,-0.29,0.28,0.29,0.3,0.3
52,1852,,,0.28,0.29,0.29,0.3
53,1853,,,0.28,0.29,0.29,0.3
54,1854,,,0.28,0.29,0.29,0.3
55,1855,,,0.28,0.28,0.29,0.29
56,1856,,,0.28,0.28,0.29,0.29
57,1857,,,0.27,0.28,0.28,0.29
58,1858,,,0.27,0.28,0.28,0.29
59,1859,,,0.27,0.27,0.28,0.29
60,1860,,,0.27,0.27,0.28,0.29
61,1861,,,0.27,0.27,0.28,0.28
62,1862,,,0.27,0.27,0.27,0.28
63,1863,,,0.27,0.26,0.27,0.28
64,1864,,,0.26,0.26,0.27,0.27
65,1865,,,0.26,0.26,0.27,0.27
66,1866,,,0.25,0.25,0.26,0.27
67,1867,,,0.25,0.25,0.26,0.27
68,1868,,,0.25,0.25,0.27,0.27
69,1869,,,0.25,0.25,0.27,0.27
70,1870,,,0.26,0.26,0.28,0.27
71,1871,,,0.26,0.26,0.28,0.28
72,1872,,,0.27,0.27,0.29,0.29
73,1873,,,0.27,0.27,0.29,0.29
74,1874,-0.022000000000000075,-0.11,0.27,0.28,0.3,0.29
75,1875,-0.332,-0.09,0.27,0.28,0.3,0.29
76,1876,-0.24200000000000005,-0.06,0.27,0.28,0.3,0.29
77,1877,0.22799999999999995,-0.04,0.27,0.28,0.3,0.29
78,1878,0.35799999999999993,-0.01,0.27,0.28,0.29,0.29
79,1879,-0.2920000000000001,0.01,0.27,0.27,0.29,0.28
80,1880,-0.062000000000000055,0.03,0.26,0.27,0.28,0.28
81,1881,0.31799999999999995,0.05,0.26,0.26,0.28,0.27
82,1882,-0.09200000000000003,0.07,0.26,0.26,0.27,0.27
83,1883,0.2779999999999999,0.09,0.26,0.26,0.27,0.27
84,1884,,,0.26,0.26,0.27,0.27
85,1885,,,0.26,0.26,0.27,0.27
86,1886,0.43799999999999994,0.08,0.26,0.26,0.27,0.27
87,1887,-0.1620000000000001,0.09,0.26,0.26,0.27,0.27
88,1888,0.17799999999999994,0.1,0.26,0.26,0.27,0.27
89,1889,-0.0020000000000000573,0.1,0.27,0.27,0.27,0.28
90,1890,-0.5920000000000001,0.1,0.27,0.27,0.28,0.28
91,1891,-0.03200000000000003,0.09,0.28,0.28,0.29,0.29
92,1892,0.14799999999999994,0.08,0.29,0.29,0.3,0.3
93,1893,0.39799999999999996,0.08,0.3,0.3,0.31,0.31
94,1894,0.20799999999999993,0.08,0.31,0.31,0.32,0.33
95,1895,0.598,0.08,0.32,0.32,0.33,0.34
96,1896,-0.332,0.08,0.33,0.33,0.34,0.34
97,1897,-0.052000000000000046,0.06,0.34,0.34,0.34,0.35
98,1898,-0.24200000000000005,0.01,0.34,0.34,0.35,0.35
99,1899,0.35799999999999993,-0.05,0.34,0.34,0.35,0.35
100,1900,0.08799999999999997,-0.12,0.34,0.34,0.35,0.35
101,1901,0.10799999999999993,-0.17,0.35,0.35,0.36,0.36
102,1902,-0.1820000000000001,-0.21,0.35,0.35,0.36,0.36
103,1903,-0.6920000000000002,-0.24,0.35,0.35,0.36,0.36
104,1904,-0.8520000000000001,-0.28,0.36,0.36,0.37,0.37
105,1905,-0.542,-0.32,0.36,0.36,0.37,0.37
106,1906,-0.12200000000000005,-0.35,0.36,0.36,0.37,0.37
107,1907,-0.542,-0.36,0.36,0.36,0.38,0.37
108,1908,-0.2720000000000001,-0.32,0.36,0.36,0.38,0.37
109,1909,-0.332,-0.26,0.37,0.37,0.38,0.38
110,1910,-0.192,-0.18,0.37,0.37,0.39,0.38
