Bhutan,year,obs_anoms,smoothed_anoms,ssp126,ssp245,ssp370,ssp585
0,1800,-0.25851851851851865,0.47,,,,
1,1801,,,,,,
2,1802,0.32148148148148137,0.31,,,,
3,1803,0.1714814814814814,0.22,,,,
4,1804,0.32148148148148137,0.14,,,,
5,1805,0.21148148148148138,0.06,,,,
6,1806,0.09148148148148139,-0.02,,,,
7,1807,,,,,,
8,1808,,,,,,
9,1809,,,,,,
10,1810,,,,,,
11,1811,,,,,,
12,1812,,,,,,
13,1813,-0.5585185185185186,-0.54,,,,
14,1814,,,,,,
15,1815,-1.0785185185185187,-0.78,,,,
16,1816,-1.2585185185185186,-0.84,,,,
17,1817,-1.1385185185185187,-0.82,,,,
18,1818,-0.7585185185185186,-0.75,,,,
19,1819,-1.2485185185185186,-0.68,,,,
20,1820,-0.9885185185185186,-0.61,,,,
21,1821,-0.16851851851851857,-0.53,,,,
22,1822,-0.008518518518518592,-0.44,,,,
23,1823,-0.3485185185185186,-0.38,,,,
24,1824,0.061481481481481415,-0.28,,,,
25,1825,-0.1985185185185186,-0.23,,,,
26,1826,-0.008518518518518592,-0.2,,,,
27,1827,0.24148148148148138,-0.19,,,,
28,1828,-0.3185185185185186,-0.21,,,,
29,1829,-0.4485185185185186,-0.23,,,,
30,1830,0.0414814814814814,-0.24,,,,
31,1831,-0.6085185185185187,-0.26,,,,
32,1832,,,,,,
33,1833,-0.2085185185185186,-0.28,,,,
34,1834,-0.3385185185185186,-0.28,,,,
35,1835,-1.2485185185185186,-0.28,,,,
36,1836,-0.37851851851851864,-0.29,,,,
37,1837,,,,,,
38,1838,,,,,,
39,1839,,,,,,
40,1840,-0.18851851851851859,-0.31,,,,
41,1841,-0.27851851851851855,-0.32,,,,
42,1842,-0.17851851851851858,-0.32,,,,
43,1843,-0.17851851851851858,-0.32,,,,
44,1844,-0.6785185185185187,-0.33,,,,
45,1845,-0.49851851851851864,-0.32,,,,
46,1846,-0.11851851851851863,-0.31,,,,
47,1847,-0.4485185185185186,-0.3,,,,
48,1848,-0.6385185185185187,-0.29,,,,
49,1849,-0.5885185185185187,-0.27,,,,
50,1850,-0.06851851851851859,-0.25,0.19,0.18,0.21,0.18
51,1851,-0.11851851851851863,-0.22,0.19,0.18,0.21,0.18
52,1852,-0.41851851851851857,-0.21,0.19,0.18,0.21,0.18
53,1853,0.09148148148148139,-0.2,0.19,0.18,0.21,0.18
54,1854,0.001481481481481417,-0.18,0.19,0.18,0.21,0.18
55,1855,,,0.18,0.18,0.21,0.18
56,1856,,,0.18,0.18,0.21,0.18
57,1857,,,0.18,0.18,0.21,0.18
58,1858,-0.06851851851851859,-0.14,0.18,0.18,0.21,0.18
59,1859,0.07148148148148137,-0.13,0.18,0.18,0.21,0.18
60,1860,-0.3485185185185186,-0.12,0.18,0.18,0.21,0.18
61,1861,-0.40851851851851856,-0.11,0.18,0.18,0.21,0.18
62,1862,,,0.18,0.18,0.21,0.18
63,1863,-0.17851851851851858,-0.1,0.18,0.18,0.21,0.18
64,1864,-0.3285185185185186,-0.09,0.19,0.18,0.21,0.18
65,1865,0.0414814814814814,-0.06,0.19,0.18,0.21,0.18
66,1866,0.1714814814814814,-0.05,0.19,0.18,0.21,0.18
67,1867,0.2514814814814814,-0.01,0.19,0.18,0.21,0.18
68,1868,-0.13851851851851865,0.02,0.19,0.18,0.22,0.18
69,1869,-0.0785185185185186,0.05,0.19,0.19,0.22,0.18
70,1870,0.001481481481481417,0.06,0.19,0.19,0.22,0.19
71,1871,0.15148148148148138,0.07,0.19,0.19,0.23,0.19
72,1872,0.18148148148148138,0.07,0.2,0.2,0.23,0.19
73,1873,0.2314814814814814,0.08,0.2,0.2,0.23,0.2
74,1874,0.31148148148148136,0.09,0.2,0.2,0.23,0.2
75,1875,-0.09851851851851862,0.1,0.2,0.2,0.23,0.19
76,1876,-0.17851851851851858,0.1,0.19,0.19,0.23,0.19
77,1877,-0.17851851851851858,0.09,0.19,0.19,0.22,0.19
78,1878,0.2914814814814814,0.07,0.18,0.18,0.21,0.18
79,1879,0.6314814814814814,0.04,0.17,0.17,0.2,0.17
80,1880,0.18148148148148138,0.02,0.16,0.16,0.19,0.16
81,1881,0.051481481481481406,0.0,0.15,0.15,0.19,0.16
82,1882,0.1114814814814814,-0.0,0.15,0.15,0.18,0.15
83,1883,-0.27851851851851855,-0.01,0.14,0.14,0.17,0.14
84,1884,-0.38851851851851865,-0.02,0.14,0.14,0.17,0.14
85,1885,-0.18851851851851859,-0.04,0.13,0.13,0.16,0.14
86,1886,0.08148148148148138,-0.05,0.13,0.13,0.16,0.13
87,1887,-0.14851851851851866,-0.06,0.13,0.13,0.16,0.13
88,1888,-0.06851851851851859,-0.05,0.12,0.12,0.16,0.13
89,1889,0.6414814814814814,-0.03,0.12,0.13,0.16,0.13
90,1890,-0.05851851851851858,-0.0,0.13,0.13,0.16,0.13
91,1891,-0.0785185185185186,0.03,0.13,0.14,0.17,0.14
92,1892,0.061481481481481415,0.06,0.14,0.15,0.18,0.14
93,1893,-0.7185185185185186,0.09,0.15,0.16,0.19,0.16
94,1894,0.15148148148148138,0.11,0.16,0.17,0.2,0.17
95,1895,0.0414814814814814,0.12,0.17,0.18,0.2,0.18
96,1896,0.3814814814814814,0.14,0.18,0.19,0.21,0.18
97,1897,0.32148148148148137,0.15,0.18,0.19,0.21,0.19
98,1898,0.3014814814814814,0.15,0.19,0.19,0.22,0.19
99,1899,-0.18851851851851859,0.15,0.19,0.2,0.22,0.19
100,1900,0.3614814814814814,0.13,0.19,0.2,0.22,0.2
101,1901,0.24148148148148138,0.11,0.2,0.2,0.22,0.2
102,1902,-0.0185185185185186,0.09,0.2,0.21,0.22,0.2
103,1903,0.1714814814814814,0.07,0.2,0.21,0.22,0.21
104,1904,-0.08851851851851861,0.06,0.2,0.21,0.22,0.21
105,1905,-0.5285185185185186,0.04,0.2,0.2,0.22,0.2
106,1906,0.08148148148148138,0.02,0.2,0.2,0.22,0.2
107,1907,-0.17851851851851858,-0.0,0.2,0.2,0.22,0.2
108,1908,0.2514814814814814,-0.02,0.2,0.2,0.22,0.2
109,1909,0.3514814814814814,-0.03,0.2,0.2,0.22,0.2
110,1910,-0.03851851851851862,-0.02,0.2,0.2,0.22,0.2
111,1911,-0.2085185185185186,-0.01,0.2,0.2,0.23,0.21
112,1912,-0.10851851851851863,-0.0,0.21,0.21,0.23,0.21
113,1913,-0.3585185185185186,0.0,0.21,0.21,0.24,0.21
114,1914,-0.08851851851851861,0.01,0.21,0.21,0.24,0.22
115,1915,0.4614814814814814,0.02,0.21,0.22,0.24,0.22
116,1916,0.1614814814814814,0.03,0.22,0.22,0.25,0.22
117,1917,-0.05851851851851858,0.06,0.22,0.22,0.25,0.23
118,1918,-0.17851851851851858,0.09,0.23,0.23,0.26,0.23
119,1919,0.3914814814814814,0.12,0.23,0.24,0.27,0.24
120,1920,0.1114814814814814,0.13,0.24,0.25,0.28,0.25
121,1921,0.0414814814814814,0.13,0.25,0.26,0.29,0.26
122,1922,0.4214814814814814,0.13,0.26,0.27,0.3,0.27
123,1923,0.21148148148148138,0.12,0.27,0.28,0.3,0.28
124,1924,0.4114814814814814,0.12,0.28,0.29,0.31,0.28
125,1925,-0.39851851851851866,0.13,0.29,0.29,0.32,0.29
126,1926,0.051481481481481406,0.13,0.29,0.3,0.32,0.3
127,1927,-0.15851851851851856,0.13,0.3,0.31,0.33,0.31
128,1928,0.3314814814814814,0.13,0.31,0.32,0.34,0.32
129,1929,-0.008518518518518592,0.13,0.33,0.33,0.35,0.33
130,1930,-0.008518518518518592,0.13,0.34,0.34,0.36,0.34
131,1931,0.4014814814814814,0.13,0.35,0.35,0.36,0.35
132,1932,0.32148148148148137,0.15,0.35,0.36,0.37,0.36
133,1933,0.1914814814814814,0.18,0.36,0.36,0.38,0.36
134,1934,0.02148148148148138,0.2,0.37,0.37,0.38,0.37
135,1935,0.14148148148148137,0.23,0.38,0.37,0.39,0.37
136,1936,0.1014814814814814,0.25,0.38,0.38,0.39,0.38
137,1937,0.24148148148148138,0.27,0.39,0.39,0.4,0.39
138,1938,0.3514814814814814,0.28,0.4,0.4,0.41,0.4
139,1939,0.4714814814814814,0.29,0.41,0.4,0.42,0.41
140,1940,0.2514814814814814,0.31,0.42,0.41,0.43,0.41
141,1941,0.5214814814814814,0.32,0.43,0.42,0.44,0.42
142,1942,0.5314814814814814,0.33,0.43,0.42,0.45,0.43
143,1943,0.21148148148148138,0.33,0.44,0.43,0.45,0.43
144,1944,0.2314814814814814,0.33,0.44,0.43,0.46,0.44
145,1945,0.051481481481481406,0.33,0.45,0.44,0.46,0.44
146,1946,0.6114814814814814,0.33,0.45,0.44,0.47,0.45
147,1947,0.5014814814814814,0.33,0.45,0.44,0.47,0.45
148,1948,0.061481481481481415,0.34,0.45,0.45,0.47,0.45
149,1949,0.12148148148148141,0.35,0.46,0.45,0.48,0.45
150,1950,0.2614814814814814,0.37,0.46,0.45,0.48,0.46
151,1951,0.5314814814814814,0.39,0.46,0.46,0.48,0.46
152,1952,0.5514814814814815,0.41,0.47,0.46,0.49,0.46
153,1953,0.4614814814814814,0.43,0.47,0.47,0.49,0.47
154,1954,0.5214814814814814,0.45,0.47,0.47,0.49,0.47
155,1955,0.32148148148148137,0.47,0.47,0.47,0.49,0.47
156,1956,0.5014814814814814,0.48,0.47,0.47,0.49,0.47
157,1957,0.3714814814814814,0.47,0.46,0.47,0.49,0.46
158,1958,0.8914814814814813,0.45,0.46,0.46,0.48,0.46
159,1959,0.4614814814814814,0.43,0.45,0.45,0.48,0.45
160,1960,0.8214814814814814,0.41,0.44,0.45,0.47,0.44
161,1961,0.4014814814814814,0.39,0.43,0.44,0.46,0.44
