Botswana,year,obs_anoms,smoothed_anoms,ssp126,ssp245,ssp370,ssp585
0,1800,,,,,,
1,1801,,,,,,
2,1802,,,,,,
3,1803,,,,,,
4,1804,,,,,,
5,1805,,,,,,
6,1806,,,,,,
7,1807,,,,,,
8,1808,,,,,,
9,1809,,,,,,
10,1810,,,,,,
11,1811,,,,,,
12,1812,,,,,,
13,1813,,,,,,
14,1814,,,,,,
15,1815,,,,,,
16,1816,,,,,,
17,1817,,,,,,
18,1818,,,,,,
19,1819,,,,,,
20,1820,,,,,,
21,1821,,,,,,
22,1822,,,,,,
23,1823,,,,,,
24,1824,,,,,,
25,1825,,,,,,
26,1826,,,,,,
27,1827,,,,,,
28,1828,,,,,,
29,1829,,,,,,
30,1830,,,,,,
31,1831,,,,,,
32,1832,,,,,,
33,1833,,,,,,
34,1834,,,,,,
35,1835,,,,,,
36,1836,,,,,,
37,1837,,,,,,
38,1838,,,,,,
39,1839,,,,,,
40,1840,,,,,,
41,1841,,,,,,
42,1842,,,,,,
43,1843,,,,,,
44,1844,,,,,,
45,1845,,,,,,
46,1846,,,,,,
47,1847,,,,,,
48,1848,,,,,,
49,1849,,,,,,
50,1850,,,-0.01,0.01,-0.01,-0.01
51,1851,,,-0.01,0.01,-0.01,-0.01
52,1852,,,-0.02,0.0,-0.01,-0.02
53,1853,,,-0.02,0.0,-0.01,-0.02
54,1854,,,-0.02,-0.0,-0.02,-0.02
55,1855,,,-0.02,-0.0,-0.02,-0.03
56,1856,,,-0.03,-0.01,-0.02,-0.03
57,1857,-0.38,-0.2,-0.03,-0.01,-0.02,-0.03
58,1858,-0.040000000000000036,-0.16,-0.03,-0.01,-0.02,-0.03
59,1859,0.08999999999999997,-0.13,-0.03,-0.01,-0.02,-0.04
60,1860,-0.13,-0.1,-0.03,-0.02,-0.02,-0.04
61,1861,-0.17000000000000004,-0.07,-0.04,-0.02,-0.02,-0.04
62,1862,-0.4,-0.05,-0.04,-0.03,-0.03,-0.05
63,1863,-0.07000000000000006,-0.02,-0.04,-0.03,-0.03,-0.05
64,1864,-0.050000000000000044,0.01,-0.04,-0.03,-0.03,-0.05
65,1865,0.36,0.03,-0.05,-0.03,-0.03,-0.05
66,1866,0.3,0.05,-0.04,-0.03,-0.03,-0.05
67,1867,0.35,0.07,-0.04,-0.03,-0.02,-0.05
68,1868,-0.020000000000000018,0.08,-0.04,-0.03,-0.02,-0.05
69,1869,0.32999999999999996,0.09,-0.04,-0.02,-0.02,-0.04
70,1870,-0.030000000000000027,0.09,-0.03,-0.02,-0.01,-0.04
71,1871,-0.010000000000000009,0.09,-0.03,-0.01,-0.01,-0.04
72,1872,0.010000000000000009,0.07,-0.03,-0.01,-0.01,-0.03
73,1873,,,-0.03,-0.01,-0.01,-0.03
74,1874,0.13,0.02,-0.03,-0.01,-0.01,-0.03
75,1875,-0.19000000000000006,-0.0,-0.03,-0.01,-0.01,-0.03
76,1876,-0.08999999999999997,-0.03,-0.04,-0.01,-0.01,-0.03
77,1877,0.35,-0.04,-0.04,-0.01,-0.01,-0.04
78,1878,0.38,-0.05,-0.05,-0.02,-0.02,-0.04
79,1879,-0.27,-0.06,-0.05,-0.02,-0.03,-0.05
80,1880,-0.44999999999999996,-0.06,-0.06,-0.03,-0.04,-0.06
81,1881,-0.29000000000000004,-0.06,-0.07,-0.04,-0.05,-0.07
82,1882,-0.10999999999999999,-0.06,-0.08,-0.04,-0.06,-0.08
83,1883,-0.050000000000000044,-0.06,-0.08,-0.05,-0.07,-0.08
84,1884,-0.22999999999999998,-0.06,-0.09,-0.06,-0.07,-0.09
85,1885,0.15999999999999998,-0.06,-0.09,-0.06,-0.08,-0.09
86,1886,0.3,-0.05,-0.1,-0.06,-0.08,-0.1
87,1887,-0.14,-0.04,-0.1,-0.07,-0.09,-0.1
88,1888,-0.07999999999999996,-0.03,-0.1,-0.07,-0.09,-0.1
89,1889,0.52,-0.01,-0.1,-0.07,-0.09,-0.11
90,1890,-0.32000000000000006,0.01,-0.1,-0.07,-0.09,-0.11
91,1891,-0.06000000000000005,0.02,-0.1,-0.07,-0.09,-0.1
92,1892,-0.20999999999999996,0.04,-0.1,-0.07,-0.08,-0.1
93,1893,0.0,0.05,-0.09,-0.06,-0.07,-0.09
94,1894,-0.030000000000000027,0.07,-0.08,-0.05,-0.06,-0.08
95,1895,0.08000000000000002,0.08,-0.07,-0.04,-0.05,-0.07
96,1896,0.51,0.09,-0.06,-0.04,-0.04,-0.06
97,1897,0.3,0.09,-0.06,-0.03,-0.03,-0.06
98,1898,-0.32999999999999996,0.09,-0.06,-0.03,-0.03,-0.06
99,1899,0.32999999999999996,0.08,-0.05,-0.03,-0.03,-0.05
100,1900,0.65,0.06,-0.05,-0.03,-0.02,-0.05
101,1901,0.14999999999999997,0.04,-0.04,-0.02,-0.02,-0.04
