Brazil,year,obs_anoms,smoothed_anoms,ssp126,ssp245,ssp370,ssp585
0,1800,,,,,,
1,1801,,,,,,
2,1802,,,,,,
3,1803,,,,,,
4,1804,,,,,,
5,1805,,,,,,
6,1806,,,,,,
7,1807,,,,,,
8,1808,,,,,,
9,1809,,,,,,
10,1810,,,,,,
11,1811,,,,,,
12,1812,,,,,,
13,1813,,,,,,
14,1814,,,,,,
15,1815,,,,,,
16,1816,,,,,,
17,1817,,,,,,
18,1818,,,,,,
19,1819,,,,,,
20,1820,,,,,,
21,1821,,,,,,
22,1822,,,,,,
23,1823,,,,,,
24,1824,-0.031935483870967785,-0.05,,,,
25,1825,-0.05193548387096769,-0.09,,,,
26,1826,-0.031935483870967785,-0.12,,,,
27,1827,,,,,,
28,1828,,,,,,
29,1829,,,,,,
30,1830,,,,,,
31,1831,,,,,,
32,1832,-0.6319354838709677,-0.31,,,,
33,1833,0.15806451612903227,-0.35,,,,
34,1834,-0.1719354838709677,-0.38,,,,
35,1835,-0.7819354838709678,-0.42,,,,
36,1836,-0.5719354838709678,-0.46,,,,
37,1837,-1.0019354838709678,-0.47,,,,
38,1838,-0.6819354838709677,-0.46,,,,
39,1839,-0.7119354838709677,-0.44,,,,
40,1840,-0.3319354838709677,-0.43,,,,
41,1841,-0.6119354838709676,-0.41,,,,
42,1842,-0.1919354838709677,-0.39,,,,
43,1843,-0.041935483870967794,-0.36,,,,
44,1844,,,,,,
45,1845,,,,,,
46,1846,0.2880645161290323,-0.28,,,,
47,1847,-0.3119354838709677,-0.25,,,,
48,1848,-0.24193548387096775,-0.23,,,,
49,1849,-0.2819354838709678,-0.22,,,,
50,1850,-0.26193548387096777,-0.21,0.17,0.18,0.22,0.17
51,1851,-0.25193548387096776,-0.21,0.17,0.18,0.21,0.17
52,1852,-0.22193548387096773,-0.2,0.17,0.18,0.21,0.17
53,1853,-0.1619354838709678,-0.18,0.17,0.18,0.21,0.16
54,1854,-0.10193548387096774,-0.17,0.17,0.17,0.2,0.16
55,1855,-0.07193548387096771,-0.15,0.17,0.17,0.2,0.16
56,1856,-0.3019354838709677,-0.14,0.17,0.17,0.2,0.16
57,1857,-0.1619354838709678,-0.13,0.17,0.17,0.2,0.16
58,1858,-0.1719354838709677,-0.13,0.17,0.17,0.2,0.16
59,1859,0.23806451612903223,-0.12,0.17,0.17,0.2,0.16
60,1860,0.16806451612903228,-0.1,0.17,0.17,0.19,0.16
61,1861,-0.22193548387096773,-0.08,0.17,0.17,0.19,0.16
62,1862,-0.39193548387096777,-0.06,0.17,0.17,0.19,0.16
63,1863,-0.14193548387096777,-0.03,0.17,0.17,0.19,0.16
64,1864,-0.14193548387096777,-0.01,0.17,0.17,0.19,0.16
65,1865,-0.001935483870967758,0.0,0.17,0.17,0.19,0.16
66,1866,0.11806451612903224,0.01,0.17,0.17,0.19,0.16
67,1867,0.23806451612903223,0.03,0.17,0.17,0.19,0.16
68,1868,0.17806451612903224,0.05,0.17,0.17,0.2,0.16
69,1869,0.3080645161290323,0.06,0.18,0.17,0.2,0.16
70,1870,-0.041935483870967794,0.07,0.18,0.18,0.2,0.17
71,1871,-0.12193548387096775,0.06,0.18,0.18,0.21,0.17
72,1872,-0.011935483870967767,0.05,0.18,0.18,0.21,0.17
73,1873,0.36806451612903224,0.03,0.18,0.18,0.21,0.17
74,1874,0.06806451612903225,0.02,0.18,0.19,0.22,0.17
75,1875,-0.3219354838709677,0.01,0.18,0.19,0.22,0.18
76,1876,0.008064516129032251,0.0,0.19,0.19,0.22,0.18
77,1877,0.6580645161290323,-0.01,0.19,0.19,0.22,0.18
78,1878,0.8180645161290323,-0.02,0.19,0.19,0.22,0.17
79,1879,-0.14193548387096777,-0.03,0.19,0.19,0.22,0.17
80,1880,0.07806451612903226,-0.04,0.19,0.19,0.22,0.17
81,1881,0.18806451612903224,-0.05,0.19,0.19,0.21,0.17
82,1882,-0.1919354838709677,-0.05,0.19,0.18,0.21,0.17
83,1883,-0.11193548387096774,-0.04,0.19,0.18,0.21,0.17
84,1884,-0.23193548387096774,-0.04,0.18,0.18,0.21,0.17
85,1885,0.09806451612903228,-0.03,0.18,0.18,0.21,0.17
86,1886,-0.3119354838709677,-0.03,0.18,0.18,0.21,0.17
87,1887,-0.05193548387096769,-0.03,0.18,0.18,0.2,0.16
88,1888,0.31806451612903225,-0.03,0.18,0.18,0.2,0.16
89,1889,0.3480645161290322,-0.01,0.18,0.17,0.2,0.16
90,1890,-0.1719354838709677,0.01,0.18,0.17,0.19,0.16
91,1891,0.03806451612903228,0.03,0.18,0.17,0.19,0.16
92,1892,-0.09193548387096773,0.05,0.18,0.17,0.19,0.16
93,1893,-0.36193548387096774,0.07,0.18,0.18,0.2,0.17
94,1894,0.03806451612903228,0.1,0.18,0.18,0.2,0.17
