Burundi,year,obs_anoms,smoothed_anoms,ssp126,ssp245,ssp370,ssp585
0,1800,,,,,,
1,1801,,,,,,
2,1802,,,,,,
3,1803,,,,,,
4,1804,,,,,,
5,1805,,,,,,
6,1806,,,,,,
7,1807,,,,,,
8,1808,,,,,,
9,1809,,,,,,
10,1810,,,,,,
11,1811,,,,,,
12,1812,,,,,,
13,1813,,,,,,
14,1814,,,,,,
15,1815,,,,,,
16,1816,,,,,,
17,1817,,,,,,
18,1818,,,,,,
19,1819,,,,,,
20,1820,,,,,,
21,1821,,,,,,
22,1822,,,,,,
23,1823,,,,,,
24,1824,,,,,,
25,1825,,,,,,
26,1826,,,,,,
27,1827,,,,,,
28,1828,,,,,,
29,1829,,,,,,
30,1830,,,,,,
31,1831,,,,,,
32,1832,,,,,,
33,1833,,,,,,
34,1834,,,,,,
35,1835,,,,,,
36,1836,,,,,,
37,1837,,,,,,
38,1838,,,,,,
39,1839,,,,,,
40,1840,,,,,,
41,1841,,,,,,
42,1842,,,,,,
43,1843,,,,,,
44,1844,,,,,,
45,1845,,,,,,
46,1846,,,,,,
47,1847,,,,,,
48,1848,,,,,,
49,1849,,,,,,
50,1850,,,0.2,0.21,0.25,0.21
51,1851,,,0.2,0.21,0.25,0.21
52,1852,,,0.21,0.21,0.25,0.21
53,1853,,,0.21,0.22,0.25,0.22
54,1854,,,0.21,0.22,0.25,0.22
55,1855,,,0.21,0.22,0.25,0.22
56,1856,,,0.22,0.22,0.25,0.22
57,1857,,,0.22,0.22,0.25,0.23
58,1858,,,0.22,0.22,0.25,0.23
59,1859,,,0.23,0.23,0.26,0.23
60,1860,,,0.23,0.23,0.26,0.23
61,1861,,,0.23,0.23,0.26,0.23
62,1862,,,0.23,0.23,0.26,0.23
63,1863,,,0.23,0.23,0.26,0.23
64,1864,,,0.23,0.23,0.26,0.23
65,1865,,,0.23,0.23,0.26,0.23
66,1866,,,0.23,0.23,0.26,0.23
67,1867,,,0.23,0.23,0.26,0.23
68,1868,,,0.23,0.23,0.26,0.23
69,1869,,,0.23,0.23,0.26,0.23
70,1870,,,0.23,0.23,0.26,0.23
71,1871,,,0.23,0.23,0.27,0.23
72,1872,,,0.23,0.23,0.27,0.23
73,1873,,,0.23,0.23,0.27,0.24
74,1874,,,0.23,0.24,0.28,0.24
75,1875,,,0.23,0.24,0.28,0.24
76,1876,,,0.24,0.24,0.28,0.24
77,1877,,,0.24,0.24,0.28,0.24
78,1878,,,0.23,0.24,0.28,0.24
79,1879,,,0.23,0.24,0.28,0.24
80,1880,,,0.23,0.23,0.27,0.23
81,1881,,,0.22,0.23,0.27,0.23
82,1882,0.08000000000000002,-0.07,0.22,0.22,0.26,0.23
83,1883,5.551115123125783e-17,-0.06,0.22,0.22,0.26,0.23
84,1884,-0.2,-0.04,0.22,0.22,0.26,0.22
85,1885,0.030000000000000027,-0.03,0.21,0.22,0.25,0.22
86,1886,-0.009999999999999953,-0.02,0.21,0.21,0.25,0.22
87,1887,-0.16999999999999998,-0.0,0.21,0.21,0.24,0.21
88,1888,,,0.2,0.21,0.24,0.21
89,1889,0.43000000000000005,0.03,0.2,0.2,0.24,0.21
90,1890,-0.15999999999999998,0.04,0.2,0.2,0.24,0.2
91,1891,-0.07,0.06,0.2,0.21,0.24,0.21
92,1892,0.08000000000000002,0.08,0.21,0.21,0.25,0.21
93,1893,-0.24999999999999994,0.11,0.22,0.22,0.26,0.22
94,1894,0.27,0.15,0.22,0.23,0.27,0.23
95,1895,0.22000000000000003,0.2,0.23,0.24,0.28,0.24
96,1896,0.17000000000000004,0.25,0.24,0.24,0.28,0.24
97,1897,0.22000000000000003,0.29,0.24,0.25,0.29,0.24
98,1898,0.31000000000000005,0.31,0.24,0.25,0.29,0.25
99,1899,0.45,0.33,0.24,0.25,0.29,0.25
100,1900,0.74,0.33,0.25,0.25,0.29,0.25
101,1901,0.75,0.32,0.25,0.25,0.3,0.25
102,1902,0.5700000000000001,0.3,0.25,0.26,0.3,0.26
103,1903,0.5700000000000001,0.27,0.26,0.26,0.31,0.26
104,1904,-0.21000000000000002,0.24,0.26,0.27,0.31,0.26
105,1905,0.35000000000000003,0.22,0.27,0.27,0.31,0.27
106,1906,0.020000000000000018,0.19,0.27,0.27,0.32,0.27
107,1907,0.08000000000000002,0.15,0.27,0.28,0.32,0.27
108,1908,-0.11999999999999994,0.13,0.28,0.28,0.32,0.28
109,1909,-0.18,0.11,0.28,0.28,0.33,0.28
110,1910,-0.12999999999999995,0.11,0.29,0.29,0.33,0.29
111,1911,-0.09000000000000002,0.11,0.3,0.3,0.34,0.3
112,1912,0.23000000000000004,0.12,0.31,0.31,0.35,0.31
113,1913,0.23000000000000004,0.14,0.32,0.32,0.36,0.32
114,1914,0.37,0.16,0.32,0.33,0.37,0.33
