Chile,year,obs_anoms,smoothed_anoms,ssp126,ssp245,ssp370,ssp585
0,1800,,,,,,
1,1801,,,,,,
2,1802,,,,,,
3,1803,,,,,,
4,1804,,,,,,
5,1805,,,,,,
6,1806,,,,,,
7,1807,,,,,,
8,1808,,,,,,
9,1809,,,,,,
10,1810,,,,,,
11,1811,,,,,,
12,1812,,,,,,
13,1813,,,,,,
14,1814,,,,,,
15,1815,,,,,,
16,1816,,,,,,
17,1817,,,,,,
18,1818,,,,,,
19,1819,,,,,,
20,1820,,,,,,
21,1821,,,,,,
22,1822,,,,,,
23,1823,,,,,,
24,1824,,,,,,
25,1825,,,,,,
26,1826,,,,,,
27,1827,,,,,,
28,1828,,,,,,
29,1829,,,,,,
30,1830,,,,,,
31,1831,,,,,,
32,1832,,,,,,
33,1833,,,,,,
34,1834,,,,,,
35,1835,,,,,,
36,1836,,,,,,
37,1837,,,,,,
38,1838,,,,,,
39,1839,,,,,,
40,1840,,,,,,
41,1841,,,,,,
42,1842,,,,,,
43,1843,,,,,,
44,1844,,,,,,
45,1845,,,,,,
46,1846,,,,,,
47,1847,,,,,,
48,1848,,,,,,
49,1849,,,,,,
50,1850,,,0.09,0.08,0.09,0.08
51,1851,,,0.09,0.08,0.09,0.08
52,1852,,,0.08,0.08,0.09,0.07
53,1853,,,0.08,0.07,0.08,0.07
54,1854,,,0.08,0.07,0.08,0.07
55,1855,,,0.08,0.07,0.07,0.06
56,1856,-0.43400000000000005,-0.36,0.07,0.06,0.07,0.06
57,1857,-0.4740000000000001,-0.32,0.07,0.06,0.06,0.06
58,1858,-0.30400000000000005,-0.28,0.07,0.06,0.06,0.05
59,1859,0.19599999999999995,-0.24,0.07,0.05,0.06,0.05
60,1860,-0.04400000000000004,-0.2,0.06,0.05,0.05,0.05
61,1861,-0.15400000000000003,-0.16,0.06,0.05,0.05,0.04
62,1862,-0.3540000000000001,-0.12,0.05,0.04,0.04,0.04
63,1863,-0.3440000000000001,-0.08,0.05,0.04,0.04,0.03
64,1864,-0.07400000000000007,-0.05,0.04,0.03,0.03,0.03
65,1865,0.31599999999999995,-0.02,0.04,0.03,0.03,0.02
66,1866,0.2659999999999999,-0.0,0.04,0.03,0.03,0.02
67,1867,0.20599999999999993,0.01,0.04,0.02,0.03,0.02
68,1868,0.14599999999999996,0.02,0.04,0.02,0.03,0.02
69,1869,0.09599999999999992,0.04,0.04,0.03,0.03,0.02
70,1870,-0.09400000000000008,0.06,0.04,0.03,0.04,0.02
71,1871,-0.16400000000000003,0.07,0.04,0.03,0.04,0.02
72,1872,-0.2240000000000001,0.07,0.04,0.03,0.04,0.02
73,1873,0.42599999999999993,0.07,0.04,0.03,0.05,0.03
74,1874,0.01599999999999996,0.06,0.05,0.03,0.05,0.03
75,1875,-0.134,0.06,0.05,0.04,0.05,0.03
76,1876,0.14599999999999996,0.05,0.05,0.04,0.05,0.03
77,1877,0.566,0.03,0.05,0.04,0.05,0.03
78,1878,0.22599999999999995,0.01,0.05,0.03,0.05,0.03
79,1879,0.14599999999999996,-0.01,0.05,0.03,0.04,0.02
80,1880,0.04599999999999993,-0.04,0.04,0.02,0.04,0.02
81,1881,-0.134,-0.08,0.04,0.02,0.03,0.01
82,1882,-0.05400000000000005,-0.12,0.03,0.01,0.03,0.01
83,1883,-0.20400000000000007,-0.15,0.03,0.01,0.02,0.0
84,1884,-0.404,-0.18,0.03,0.0,0.02,0.0
85,1885,-0.5640000000000001,-0.21,0.02,0.0,0.02,0.0
86,1886,-0.3440000000000001,-0.23,0.02,0.0,0.02,0.0
87,1887,-0.3440000000000001,-0.24,0.03,0.0,0.02,0.0
88,1888,-0.14400000000000002,-0.23,0.03,0.0,0.02,0.0
89,1889,-0.524,-0.22,0.03,0.01,0.02,0.0
90,1890,-0.16400000000000003,-0.19,0.03,0.01,0.03,0.01
91,1891,0.00599999999999995,-0.15,0.04,0.02,0.03,0.01
92,1892,-0.28400000000000003,-0.11,0.05,0.03,0.04,0.02
93,1893,-0.19400000000000006,-0.07,0.06,0.04,0.05,0.04
94,1894,-0.014000000000000068,-0.02,0.07,0.05,0.07,0.05
95,1895,0.14599999999999996,0.01,0.08,0.07,0.08,0.06
96,1896,0.5459999999999999,0.04,0.09,0.08,0.09,0.07
97,1897,0.03599999999999992,0.07,0.1,0.08,0.1,0.08
98,1898,-0.44400000000000006,0.1,0.11,0.09,0.1,0.08
99,1899,0.33599999999999997,0.12,0.11,0.1,0.11,0.09
100,1900,0.31599999999999995,0.13,0.11,0.1,0.11,0.09
101,1901,0.3559999999999999,0.14,0.12,0.1,0.12,0.09
102,1902,0.04599999999999993,0.14,0.12,0.11,0.12,0.09
103,1903,-0.15400000000000003,0.13,0.12,0.11,0.12,0.1
104,1904,0.2859999999999999,0.12,0.13,0.11,0.12,0.1
