China,year,obs_anoms,smoothed_anoms,ssp126,ssp245,ssp370,ssp585
0,1800,-0.3064516129032257,0.34,,,,
1,1801,,,,,,
2,1802,0.27354838709677426,0.21,,,,
3,1803,0.12354838709677424,0.14,,,,
4,1804,0.28354838709677427,0.08,,,,
5,1805,0.16354838709677424,0.01,,,,
6,1806,0.05354838709677423,-0.06,,,,
7,1807,,,,,,
8,1808,,,,,,
9,1809,,,,,,
10,1810,,,,,,
11,1811,,,,,,
12,1812,,,,,,
13,1813,-0.6064516129032258,-0.5,,,,
14,1814,,,,,,
15,1815,-1.1264516129032258,-0.65,,,,
16,1816,-1.3264516129032258,-0.73,,,,
17,1817,-1.1764516129032259,-0.76,,,,
18,1818,-0.4564516129032257,-0.72,,,,
19,1819,-1.1464516129032258,-0.66,,,,
20,1820,-0.7564516129032257,-0.6,,,,
21,1821,-0.21645161290322573,-0.53,,,,
22,1822,-0.2764516129032258,-0.46,,,,
23,1823,-0.6264516129032258,-0.4,,,,
24,1824,0.25354838709677424,-0.32,,,,
25,1825,-0.12645161290322576,-0.29,,,,
26,1826,-0.006451612903225767,-0.29,,,,
27,1827,0.5235483870967743,-0.29,,,,
28,1828,-0.3264516129032257,-0.31,,,,
29,1829,-0.4064516129032258,-0.34,,,,
30,1830,0.10354838709677427,-0.37,,,,
31,1831,-1.0364516129032257,-0.42,,,,
32,1832,-0.8764516129032258,-0.47,,,,
33,1833,-0.5064516129032257,-0.53,,,,
34,1834,-0.1864516129032257,-0.57,,,,
35,1835,-0.8864516129032258,-0.59,,,,
36,1836,-0.4464516129032257,-0.6,,,,
37,1837,-0.7964516129032257,-0.58,,,,
38,1838,-0.6964516129032259,-0.55,,,,
39,1839,-1.1064516129032258,-0.51,,,,
40,1840,-0.4464516129032257,-0.46,,,,
41,1841,-0.8364516129032258,-0.41,,,,
42,1842,-0.04645161290322575,-0.36,,,,
43,1843,0.08354838709677426,-0.31,,,,
44,1844,-0.2864516129032258,-0.27,,,,
45,1845,-0.2864516129032258,-0.23,,,,
46,1846,0.27354838709677426,-0.2,,,,
47,1847,0.08354838709677426,-0.18,,,,
48,1848,-0.2664516129032258,-0.17,,,,
49,1849,-0.1764516129032257,-0.16,,,,
50,1850,-0.3064516129032257,-0.15,0.39,0.38,0.4,0.37
51,1851,-0.4264516129032257,-0.15,0.39,0.38,0.4,0.37
52,1852,-0.3064516129032257,-0.14,0.39,0.38,0.4,0.37
53,1853,-0.1664516129032258,-0.13,0.39,0.38,0.4,0.37
54,1854,0.21354838709677426,-0.13,0.39,0.38,0.4,0.37
55,1855,0.20354838709677425,-0.12,0.39,0.38,0.41,0.37
56,1856,-0.1764516129032257,-0.11,0.39,0.38,0.41,0.37
57,1857,-0.3264516129032257,-0.11,0.39,0.39,0.41,0.38
58,1858,0.15354838709677426,-0.11,0.4,0.39,0.41,0.38
59,1859,0.28354838709677427,-0.1,0.4,0.39,0.41,0.38
60,1860,-0.6464516129032258,-0.08,0.4,0.39,0.41,0.38
61,1861,-0.4264516129032257,-0.07,0.4,0.39,0.41,0.38
62,1862,-0.9464516129032259,-0.05,0.4,0.39,0.41,0.38
63,1863,0.12354838709677424,-0.03,0.4,0.39,0.41,0.38
64,1864,-0.48645161290322575,-0.0,0.4,0.39,0.42,0.38
65,1865,0.06354838709677424,0.02,0.4,0.39,0.42,0.38
66,1866,0.19354838709677424,0.04,0.4,0.39,0.42,0.39
67,1867,0.5435483870967742,0.08,0.41,0.39,0.42,0.39
68,1868,0.18354838709677426,0.12,0.41,0.39,0.42,0.39
69,1869,0.23354838709677425,0.16,0.41,0.4,0.43,0.39
70,1870,-0.03645161290322574,0.18,0.41,0.4,0.43,0.39
71,1871,0.10354838709677427,0.19,0.41,0.4,0.43,0.39
72,1872,0.01354838709677425,0.2,0.41,0.4,0.43,0.39
73,1873,0.34354838709677427,0.2,0.41,0.4,0.43,0.39
74,1874,0.5635483870967742,0.19,0.41,0.4,0.43,0.39
75,1875,0.27354838709677426,0.19,0.4,0.39,0.43,0.38
76,1876,0.18354838709677426,0.18,0.4,0.39,0.42,0.38
77,1877,0.0035483870967742415,0.17,0.39,0.38,0.42,0.37
78,1878,0.19354838709677424,0.14,0.38,0.38,0.41,0.37
79,1879,0.4235483870967742,0.1,0.37,0.37,0.4,0.36
80,1880,-0.04645161290322575,0.06,0.36,0.36,0.39,0.35
81,1881,0.07354838709677425,0.02,0.35,0.35,0.38,0.34
82,1882,0.17354838709677425,-0.02,0.34,0.34,0.37,0.33
83,1883,-0.1764516129032257,-0.04,0.33,0.33,0.36,0.32
84,1884,-0.4264516129032257,-0.06,0.33,0.32,0.35,0.31
85,1885,-0.2964516129032257,-0.07,0.32,0.32,0.35,0.31
86,1886,-0.13645161290322577,-0.09,0.32,0.32,0.34,0.31
87,1887,-0.1564516129032258,-0.1,0.32,0.32,0.34,0.31
88,1888,-0.06645161290322577,-0.11,0.32,0.32,0.34,0.31
89,1889,0.01354838709677425,-0.1,0.32,0.32,0.34,0.31
90,1890,0.15354838709677426,-0.09,0.32,0.32,0.34,0.31
91,1891,0.02354838709677426,-0.08,0.32,0.32,0.35,0.31
92,1892,-0.3264516129032257,-0.06,0.33,0.33,0.35,0.32
93,1893,-0.3064516129032257,-0.04,0.34,0.34,0.37,0.33
94,1894,0.25354838709677424,-0.03,0.36,0.35,0.38,0.34
95,1895,-0.22645161290322574,-0.02,0.37,0.37,0.39,0.35
96,1896,0.0035483870967742415,-0.0,0.38,0.38,0.4,0.36
97,1897,-0.14645161290322578,0.0,0.39,0.38,0.41,0.37
98,1898,0.21354838709677426,0.01,0.39,0.39,0.41,0.37
99,1899,0.21354838709677426,0.01,0.39,0.39,0.41,0.37
100,1900,0.07354838709677425,0.0,0.38,0.38,0.41,0.37
101,1901,0.02354838709677426,-0.0,0.38,0.38,0.41,0.36
102,1902,0.31354838709677424,-0.01,0.37,0.37,0.4,0.36
103,1903,-0.19645161290322571,-0.02,0.37,0.37,0.39,0.35
104,1904,-0.08645161290322573,-0.04,0.36,0.36,0.39,0.35
105,1905,-0.48645161290322575,-0.06,0.35,0.35,0.38,0.34
106,1906,-0.13645161290322577,-0.08,0.35,0.35,0.37,0.33
107,1907,-0.02645161290322573,-0.1,0.34,0.34,0.37,0.33
108,1908,0.0035483870967742415,-0.11,0.34,0.34,0.36,0.32
109,1909,0.03354838709677427,-0.1,0.33,0.33,0.36,0.32
110,1910,-0.2764516129032258,-0.09,0.33,0.33,0.36,0.32
111,1911,-0.07645161290322572,-0.07,0.33,0.34,0.36,0.32
112,1912,-0.24645161290322576,-0.06,0.34,0.34,0.36,0.33
113,1913,-0.25645161290322577,-0.05,0.35,0.35,0.37,0.33
114,1914,0.5435483870967742,-0.03,0.35,0.35,0.38,0.34
115,1915,0.13354838709677425,-0.01,0.36,0.36,0.39,0.35
116,1916,0.02354838709677426,0.02,0.37,0.37,0.39,0.36
117,1917,-0.22645161290322574,0.04,0.38,0.38,0.4,0.37
118,1918,-0.1564516129032258,0.07,0.39,0.39,0.41,0.38
119,1919,0.30354838709677423,0.1,0.39,0.4,0.42,0.38
120,1920,0.26354838709677425,0.11,0.4,0.4,0.43,0.39
121,1921,0.12354838709677424,0.13,0.41,0.41,0.44,0.4
122,1922,0.22354838709677424,0.14,0.42,0.42,0.45,0.41
123,1923,0.13354838709677425,0.16,0.42,0.43,0.46,0.42
124,1924,0.24354838709677426,0.16,0.43,0.43,0.46,0.42
