Congo (Brazzaville),year,obs_anoms,smoothed_anoms,ssp126,ssp245,ssp370,ssp585
0,1800,,,,,,
1,1801,,,,,,
2,1802,,,,,,
3,1803,,,,,,
4,1804,,,,,,
5,1805,,,,,,
6,1806,,,,,,
7,1807,,,,,,
8,1808,,,,,,
9,1809,,,,,,
10,1810,,,,,,
11,1811,,,,,,
12,1812,,,,,,
13,1813,,,,,,
14,1814,,,,,,
15,1815,,,,,,
16,1816,,,,,,
17,1817,,,,,,
18,1818,,,,,,
19,1819,,,,,,
20,1820,,,,,,
21,1821,,,,,,
22,1822,,,,,,
23,1823,,,,,,
24,1824,,,,,,
25,1825,,,,,,
26,1826,,,,,,
27,1827,,,,,,
28,1828,,,,,,
29,1829,,,,,,
30,1830,,,,,,
31,1831,,,,,,
32,1832,,,,,,
33,1833,,,,,,
34,1834,,,,,,
35,1835,,,,,,
36,1836,,,,,,
37,1837,,,,,,
38,1838,,,,,,
39,1839,,,,,,
40,1840,,,,,,
41,1841,,,,,,
42,1842,,,,,,
43,1843,,,,,,
44,1844,,,,,,
45,1845,,,,,,
46,1846,,,,,,
47,1847,,,,,,
48,1848,,,,,,
49,1849,,,,,,
50,1850,,,0.35,0.35,0.38,0.35
51,1851,,,0.35,0.35,0.37,0.35
52,1852,,,0.35,0.35,0.37,0.35
53,1853,,,0.35,0.35,0.37,0.35
54,1854,,,0.35,0.35,0.37,0.35
55,1855,,,0.35,0.35,0.37,0.35
56,1856,,,0.35,0.34,0.36,0.34
57,1857,,,0.35,0.34,0.36,0.34
58,1858,,,0.35,0.34,0.36,0.34
59,1859,,,0.35,0.34,0.36,0.34
60,1860,,,0.35,0.34,0.36,0.34
61,1861,,,0.35,0.34,0.36,0.34
62,1862,,,0.35,0.34,0.36,0.34
63,1863,,,0.35,0.34,0.36,0.34
64,1864,,,0.35,0.34,0.36,0.34
65,1865,,,0.35,0.34,0.36,0.34
66,1866,,,0.35,0.34,0.36,0.34
67,1867,,,0.35,0.34,0.36,0.34
68,1868,,,0.35,0.34,0.37,0.34
69,1869,,,0.35,0.35,0.37,0.35
70,1870,,,0.35,0.35,0.37,0.35
71,1871,,,0.35,0.35,0.38,0.35
72,1872,,,0.36,0.36,0.38,0.35
73,1873,,,0.36,0.36,0.39,0.36
74,1874,,,0.36,0.36,0.39,0.36
75,1875,-0.08066666666666666,0.03,0.36,0.36,0.39,0.36
76,1876,,,0.36,0.36,0.39,0.36
77,1877,0.45933333333333337,0.03,0.35,0.36,0.38,0.35
78,1878,0.4693333333333334,0.03,0.35,0.35,0.38,0.35
79,1879,-0.43066666666666664,0.03,0.35,0.35,0.37,0.34
80,1880,-0.6006666666666666,0.03,0.34,0.34,0.37,0.34
81,1881,-0.22066666666666668,0.03,0.34,0.34,0.36,0.33
82,1882,0.05933333333333335,0.02,0.33,0.33,0.35,0.33
83,1883,0.17933333333333334,0.02,0.33,0.33,0.35,0.32
84,1884,-0.08066666666666666,0.01,0.33,0.33,0.35,0.32
85,1885,0.23933333333333334,0.01,0.33,0.32,0.34,0.32
86,1886,0.25933333333333336,0.01,0.32,0.32,0.34,0.32
87,1887,-0.31066666666666665,0.02,0.32,0.32,0.34,0.32
88,1888,0.019333333333333313,0.03,0.32,0.32,0.34,0.31
89,1889,0.5393333333333333,0.05,0.32,0.32,0.34,0.32
90,1890,-0.5006666666666667,0.06,0.33,0.32,0.34,0.32
91,1891,-0.2506666666666667,0.08,0.33,0.33,0.35,0.32
92,1892,-0.06066666666666665,0.09,0.34,0.33,0.35,0.33
93,1893,0.13933333333333336,0.12,0.34,0.34,0.36,0.34
94,1894,0.20933333333333337,0.14,0.35,0.35,0.37,0.35
95,1895,0.23933333333333334,0.18,0.36,0.36,0.38,0.35
96,1896,0.14933333333333337,0.21,0.36,0.36,0.39,0.36
97,1897,0.41933333333333334,0.23,0.37,0.37,0.39,0.36
98,1898,0.08933333333333338,0.24,0.37,0.37,0.4,0.37
99,1899,0.6193333333333333,0.24,0.37,0.37,0.4,0.37
100,1900,0.48933333333333334,0.23,0.38,0.37,0.4,0.37
101,1901,0.5293333333333333,0.21,0.38,0.37,0.4,0.37
102,1902,0.26933333333333337,0.2,0.38,0.38,0.41,0.37
103,1903,-0.0006666666666667043,0.18,0.38,0.38,0.41,0.38
104,1904,-0.5706666666666665,0.16,0.39,0.38,0.41,0.38
105,1905,0.09933333333333333,0.14,0.39,0.38,0.41,0.38
106,1906,-0.1206666666666667,0.13,0.39,0.39,0.42,0.38
107,1907,0.029333333333333322,0.14,0.39,0.39,0.42,0.38
108,1908,-0.0006666666666667043,0.16,0.39,0.39,0.42,0.39
109,1909,0.11933333333333335,0.19,0.4,0.39,0.42,0.39
110,1910,0.05933333333333335,0.23,0.4,0.4,0.43,0.4
111,1911,-0.2406666666666667,0.26,0.41,0.41,0.44,0.4
