Democratic Republic of the Congo,year,obs_anoms,smoothed_anoms,ssp126,ssp245,ssp370,ssp585
0,1800,,,,,,
1,1801,,,,,,
2,1802,,,,,,
3,1803,,,,,,
4,1804,,,,,,
5,1805,,,,,,
6,1806,,,,,,
7,1807,,,,,,
8,1808,,,,,,
9,1809,,,,,,
10,1810,,,,,,
11,1811,,,,,,
12,1812,,,,,,
13,1813,,,,,,
14,1814,,,,,,
15,1815,,,,,,
16,1816,,,,,,
17,1817,,,,,,
18,1818,,,,,,
19,1819,,,,,,
20,1820,,,,,,
21,1821,,,,,,
22,1822,,,,,,
23,1823,,,,,,
24,1824,,,,,,
25,1825,,,,,,
26,1826,,,,,,
27,1827,,,,,,
28,1828,,,,,,
29,1829,,,,,,
30,1830,,,,,,
31,1831,,,,,,
32,1832,,,,,,
33,1833,,,,,,
34,1834,,,,,,
35,1835,,,,,,
36,1836,,,,,,
37,1837,,,,,,
38,1838,,,,,,
39,1839,,,,,,
40,1840,,,,,,
41,1841,,,,,,
42,1842,,,,,,
43,1843,,,,,,
44,1844,,,,,,
45,1845,,,,,,
46,1846,,,,,,
47,1847,,,,,,
48,1848,,,,,,
49,1849,,,,,,
50,1850,,,0.32,0.34,0.37,0.33
51,1851,,,0.32,0.34,0.37,0.33
52,1852,,,0.32,0.34,0.37,0.33
53,1853,,,0.33,0.34,0.37,0.33
54,1854,,,0.33,0.34,0.37,0.33
55,1855,,,0.33,0.34,0.37,0.33
56,1856,,,0.33,0.34,0.37,0.34
57,1857,,,0.34,0.34,0.37,0.34
58,1858,,,0.34,0.34,0.37,0.34
59,1859,,,0.34,0.34,0.37,0.34
60,1860,,,0.34,0.35,0.37,0.34
61,1861,,,0.34,0.35,0.37,0.34
62,1862,,,0.35,0.35,0.37,0.34
63,1863,,,0.34,0.35,0.37,0.34
64,1864,,,0.34,0.35,0.37,0.34
65,1865,,,0.34,0.35,0.37,0.34
66,1866,,,0.35,0.35,0.38,0.34
67,1867,,,0.35,0.35,0.38,0.34
68,1868,,,0.35,0.35,0.38,0.35
69,1869,,,0.35,0.35,0.39,0.35
70,1870,,,0.35,0.35,0.39,0.35
71,1871,,,0.35,0.36,0.39,0.35
72,1872,,,0.35,0.36,0.4,0.35
73,1873,,,0.35,0.36,0.4,0.35
74,1874,,,0.35,0.36,0.4,0.35
75,1875,-0.16266666666666668,-0.18,0.35,0.36,0.4,0.35
76,1876,,,0.35,0.36,0.4,0.35
77,1877,0.42733333333333334,-0.16,0.35,0.35,0.4,0.35
78,1878,0.5873333333333334,-0.14,0.34,0.35,0.39,0.34
79,1879,-0.3126666666666667,-0.13,0.34,0.34,0.39,0.34
80,1880,-0.4326666666666667,-0.12,0.33,0.34,0.38,0.33
81,1881,-0.21266666666666662,-0.11,0.33,0.33,0.37,0.32
82,1882,0.05733333333333335,-0.1,0.32,0.33,0.36,0.32
83,1883,0.02733333333333332,-0.09,0.32,0.32,0.36,0.32
84,1884,-0.1826666666666667,-0.08,0.32,0.32,0.36,0.31
85,1885,0.10733333333333334,-0.06,0.31,0.32,0.35,0.31
86,1886,0.06733333333333336,-0.05,0.31,0.32,0.35,0.31
87,1887,-0.21266666666666662,-0.04,0.31,0.32,0.35,0.31
88,1888,0.04733333333333334,-0.02,0.31,0.32,0.35,0.31
89,1889,0.4673333333333333,-0.0,0.31,0.32,0.35,0.31
90,1890,-0.27266666666666667,0.01,0.31,0.32,0.35,0.31
91,1891,-0.13266666666666665,0.03,0.32,0.32,0.35,0.31
92,1892,-0.01266666666666666,0.06,0.33,0.33,0.36,0.32
93,1893,-0.10266666666666663,0.09,0.34,0.34,0.37,0.33
94,1894,0.21733333333333332,0.12,0.34,0.35,0.38,0.34
95,1895,0.18733333333333335,0.16,0.35,0.36,0.39,0.35
96,1896,0.15733333333333333,0.2,0.36,0.36,0.4,0.36
97,1897,0.2773333333333333,0.24,0.36,0.37,0.41,0.36
98,1898,0.18733333333333335,0.26,0.37,0.37,0.41,0.36
99,1899,0.5373333333333333,0.27,0.37,0.37,0.41,0.37
100,1900,0.6073333333333333,0.27,0.37,0.38,0.42,0.37
101,1901,0.6573333333333333,0.25,0.37,0.38,0.42,0.37
102,1902,0.3873333333333333,0.23,0.38,0.38,0.42,0.37
103,1903,0.22733333333333333,0.21,0.38,0.38,0.42,0.38
104,1904,-0.49266666666666664,0.18,0.38,0.39,0.43,0.38
105,1905,0.22733333333333333,0.16,0.38,0.39,0.43,0.38
106,1906,-0.1826666666666667,0.13,0.39,0.39,0.43,0.38
107,1907,-0.01266666666666666,0.11,0.39,0.39,0.43,0.38
108,1908,-0.0626666666666667,0.1,0.39,0.39,0.43,0.38
109,1909,-0.07266666666666671,0.11,0.39,0.4,0.43,0.39
110,1910,-0.10266666666666663,0.12,0.4,0.4,0.44,0.39
