Djibouti,year,obs_anoms,smoothed_anoms,ssp126,ssp245,ssp370,ssp585
0,1800,,,,,,
1,1801,,,,,,
2,1802,,,,,,
3,1803,,,,,,
4,1804,,,,,,
5,1805,,,,,,
6,1806,,,,,,
7,1807,,,,,,
8,1808,,,,,,
9,1809,,,,,,
10,1810,,,,,,
11,1811,,,,,,
12,1812,,,,,,
13,1813,,,,,,
14,1814,,,,,,
15,1815,,,,,,
16,1816,,,,,,
17,1817,,,,,,
18,1818,,,,,,
19,1819,,,,,,
20,1820,,,,,,
21,1821,,,,,,
22,1822,,,,,,
23,1823,,,,,,
24,1824,,,,,,
25,1825,,,,,,
26,1826,,,,,,
27,1827,,,,,,
28,1828,,,,,,
29,1829,,,,,,
30,1830,,,,,,
31,1831,,,,,,
32,1832,,,,,,
33,1833,,,,,,
34,1834,,,,,,
35,1835,,,,,,
36,1836,,,,,,
37,1837,,,,,,
38,1838,,,,,,
39,1839,,,,,,
40,1840,,,,,,
41,1841,,,,,,
42,1842,,,,,,
43,1843,,,,,,
44,1844,,,,,,
45,1845,,,,,,
46,1846,,,,,,
47,1847,,,,,,
48,1848,,,,,,
49,1849,,,,,,
50,1850,,,0.36,0.33,0.35,0.32
51,1851,,,0.35,0.33,0.35,0.32
52,1852,,,0.35,0.33,0.34,0.32
53,1853,,,0.35,0.33,0.34,0.32
54,1854,,,0.35,0.33,0.34,0.32
55,1855,,,0.35,0.33,0.34,0.32
56,1856,,,0.35,0.33,0.33,0.32
57,1857,,,0.35,0.33,0.33,0.32
58,1858,,,0.35,0.33,0.33,0.32
59,1859,,,0.35,0.32,0.33,0.32
60,1860,,,0.35,0.32,0.33,0.32
61,1861,,,0.35,0.32,0.33,0.32
62,1862,,,0.35,0.32,0.33,0.32
63,1863,,,0.34,0.32,0.32,0.32
64,1864,,,0.34,0.32,0.32,0.31
65,1865,,,0.34,0.31,0.32,0.31
66,1866,,,0.34,0.31,0.32,0.31
67,1867,,,0.34,0.31,0.32,0.31
68,1868,,,0.34,0.31,0.32,0.31
69,1869,,,0.34,0.31,0.32,0.31
70,1870,,,0.34,0.31,0.33,0.31
71,1871,,,0.34,0.32,0.33,0.31
72,1872,,,0.34,0.32,0.33,0.31
73,1873,,,0.34,0.32,0.33,0.31
74,1874,,,0.34,0.32,0.33,0.31
75,1875,,,0.34,0.32,0.33,0.31
76,1876,,,0.34,0.32,0.33,0.31
77,1877,,,0.34,0.32,0.33,0.31
78,1878,,,0.33,0.31,0.33,0.3
79,1879,,,0.33,0.31,0.32,0.3
80,1880,,,0.33,0.3,0.32,0.29
81,1881,0.5211111111111111,-0.01,0.32,0.3,0.31,0.29
82,1882,0.0011111111111111183,-0.01,0.32,0.3,0.31,0.29
83,1883,-0.11888888888888885,-0.01,0.32,0.3,0.31,0.29
84,1884,-0.25888888888888884,-0.01,0.32,0.29,0.31,0.29
85,1885,,,0.32,0.29,0.31,0.28
86,1886,0.16111111111111112,-0.01,0.31,0.29,0.3,0.28
87,1887,-0.29888888888888887,-0.01,0.31,0.29,0.3,0.28
88,1888,0.1811111111111111,-0.01,0.31,0.29,0.3,0.28
89,1889,0.031111111111111117,-0.01,0.31,0.29,0.3,0.28
90,1890,-0.21888888888888888,-0.0,0.31,0.29,0.3,0.28
91,1891,0.08111111111111113,0.01,0.32,0.29,0.31,0.29
92,1892,-0.1088888888888889,0.02,0.32,0.3,0.31,0.29
93,1893,-0.03888888888888889,0.03,0.33,0.31,0.32,0.3
94,1894,0.10111111111111112,0.04,0.34,0.32,0.33,0.31
95,1895,0.14111111111111113,0.06,0.35,0.32,0.34,0.31
96,1896,0.21111111111111114,0.07,0.35,0.33,0.34,0.32
97,1897,-0.018888888888888872,0.08,0.35,0.33,0.35,0.32
98,1898,0.09111111111111111,0.1,0.35,0.33,0.35,0.32
99,1899,-0.03888888888888889,0.11,0.36,0.33,0.35,0.32
100,1900,0.20111111111111113,0.11,0.36,0.34,0.36,0.32
101,1901,0.27111111111111114,0.1,0.36,0.34,0.36,0.33
102,1902,0.3011111111111111,0.1,0.37,0.35,0.37,0.33
103,1903,-0.05888888888888885,0.09,0.37,0.35,0.37,0.34
104,1904,0.061111111111111116,0.08,0.37,0.35,0.37,0.34
105,1905,0.20111111111111113,0.07,0.38,0.36,0.37,0.34
106,1906,0.27111111111111114,0.05,0.38,0.36,0.38,0.34
107,1907,-0.25888888888888884,0.03,0.38,0.36,0.38,0.34
108,1908,-0.19888888888888887,0.01,0.38,0.36,0.38,0.35
109,1909,-0.03888888888888889,-0.01,0.39,0.37,0.38,0.35
110,1910,0.2511111111111111,-0.04,0.39,0.38,0.39,0.36
111,1911,0.1811111111111111,-0.07,0.4,0.39,0.4,0.37
112,1912,-0.3388888888888888,-0.09,0.41,0.4,0.41,0.38
