Equatorial Guinea,year,obs_anoms,smoothed_anoms,ssp126,ssp245,ssp370,ssp585
0,1800,,,,,,
1,1801,,,,,,
2,1802,,,,,,
3,1803,,,,,,
4,1804,,,,,,
5,1805,,,,,,
6,1806,,,,,,
7,1807,,,,,,
8,1808,,,,,,
9,1809,,,,,,
10,1810,,,,,,
11,1811,,,,,,
12,1812,,,,,,
13,1813,,,,,,
14,1814,,,,,,
15,1815,,,,,,
16,1816,,,,,,
17,1817,,,,,,
18,1818,,,,,,
19,1819,,,,,,
20,1820,,,,,,
21,1821,,,,,,
22,1822,,,,,,
23,1823,,,,,,
24,1824,,,,,,
25,1825,,,,,,
26,1826,,,,,,
27,1827,,,,,,
28,1828,,,,,,
29,1829,,,,,,
30,1830,,,,,,
31,1831,,,,,,
32,1832,,,,,,
33,1833,,,,,,
34,1834,,,,,,
35,1835,,,,,,
36,1836,,,,,,
37,1837,,,,,,
38,1838,,,,,,
39,1839,,,,,,
40,1840,,,,,,
41,1841,,,,,,
42,1842,,,,,,
43,1843,,,,,,
44,1844,,,,,,
45,1845,,,,,,
46,1846,,,,,,
47,1847,,,,,,
48,1848,,,,,,
49,1849,,,,,,
50,1850,,,0.46,0.46,0.46,0.46
51,1851,,,0.46,0.46,0.46,0.45
52,1852,,,0.46,0.46,0.46,0.45
53,1853,,,0.46,0.45,0.46,0.45
54,1854,,,0.46,0.45,0.46,0.45
55,1855,,,0.45,0.45,0.45,0.45
56,1856,,,0.45,0.45,0.45,0.45
57,1857,,,0.45,0.45,0.45,0.45
58,1858,,,0.45,0.45,0.45,0.45
59,1859,,,0.45,0.45,0.45,0.45
60,1860,,,0.45,0.45,0.44,0.44
61,1861,,,0.45,0.45,0.44,0.44
62,1862,,,0.45,0.44,0.44,0.44
63,1863,,,0.45,0.44,0.44,0.44
64,1864,,,0.45,0.44,0.44,0.44
65,1865,,,0.45,0.44,0.44,0.44
66,1866,,,0.45,0.44,0.44,0.44
67,1867,,,0.45,0.44,0.44,0.44
68,1868,,,0.45,0.44,0.45,0.44
69,1869,,,0.45,0.44,0.45,0.44
70,1870,,,0.45,0.45,0.45,0.44
71,1871,,,0.45,0.45,0.46,0.45
72,1872,,,0.45,0.45,0.46,0.45
73,1873,,,0.46,0.45,0.46,0.45
74,1874,0.14500000000000002,0.06,0.46,0.45,0.47,0.45
75,1875,-0.10499999999999998,0.06,0.46,0.46,0.47,0.45
76,1876,,,0.46,0.46,0.47,0.45
77,1877,0.375,0.05,0.46,0.46,0.47,0.45
78,1878,0.235,0.05,0.46,0.45,0.46,0.45
79,1879,-0.535,0.05,0.45,0.45,0.46,0.45
80,1880,-0.365,0.05,0.45,0.45,0.45,0.44
81,1881,0.034999999999999976,0.05,0.45,0.44,0.45,0.44
82,1882,-0.04500000000000004,0.05,0.45,0.44,0.45,0.44
83,1883,0.255,0.04,0.45,0.44,0.44,0.43
84,1884,-0.03500000000000003,0.04,0.44,0.44,0.44,0.43
85,1885,0.09499999999999997,0.04,0.44,0.44,0.44,0.43
86,1886,0.375,0.04,0.44,0.44,0.44,0.43
87,1887,-0.30500000000000005,0.05,0.44,0.43,0.44,0.43
88,1888,0.07500000000000001,0.06,0.44,0.43,0.44,0.43
89,1889,0.395,0.07,0.44,0.43,0.44,0.43
90,1890,-0.5950000000000001,0.07,0.44,0.43,0.44,0.43
91,1891,-0.16500000000000004,0.08,0.44,0.44,0.44,0.43
92,1892,0.0050000000000000044,0.09,0.45,0.44,0.45,0.44
93,1893,0.08500000000000002,0.1,0.45,0.45,0.45,0.44
94,1894,0.195,0.11,0.46,0.46,0.46,0.45
95,1895,0.28500000000000003,0.12,0.47,0.46,0.47,0.46
96,1896,0.015000000000000013,0.12,0.47,0.47,0.47,0.46
97,1897,0.275,0.12,0.48,0.47,0.48,0.46
98,1898,-0.04500000000000004,0.1,0.48,0.47,0.48,0.47
99,1899,0.485,0.08,0.48,0.47,0.48,0.47
100,1900,0.28500000000000003,0.05,0.48,0.47,0.48,0.47
101,1901,0.255,0.02,0.48,0.48,0.48,0.47
102,1902,-0.10499999999999998,-0.0,0.49,0.48,0.49,0.48
103,1903,-0.395,-0.03,0.49,0.48,0.49,0.48
104,1904,-0.9249999999999999,-0.06,0.49,0.48,0.49,0.48
105,1905,-0.09499999999999997,-0.08,0.49,0.48,0.49,0.48
106,1906,-0.28500000000000003,-0.09,0.49,0.49,0.5,0.48
107,1907,-0.245,-0.08,0.49,0.49,0.5,0.48
108,1908,-0.19499999999999995,-0.05,0.5,0.49,0.5,0.49
109,1909,-0.14500000000000002,-0.0,0.5,0.49,0.5,0.49
110,1910,-0.09499999999999997,0.05,0.5,0.5,0.51,0.49
111,1911,-0.29500000000000004,0.1,0.51,0.5,0.51,0.5
112,1912,0.605,0.15,0.52,0.51,0.52,0.51
