Ethiopia,year,obs_anoms,smoothed_anoms,ssp126,ssp245,ssp370,ssp585
0,1800,,,,,,
1,1801,,,,,,
2,1802,,,,,,
3,1803,,,,,,
4,1804,,,,,,
5,1805,,,,,,
6,1806,,,,,,
7,1807,,,,,,
8,1808,,,,,,
9,1809,,,,,,
10,1810,,,,,,
11,1811,,,,,,
12,1812,,,,,,
13,1813,,,,,,
14,1814,,,,,,
15,1815,,,,,,
16,1816,,,,,,
17,1817,,,,,,
18,1818,,,,,,
19,1819,,,,,,
20,1820,,,,,,
21,1821,,,,,,
22,1822,,,,,,
23,1823,,,,,,
24,1824,,,,,,
25,1825,,,,,,
26,1826,,,,,,
27,1827,,,,,,
28,1828,,,,,,
29,1829,,,,,,
30,1830,,,,,,
31,1831,,,,,,
32,1832,,,,,,
33,1833,,,,,,
34,1834,,,,,,
35,1835,,,,,,
36,1836,,,,,,
37,1837,,,,,,
38,1838,,,,,,
39,1839,,,,,,
40,1840,,,,,,
41,1841,,,,,,
42,1842,,,,,,
43,1843,,,,,,
44,1844,,,,,,
45,1845,,,,,,
46,1846,,,,,,
47,1847,,,,,,
48,1848,,,,,,
49,1849,,,,,,
50,1850,,,0.29,0.3,0.31,0.28
51,1851,,,0.29,0.3,0.31,0.28
52,1852,,,0.29,0.3,0.31,0.29
53,1853,,,0.3,0.3,0.31,0.29
54,1854,,,0.3,0.3,0.31,0.29
55,1855,,,0.3,0.31,0.31,0.29
56,1856,,,0.31,0.31,0.31,0.3
57,1857,,,0.31,0.31,0.31,0.3
58,1858,,,0.31,0.31,0.32,0.3
59,1859,,,0.31,0.32,0.32,0.3
60,1860,,,0.32,0.32,0.32,0.31
61,1861,,,0.32,0.32,0.32,0.31
62,1862,,,0.32,0.32,0.32,0.31
63,1863,,,0.32,0.32,0.32,0.31
64,1864,,,0.32,0.32,0.32,0.31
65,1865,,,0.32,0.32,0.32,0.31
66,1866,,,0.32,0.32,0.32,0.31
67,1867,,,0.32,0.32,0.32,0.31
68,1868,,,0.32,0.32,0.33,0.31
69,1869,,,0.32,0.32,0.33,0.31
70,1870,,,0.32,0.32,0.33,0.31
71,1871,,,0.33,0.33,0.34,0.31
72,1872,,,0.33,0.33,0.34,0.32
73,1873,,,0.33,0.33,0.34,0.32
74,1874,,,0.33,0.33,0.34,0.32
75,1875,,,0.33,0.33,0.34,0.32
76,1876,,,0.32,0.33,0.34,0.32
77,1877,,,0.32,0.33,0.34,0.32
78,1878,,,0.32,0.33,0.34,0.31
79,1879,,,0.32,0.32,0.33,0.31
80,1880,,,0.31,0.32,0.33,0.31
81,1881,,,0.31,0.32,0.33,0.31
82,1882,0.08124999999999999,-0.05,0.31,0.32,0.33,0.31
83,1883,-0.03875000000000001,-0.04,0.31,0.32,0.33,0.31
84,1884,-0.20875,-0.03,0.31,0.32,0.33,0.3
85,1885,,,0.31,0.32,0.33,0.3
86,1886,0.13124999999999998,-0.0,0.31,0.32,0.32,0.3
87,1887,-0.20875,0.01,0.31,0.31,0.32,0.3
88,1888,0.20124999999999996,0.03,0.31,0.31,0.32,0.3
89,1889,0.15124999999999997,0.04,0.31,0.32,0.32,0.3
90,1890,-0.10875000000000001,0.06,0.31,0.32,0.33,0.3
91,1891,0.08124999999999999,0.08,0.32,0.32,0.33,0.31
92,1892,-0.018750000000000044,0.09,0.33,0.33,0.34,0.32
93,1893,-0.028750000000000053,0.12,0.34,0.34,0.35,0.32
94,1894,0.17124999999999996,0.14,0.34,0.35,0.36,0.33
95,1895,0.25125,0.16,0.35,0.36,0.36,0.34
96,1896,0.28125,0.18,0.36,0.36,0.37,0.34
97,1897,0.14124999999999996,0.2,0.36,0.36,0.37,0.34
98,1898,0.25125,0.22,0.36,0.36,0.38,0.35
99,1899,0.21124999999999997,0.22,0.37,0.37,0.38,0.35
100,1900,0.39125,0.22,0.37,0.37,0.38,0.35
101,1901,0.56125,0.22,0.37,0.37,0.39,0.36
102,1902,0.27125,0.2,0.38,0.38,0.39,0.36
103,1903,0.15124999999999997,0.19,0.38,0.38,0.4,0.37
104,1904,0.05124999999999996,0.17,0.39,0.39,0.4,0.37
105,1905,0.27125,0.15,0.39,0.39,0.4,0.37
106,1906,0.21124999999999997,0.13,0.39,0.39,0.4,0.37
107,1907,-0.14875000000000005,0.11,0.39,0.39,0.4,0.37
108,1908,0.0012499999999999734,0.08,0.4,0.4,0.41,0.38
109,1909,-0.14875000000000005,0.06,0.4,0.4,0.41,0.38
110,1910,0.54125,0.04,0.41,0.41,0.42,0.39
111,1911,0.23124999999999996,0.03,0.42,0.42,0.43,0.4
112,1912,-0.22875,0.02,0.43,0.43,0.44,0.41
113,1913,-0.17875000000000008,0.02,0.44,0.44,0.45,0.42
114,1914,0.35124999999999995,0.03,0.44,0.45,0.46,0.43
