Greece,year,obs_anoms,smoothed_anoms,ssp126,ssp245,ssp370,ssp585
0,1800,0.35387096774193544,0.71,,,,
1,1801,0.9338709677419355,0.59,,,,
2,1802,0.9138709677419354,0.47,,,,
3,1803,0.12387096774193546,0.36,,,,
4,1804,0.32387096774193547,0.24,,,,
5,1805,-0.44612903225806455,0.13,,,,
6,1806,0.29387096774193544,0.01,,,,
7,1807,0.47387096774193543,-0.1,,,,
8,1808,-0.9561290322580647,-0.21,,,,
9,1809,-0.7961290322580645,-0.33,,,,
10,1810,-0.3861290322580646,-0.42,,,,
11,1811,-0.2361290322580646,-0.48,,,,
12,1812,-0.9561290322580647,-0.52,,,,
13,1813,-0.8561290322580646,-0.55,,,,
14,1814,-0.7361290322580645,-0.54,,,,
15,1815,-0.6961290322580647,-0.52,,,,
16,1816,-1.0761290322580646,-0.48,,,,
17,1817,-0.5761290322580646,-0.43,,,,
18,1818,-0.08612903225806456,-0.37,,,,
19,1819,-0.19612903225806455,-0.31,,,,
20,1820,-0.09612903225806457,-0.25,,,,
21,1821,-0.2861290322580645,-0.19,,,,
22,1822,0.21387096774193542,-0.14,,,,
23,1823,-0.05612903225806454,-0.11,,,,
24,1824,0.5238709677419354,-0.1,,,,
25,1825,-0.20612903225806456,-0.1,,,,
26,1826,-0.2561290322580646,-0.12,,,,
27,1827,0.3938709677419354,-0.14,,,,
28,1828,-0.016129032258064557,-0.17,,,,
29,1829,-0.6961290322580647,-0.21,,,,
30,1830,-0.07612903225806456,-0.26,,,,
31,1831,-0.31612903225806455,-0.31,,,,
32,1832,-1.0961290322580646,-0.35,,,,
33,1833,-0.2661290322580646,-0.39,,,,
34,1834,0.0038709677419354604,-0.42,,,,
35,1835,-0.7661290322580645,-0.44,,,,
36,1836,-0.2361290322580646,-0.45,,,,
37,1837,-1.0061290322580645,-0.45,,,,
38,1838,-0.8061290322580645,-0.44,,,,
39,1839,-0.31612903225806455,-0.42,,,,
40,1840,-0.6661290322580646,-0.4,,,,
41,1841,0.4038709677419354,-0.37,,,,
42,1842,-0.4061290322580645,-0.33,,,,
43,1843,-0.2561290322580646,-0.3,,,,
44,1844,-0.5961290322580646,-0.27,,,,
45,1845,-0.2761290322580645,-0.23,,,,
46,1846,0.7438709677419355,-0.2,,,,
47,1847,-0.15612903225806452,-0.17,,,,
48,1848,0.22387096774193543,-0.16,,,,
49,1849,-0.20612903225806456,-0.15,,,,
50,1850,-0.6961290322580647,-0.14,0.35,0.32,0.39,0.33
51,1851,-0.16612903225806452,-0.14,0.36,0.33,0.39,0.33
52,1852,0.06387096774193546,-0.15,0.36,0.33,0.39,0.34
53,1853,0.43387096774193545,-0.14,0.37,0.34,0.39,0.34
54,1854,-0.43612903225806454,-0.13,0.37,0.34,0.4,0.35
55,1855,0.013870967741935414,-0.1,0.37,0.35,0.4,0.35
56,1856,-0.3561290322580646,-0.07,0.38,0.35,0.4,0.36
57,1857,-0.5561290322580645,-0.04,0.38,0.36,0.4,0.36
58,1858,-0.6861290322580647,-0.01,0.39,0.36,0.41,0.37
59,1859,0.18387096774193543,0.02,0.39,0.37,0.41,0.37
60,1860,0.6538709677419354,0.04,0.39,0.37,0.41,0.38
61,1861,0.10387096774193544,0.06,0.4,0.38,0.41,0.38
62,1862,0.47387096774193543,0.09,0.4,0.38,0.41,0.39
63,1863,0.6038709677419354,0.12,0.41,0.38,0.42,0.39
64,1864,-0.44612903225806455,0.15,0.41,0.39,0.42,0.4
65,1865,0.023870967741935423,0.16,0.41,0.39,0.42,0.4
66,1866,0.35387096774193544,0.16,0.41,0.39,0.42,0.4
67,1867,0.18387096774193543,0.14,0.41,0.39,0.42,0.4
68,1868,0.17387096774193544,0.12,0.41,0.39,0.42,0.4
69,1869,0.20387096774193544,0.1,0.41,0.39,0.42,0.39
70,1870,-0.17612903225806453,0.08,0.41,0.39,0.43,0.39
71,1871,-0.2361290322580646,0.07,0.41,0.39,0.43,0.39
72,1872,0.8138709677419355,0.06,0.41,0.39,0.43,0.39
73,1873,0.3838709677419354,0.05,0.41,0.39,0.43,0.39
74,1874,-0.3961290322580646,0.03,0.41,0.39,0.43,0.39
75,1875,-0.9361290322580647,0.01,0.41,0.39,0.43,0.39
76,1876,0.22387096774193543,-0.02,0.41,0.39,0.43,0.39
77,1877,-0.026129032258064566,-0.05,0.4,0.38,0.43,0.38
78,1878,0.28387096774193543,-0.07,0.4,0.38,0.42,0.38
79,1879,0.14387096774193542,-0.09,0.39,0.37,0.42,0.37
80,1880,-0.20612903225806456,-0.11,0.38,0.36,0.41,0.36
81,1881,-0.29612903225806453,-0.12,0.37,0.36,0.41,0.35
82,1882,-0.2661290322580646,-0.13,0.36,0.35,0.4,0.34
83,1883,-0.45612903225806456,-0.14,0.35,0.34,0.39,0.34
84,1884,-0.6561290322580646,-0.15,0.34,0.33,0.38,0.33
85,1885,0.10387096774193544,-0.16,0.34,0.32,0.38,0.32
