Greenland,year,obs_anoms,smoothed_anoms,ssp126,ssp245,ssp370,ssp585
0,1800,-0.13387096774193552,0.34,,,,
1,1801,0.2761290322580645,0.26,,,,
2,1802,0.22612903225806447,0.17,,,,
3,1803,0.2661290322580645,0.09,,,,
4,1804,0.2861290322580645,0.01,,,,
5,1805,0.16612903225806447,-0.07,,,,
6,1806,0.17612903225806448,-0.15,,,,
7,1807,-0.27387096774193553,-0.23,,,,
8,1808,-0.7438709677419355,-0.3,,,,
9,1809,-0.3338709677419355,-0.39,,,,
10,1810,-0.8838709677419354,-0.46,,,,
11,1811,-1.9338709677419357,-0.52,,,,
12,1812,-0.3638709677419355,-0.57,,,,
13,1813,-0.5438709677419356,-0.59,,,,
14,1814,-0.40387096774193554,-0.59,,,,
15,1815,-0.7338709677419355,-0.57,,,,
16,1816,-1.2338709677419355,-0.52,,,,
17,1817,-0.8738709677419356,-0.47,,,,
18,1818,0.17612903225806448,-0.41,,,,
19,1819,-0.4638709677419355,-0.34,,,,
20,1820,-0.27387096774193553,-0.26,,,,
21,1821,-0.17387096774193556,-0.19,,,,
22,1822,-0.05387096774193556,-0.1,,,,
23,1823,-0.18387096774193556,-0.0,,,,
24,1824,0.5861290322580645,0.08,,,,
25,1825,-0.18387096774193556,0.14,,,,
26,1826,0.24612903225806448,0.15,,,,
27,1827,0.24612903225806448,0.14,,,,
28,1828,0.4361290322580645,0.09,,,,
29,1829,0.9061290322580644,0.03,,,,
30,1830,0.9261290322580644,-0.06,,,,
31,1831,0.5661290322580645,-0.14,,,,
32,1832,-1.2938709677419356,-0.22,,,,
33,1833,-0.5838709677419356,-0.29,,,,
34,1834,-0.40387096774193554,-0.35,,,,
35,1835,-0.9038709677419354,-0.41,,,,
36,1836,-1.6438709677419356,-0.46,,,,
37,1837,-1.4838709677419355,-0.49,,,,
38,1838,-0.3638709677419355,-0.49,,,,
39,1839,-0.7438709677419355,-0.45,,,,
40,1840,0.2761290322580645,-0.37,,,,
41,1841,-0.2438709677419355,-0.27,,,,
42,1842,-0.16387096774193555,-0.16,,,,
43,1843,0.21612903225806446,-0.05,,,,
44,1844,-0.8938709677419354,0.05,,,,
45,1845,0.05612903225806448,0.13,,,,
46,1846,0.7461290322580645,0.2,,,,
47,1847,1.5561290322580645,0.24,,,,
48,1848,0.3661290322580645,0.28,,,,
49,1849,0.05612903225806448,0.3,,,,
50,1850,0.2561290322580645,0.32,-0.31,-0.36,-0.39,-0.35
51,1851,0.8361290322580646,0.32,-0.3,-0.35,-0.37,-0.34
52,1852,0.5261290322580645,0.29,-0.29,-0.34,-0.36,-0.33
53,1853,0.3761290322580645,0.25,-0.28,-0.33,-0.35,-0.31
54,1854,-0.18387096774193556,0.19,-0.27,-0.32,-0.34,-0.3
55,1855,-0.18387096774193556,0.12,-0.26,-0.31,-0.33,-0.3
56,1856,1.4661290322580645,0.04,-0.26,-0.3,-0.32,-0.29
57,1857,-0.03387096774193554,-0.04,-0.25,-0.29,-0.3,-0.28
58,1858,0.006129032258064493,-0.11,-0.24,-0.28,-0.29,-0.27
59,1859,-0.6838709677419355,-0.17,-0.24,-0.27,-0.28,-0.26
60,1860,0.5661290322580645,-0.22,-0.23,-0.25,-0.27,-0.25
61,1861,-0.6138709677419356,-0.26,-0.22,-0.24,-0.26,-0.24
62,1862,-0.9338709677419355,-0.28,-0.21,-0.24,-0.25,-0.23
63,1863,-1.6238709677419356,-0.3,-0.21,-0.24,-0.25,-0.23
64,1864,0.17612903225806448,-0.3,-0.22,-0.24,-0.25,-0.24
65,1865,-0.2438709677419355,-0.3,-0.22,-0.24,-0.26,-0.24
66,1866,-0.9038709677419354,-0.28,-0.22,-0.25,-0.26,-0.24
67,1867,0.7161290322580645,-0.25,-0.23,-0.25,-0.27,-0.25
68,1868,-0.7738709677419355,-0.21,-0.23,-0.25,-0.27,-0.25
69,1869,-0.023870967741935534,-0.16,-0.23,-0.26,-0.27,-0.25
70,1870,0.04612903225806447,-0.12,-0.23,-0.26,-0.28,-0.25
71,1871,-0.17387096774193556,-0.07,-0.23,-0.26,-0.28,-0.26
72,1872,0.8461290322580645,-0.03,-0.24,-0.27,-0.28,-0.26
73,1873,-0.5338709677419355,0.01,-0.24,-0.27,-0.28,-0.27
74,1874,-0.1038709677419355,0.04,-0.25,-0.28,-0.29,-0.27
75,1875,0.24612903225806448,0.06,-0.26,-0.28,-0.3,-0.28
76,1876,-0.13387096774193552,0.06,-0.27,-0.29,-0.3,-0.29
77,1877,-0.023870967741935534,0.05,-0.28,-0.3,-0.31,-0.3
78,1878,0.8161290322580645,0.02,-0.29,-0.31,-0.32,-0.31
79,1879,0.4061290322580645,-0.03,-0.3,-0.32,-0.33,-0.32
80,1880,-0.1138709677419355,-0.08,-0.31,-0.33,-0.34,-0.33
81,1881,0.3661290322580645,-0.13,-0.33,-0.34,-0.35,-0.35
82,1882,-1.3038709677419356,-0.18,-0.34,-0.35,-0.35,-0.36
83,1883,0.5161290322580645,-0.24,-0.35,-0.36,-0.36,-0.37
84,1884,-1.0938709677419356,-0.29,-0.35,-0.37,-0.36,-0.37
85,1885,-0.013870967741935525,-0.34,-0.36,-0.37,-0.36,-0.38
86,1886,-1.0238709677419355,-0.38,-0.36,-0.38,-0.36,-0.39
87,1887,-1.7238709677419357,-0.42,-0.37,-0.38,-0.36,-0.39
88,1888,-0.05387096774193556,-0.44,-0.37,-0.38,-0.36,-0.39
89,1889,-0.3538709677419355,-0.45,-0.36,-0.38,-0.35,-0.38
90,1890,-0.3438709677419355,-0.46,-0.35,-0.37,-0.35,-0.37
91,1891,-0.9738709677419355,-0.47,-0.34,-0.35,-0.33,-0.36
92,1892,0.06612903225806449,-0.46,-0.32,-0.33,-0.32,-0.34
93,1893,0.1961290322580645,-0.44,-0.3,-0.31,-0.3,-0.32
94,1894,-1.5438709677419356,-0.4,-0.28,-0.29,-0.28,-0.3
95,1895,0.6861290322580644,-0.35,-0.27,-0.28,-0.27,-0.29
96,1896,-1.1838709677419355,-0.3,-0.26,-0.27,-0.26,-0.28
97,1897,-0.5038709677419355,-0.26,-0.25,-0.26,-0.26,-0.27
98,1898,-1.3938709677419354,-0.23,-0.24,-0.26,-0.25,-0.26
99,1899,-0.43387096774193556,-0.2,-0.24,-0.25,-0.25,-0.26
100,1900,0.8161290322580645,-0.18,-0.23,-0.25,-0.25,-0.25
101,1901,0.5261290322580645,-0.15,-0.22,-0.24,-0.24,-0.24
102,1902,0.24612903225806448,-0.12,-0.22,-0.23,-0.24,-0.24
103,1903,0.10612903225806447,-0.08,-0.21,-0.23,-0.23,-0.23
104,1904,-0.3738709677419355,-0.05,-0.21,-0.23,-0.23,-0.23
105,1905,0.34612903225806446,-0.03,-0.21,-0.23,-0.23,-0.23
106,1906,-0.6538709677419354,-0.02,-0.21,-0.23,-0.23,-0.23
107,1907,-0.5238709677419355,-0.03,-0.22,-0.24,-0.24,-0.24
108,1908,0.6461290322580645,-0.05,-0.22,-0.24,-0.24,-0.24
109,1909,0.1361290322580645,-0.07,-0.22,-0.24,-0.24,-0.24
110,1910,-1.0738709677419356,-0.08,-0.22,-0.24,-0.24,-0.24
111,1911,-0.013870967741935525,-0.1,-0.22,-0.24,-0.23,-0.24
112,1912,0.8461290322580645,-0.12,-0.22,-0.23,-0.23,-0.24
113,1913,0.006129032258064493,-0.15,-0.21,-0.23,-0.23,-0.23
