Guatemala,year,obs_anoms,smoothed_anoms,ssp126,ssp245,ssp370,ssp585
0,1800,-0.2348387096774195,0.35,,,,
1,1801,0.6251612903225805,0.34,,,,
2,1802,,,,,,
3,1803,0.36516129032258055,0.3,,,,
4,1804,,,,,,
5,1805,,,,,,
6,1806,,,,,,
7,1807,,,,,,
8,1808,,,,,,
9,1809,,,,,,
10,1810,,,,,,
11,1811,,,,,,
12,1812,,,,,,
13,1813,,,,,,
14,1814,,,,,,
15,1815,,,,,,
16,1816,,,,,,
17,1817,,,,,,
18,1818,,,,,,
19,1819,,,,,,
20,1820,,,,,,
21,1821,,,,,,
22,1822,-0.29483870967741943,-0.05,,,,
23,1823,,,,,,
24,1824,,,,,,
25,1825,-0.19483870967741945,-0.12,,,,
26,1826,0.20516129032258051,-0.15,,,,
27,1827,0.6251612903225805,-0.18,,,,
28,1828,-0.07483870967741946,-0.2,,,,
29,1829,-0.5348387096774194,-0.23,,,,
30,1830,0.22516129032258053,-0.25,,,,
31,1831,-0.5948387096774195,-0.29,,,,
32,1832,-0.5948387096774195,-0.33,,,,
33,1833,-0.16483870967741943,-0.38,,,,
34,1834,-0.03483870967741942,-0.41,,,,
35,1835,-0.9748387096774194,-0.43,,,,
36,1836,-0.5448387096774194,-0.43,,,,
37,1837,-0.5748387096774195,-0.44,,,,
38,1838,-0.7048387096774196,-0.43,,,,
39,1839,-0.33483870967741947,-0.43,,,,
40,1840,-0.29483870967741943,-0.41,,,,
41,1841,-0.5248387096774194,-0.39,,,,
42,1842,-0.22483870967741948,-0.35,,,,
43,1843,-0.07483870967741946,-0.3,,,,
44,1844,-0.7048387096774196,-0.25,,,,
45,1845,-0.7848387096774194,-0.2,,,,
46,1846,0.10516129032258048,-0.17,,,,
47,1847,-0.2448387096774195,-0.14,,,,
48,1848,-0.10483870967741948,-0.12,,,,
49,1849,0.2751612903225805,-0.11,,,,
50,1850,0.21516129032258052,-0.1,-0.02,-0.05,-0.02,-0.04
51,1851,-0.04483870967741943,-0.09,-0.02,-0.05,-0.02,-0.05
52,1852,0.06516129032258056,-0.08,-0.02,-0.06,-0.02,-0.05
53,1853,-0.16483870967741943,-0.08,-0.03,-0.06,-0.02,-0.05
54,1854,-0.4848387096774194,-0.08,-0.03,-0.06,-0.03,-0.05
55,1855,-0.32483870967741946,-0.08,-0.03,-0.06,-0.03,-0.06
56,1856,-0.20483870967741946,-0.1,-0.03,-0.06,-0.03,-0.06
57,1857,-0.08483870967741947,-0.11,-0.03,-0.07,-0.03,-0.06
58,1858,0.30516129032258055,-0.12,-0.04,-0.07,-0.04,-0.06
59,1859,0.1251612903225805,-0.12,-0.04,-0.07,-0.04,-0.07
60,1860,-0.16483870967741943,-0.11,-0.04,-0.07,-0.04,-0.07
61,1861,-0.07483870967741946,-0.1,-0.04,-0.07,-0.04,-0.07
62,1862,-0.29483870967741943,-0.09,-0.04,-0.08,-0.04,-0.07
63,1863,-0.10483870967741948,-0.09,-0.05,-0.08,-0.05,-0.08
64,1864,-0.44483870967741956,-0.09,-0.05,-0.08,-0.05,-0.08
65,1865,0.05516129032258055,-0.08,-0.05,-0.08,-0.05,-0.08
66,1866,-0.16483870967741943,-0.07,-0.05,-0.08,-0.05,-0.08
67,1867,0.2651612903225805,-0.05,-0.05,-0.08,-0.05,-0.08
68,1868,-0.29483870967741943,-0.04,-0.05,-0.08,-0.05,-0.08
69,1869,0.7351612903225805,-0.02,-0.05,-0.08,-0.05,-0.08
70,1870,-0.03483870967741942,-0.0,-0.04,-0.08,-0.04,-0.08
71,1871,0.04516129032258054,0.01,-0.04,-0.07,-0.04,-0.07
72,1872,0.18516129032258055,0.02,-0.03,-0.07,-0.03,-0.07
73,1873,-0.18483870967741944,0.04,-0.03,-0.06,-0.03,-0.06
74,1874,0.20516129032258051,0.05,-0.02,-0.05,-0.02,-0.05
75,1875,-0.09483870967741947,0.06,-0.02,-0.05,-0.02,-0.05
76,1876,-0.19483870967741945,0.08,-0.02,-0.04,-0.02,-0.05
77,1877,0.2751612903225805,0.08,-0.01,-0.04,-0.01,-0.04
78,1878,0.7551612903225805,0.07,-0.01,-0.04,-0.01,-0.04
79,1879,-0.09483870967741947,0.05,-0.01,-0.04,-0.01,-0.04
80,1880,0.22516129032258053,0.03,-0.01,-0.04,-0.01,-0.05
81,1881,0.24516129032258055,0.01,-0.02,-0.05,-0.01,-0.05
82,1882,0.18516129032258055,-0.02,-0.02,-0.05,-0.02,-0.05
83,1883,-0.05483870967741944,-0.05,-0.02,-0.05,-0.02,-0.05
