Guinea,year,obs_anoms,smoothed_anoms,ssp126,ssp245,ssp370,ssp585
0,1800,,,,,,
1,1801,,,,,,
2,1802,,,,,,
3,1803,,,,,,
4,1804,,,,,,
5,1805,,,,,,
6,1806,,,,,,
7,1807,,,,,,
8,1808,,,,,,
9,1809,,,,,,
10,1810,,,,,,
11,1811,,,,,,
12,1812,,,,,,
13,1813,,,,,,
14,1814,,,,,,
15,1815,,,,,,
16,1816,,,,,,
17,1817,,,,,,
18,1818,,,,,,
19,1819,,,,,,
20,1820,,,,,,
21,1821,,,,,,
22,1822,,,,,,
23,1823,,,,,,
24,1824,,,,,,
25,1825,,,,,,
26,1826,,,,,,
27,1827,,,,,,
28,1828,,,,,,
29,1829,,,,,,
30,1830,,,,,,
31,1831,,,,,,
32,1832,,,,,,
33,1833,,,,,,
34,1834,,,,,,
35,1835,,,,,,
36,1836,,,,,,
37,1837,,,,,,
38,1838,,,,,,
39,1839,,,,,,
40,1840,,,,,,
41,1841,,,,,,
42,1842,,,,,,
43,1843,,,,,,
44,1844,,,,,,
45,1845,,,,,,
46,1846,,,,,,
47,1847,,,,,,
48,1848,,,,,,
49,1849,-0.12157894736842095,-0.1,,,,
50,1850,-0.09157894736842104,-0.1,0.19,0.18,0.19,0.2
51,1851,-0.04157894736842099,-0.1,0.19,0.18,0.19,0.2
52,1852,,,0.19,0.18,0.19,0.19
53,1853,,,0.19,0.18,0.18,0.19
54,1854,,,0.18,0.17,0.18,0.19
55,1855,,,0.18,0.17,0.18,0.19
56,1856,,,0.18,0.17,0.17,0.18
57,1857,-0.281578947368421,-0.11,0.18,0.17,0.17,0.18
58,1858,0.138421052631579,-0.11,0.18,0.16,0.17,0.18
59,1859,0.488421052631579,-0.11,0.18,0.16,0.17,0.18
60,1860,-0.5015789473684209,-0.11,0.18,0.16,0.16,0.18
61,1861,,,0.18,0.16,0.16,0.18
62,1862,-0.581578947368421,-0.11,0.18,0.15,0.16,0.17
63,1863,,,0.17,0.15,0.16,0.17
64,1864,,,0.17,0.15,0.16,0.17
65,1865,0.228421052631579,-0.12,0.17,0.15,0.15,0.17
66,1866,,,0.17,0.15,0.15,0.17
67,1867,,,0.17,0.15,0.15,0.17
68,1868,,,0.17,0.15,0.16,0.17
69,1869,,,0.17,0.15,0.16,0.17
70,1870,,,0.17,0.15,0.17,0.17
71,1871,,,0.18,0.16,0.17,0.18
72,1872,,,0.18,0.16,0.18,0.18
73,1873,,,0.18,0.17,0.18,0.18
74,1874,-0.20157894736842102,-0.02,0.19,0.17,0.18,0.18
75,1875,-0.46157894736842103,-0.0,0.19,0.17,0.19,0.19
76,1876,-0.23157894736842105,-0.0,0.18,0.17,0.19,0.18
77,1877,0.15842105263157902,0.02,0.18,0.17,0.18,0.18
78,1878,0.398421052631579,0.04,0.18,0.16,0.18,0.18
79,1879,-0.031578947368420984,0.07,0.17,0.16,0.17,0.17
80,1880,0.428421052631579,0.09,0.17,0.15,0.16,0.16
81,1881,0.538421052631579,0.11,0.16,0.15,0.16,0.16
82,1882,0.318421052631579,0.14,0.16,0.14,0.15,0.16
83,1883,,,0.16,0.14,0.15,0.16
84,1884,0.248421052631579,0.15,0.16,0.14,0.15,0.16
85,1885,-0.22157894736842104,0.13,0.16,0.15,0.15,0.16
86,1886,0.08842105263157901,0.12,0.16,0.15,0.15,0.16
87,1887,-0.031578947368420984,0.1,0.16,0.14,0.15,0.16
88,1888,0.16842105263157897,0.1,0.16,0.14,0.15,0.15
89,1889,-0.10157894736842105,0.1,0.16,0.14,0.15,0.16
90,1890,-0.21157894736842103,0.11,0.16,0.15,0.15,0.16
91,1891,0.248421052631579,0.13,0.17,0.15,0.16,0.16
92,1892,0.338421052631579,0.15,0.18,0.16,0.17,0.17
93,1893,0.318421052631579,0.17,0.19,0.17,0.18,0.18
94,1894,0.09842105263157902,0.2,0.2,0.18,0.19,0.2
95,1895,0.248421052631579,0.22,0.21,0.19,0.2,0.21
96,1896,0.228421052631579,0.24,0.22,0.2,0.2,0.21
97,1897,0.328421052631579,0.24,0.22,0.2,0.21,0.22
98,1898,0.068421052631579,0.22,0.23,0.2,0.21,0.22
99,1899,0.758421052631579,0.2,0.23,0.21,0.21,0.22
100,1900,0.138421052631579,0.17,0.23,0.21,0.22,0.22
101,1901,0.508421052631579,0.14,0.24,0.21,0.22,0.23
102,1902,0.388421052631579,0.12,0.24,0.22,0.23,0.23
103,1903,-0.11157894736842106,0.1,0.25,0.22,0.23,0.23
104,1904,-0.401578947368421,0.08,0.25,0.23,0.24,0.24
105,1905,-0.10157894736842105,0.06,0.25,0.23,0.24,0.24
106,1906,0.08842105263157901,0.04,0.26,0.23,0.24,0.24
107,1907,-0.161578947368421,0.04,0.26,0.23,0.25,0.25
108,1908,-0.0015789473684210131,0.05,0.26,0.24,0.25,0.25
