Iceland,year,obs_anoms,smoothed_anoms,ssp126,ssp245,ssp370,ssp585
0,1800,-0.15774193548387094,0.27,,,,
1,1801,0.282258064516129,0.2,,,,
2,1802,0.12225806451612903,0.13,,,,
3,1803,0.20225806451612904,0.06,,,,
4,1804,0.21225806451612905,-0.01,,,,
5,1805,0.17225806451612902,-0.08,,,,
6,1806,0.13225806451612904,-0.14,,,,
7,1807,-0.40774193548387094,-0.21,,,,
8,1808,-0.357741935483871,-0.28,,,,
9,1809,-0.39774193548387093,-0.35,,,,
10,1810,-0.7977419354838711,-0.41,,,,
11,1811,-1.107741935483871,-0.45,,,,
12,1812,-0.5977419354838709,-0.48,,,,
13,1813,-0.19774193548387098,-0.49,,,,
14,1814,-0.5477419354838711,-0.48,,,,
15,1815,-0.457741935483871,-0.44,,,,
16,1816,-1.227741935483871,-0.4,,,,
17,1817,-0.717741935483871,-0.34,,,,
18,1818,0.34225806451612906,-0.27,,,,
19,1819,-0.26774193548387093,-0.19,,,,
20,1820,-0.17774193548387096,-0.11,,,,
21,1821,-0.007741935483870921,-0.03,,,,
22,1822,0.10225806451612901,0.06,,,,
23,1823,-0.02774193548387094,0.15,,,,
24,1824,0.34225806451612906,0.21,,,,
25,1825,0.31225806451612903,0.26,,,,
26,1826,0.752258064516129,0.29,,,,
27,1827,0.222258064516129,0.3,,,,
28,1828,1.312258064516129,0.29,,,,
29,1829,0.5922580645161291,0.27,,,,
30,1830,0.34225806451612906,0.22,,,,
31,1831,0.502258064516129,0.16,,,,
32,1832,-0.227741935483871,0.09,,,,
33,1833,-0.007741935483870921,0.01,,,,
34,1834,0.23225806451612901,-0.06,,,,
35,1835,-0.337741935483871,-0.11,,,,
36,1836,-1.3177419354838709,-0.15,,,,
37,1837,-0.517741935483871,-0.18,,,,
38,1838,-0.6577419354838709,-0.19,,,,
39,1839,-0.727741935483871,-0.18,,,,
40,1840,0.32225806451612904,-0.15,,,,
41,1841,-0.42774193548387096,-0.11,,,,
42,1842,0.822258064516129,-0.06,,,,
43,1843,-0.03774193548387095,-0.0,,,,
44,1844,-0.23774193548387101,0.06,,,,
45,1845,0.13225806451612904,0.12,,,,
46,1846,1.052258064516129,0.17,,,,
47,1847,1.002258064516129,0.21,,,,
48,1848,-0.27774193548387094,0.23,,,,
49,1849,0.002258064516128977,0.24,,,,
50,1850,0.10225806451612901,0.25,-0.3,-0.28,-0.33,-0.26
51,1851,0.682258064516129,0.25,-0.3,-0.28,-0.32,-0.26
52,1852,0.752258064516129,0.24,-0.3,-0.28,-0.32,-0.26
53,1853,0.13225806451612904,0.21,-0.3,-0.28,-0.31,-0.26
54,1854,0.06225806451612903,0.18,-0.3,-0.28,-0.31,-0.26
55,1855,-0.367741935483871,0.14,-0.3,-0.28,-0.31,-0.26
56,1856,0.642258064516129,0.1,-0.31,-0.28,-0.31,-0.27
57,1857,0.46225806451612905,0.05,-0.31,-0.29,-0.31,-0.27
58,1858,0.282258064516129,0.0,-0.31,-0.29,-0.31,-0.27
59,1859,-0.6477419354838709,-0.05,-0.31,-0.29,-0.31,-0.28
60,1860,-0.5877419354838709,-0.1,-0.31,-0.29,-0.31,-0.28
61,1861,0.21225806451612905,-0.15,-0.32,-0.29,-0.31,-0.28
62,1862,-0.207741935483871,-0.19,-0.32,-0.3,-0.31,-0.29
63,1863,-0.697741935483871,-0.22,-0.33,-0.31,-0.32,-0.3
64,1864,0.15225806451612905,-0.24,-0.35,-0.33,-0.33,-0.32
65,1865,-0.317741935483871,-0.24,-0.36,-0.34,-0.35,-0.33
66,1866,-0.8377419354838709,-0.23,-0.37,-0.35,-0.37,-0.34
67,1867,-0.337741935483871,-0.2,-0.38,-0.37,-0.38,-0.36
68,1868,-0.057741935483870965,-0.17,-0.4,-0.38,-0.39,-0.37
69,1869,-0.737741935483871,-0.15,-0.41,-0.39,-0.4,-0.38
70,1870,0.25225806451612903,-0.12,-0.42,-0.4,-0.41,-0.39
71,1871,-0.007741935483870921,-0.1,-0.43,-0.41,-0.42,-0.41
72,1872,0.44225806451612903,-0.07,-0.44,-0.42,-0.43,-0.42
73,1873,-0.08774193548387099,-0.04,-0.46,-0.44,-0.45,-0.43
74,1874,-0.367741935483871,-0.01,-0.48,-0.45,-0.46,-0.45
75,1875,0.802258064516129,0.0,-0.49,-0.47,-0.47,-0.46
76,1876,0.13225806451612904,0.01,-0.51,-0.48,-0.48,-0.48
77,1877,-0.477741935483871,0.01,-0.53,-0.5,-0.5,-0.5
78,1878,-0.14774193548387093,-0.0,-0.55,-0.51,-0.51,-0.51
79,1879,0.17225806451612902,-0.04,-0.57,-0.53,-0.52,-0.53
80,1880,0.6022580645161291,-0.08,-0.58,-0.54,-0.54,-0.54
81,1881,-0.23774193548387101,-0.12,-0.59,-0.55,-0.55,-0.56
82,1882,-0.737741935483871,-0.14,-0.6,-0.56,-0.55,-0.56
83,1883,0.542258064516129,-0.15,-0.61,-0.57,-0.56,-0.57
84,1884,0.532258064516129,-0.15,-0.61,-0.57,-0.56,-0.57
85,1885,-0.8377419354838709,-0.13,-0.61,-0.56,-0.55,-0.57
86,1886,-0.947741935483871,-0.11,-0.6,-0.56,-0.55,-0.57
87,1887,-0.957741935483871,-0.09,-0.59,-0.55,-0.54,-0.56
88,1888,-0.6177419354838709,-0.07,-0.58,-0.54,-0.53,-0.55
89,1889,0.542258064516129,-0.04,-0.56,-0.52,-0.51,-0.53
90,1890,0.6222580645161291,-0.02,-0.54,-0.5,-0.5,-0.51
91,1891,0.15225806451612905,0.01,-0.52,-0.48,-0.48,-0.49
92,1892,-1.6777419354838712,0.05,-0.49,-0.46,-0.46,-0.47
93,1893,0.08225806451612905,0.09,-0.47,-0.44,-0.45,-0.45
94,1894,0.5922580645161291,0.13,-0.45,-0.42,-0.43,-0.43
95,1895,0.15225806451612905,0.14,-0.43,-0.4,-0.42,-0.41
96,1896,0.08225806451612905,0.14,-0.42,-0.38,-0.4,-0.39
97,1897,0.222258064516129,0.12,-0.4,-0.37,-0.39,-0.38
98,1898,-0.097741935483871,0.1,-0.39,-0.35,-0.38,-0.37
99,1899,-0.447741935483871,0.07,-0.38,-0.34,-0.37,-0.35
100,1900,0.23225806451612901,0.05,-0.37,-0.33,-0.36,-0.34
101,1901,0.6122580645161291,0.03,-0.36,-0.32,-0.36,-0.33
102,1902,-0.14774193548387093,0.03,-0.35,-0.31,-0.35,-0.32
103,1903,-0.3877419354838709,0.03,-0.34,-0.31,-0.35,-0.31
104,1904,0.14225806451612905,0.05,-0.34,-0.31,-0.35,-0.31
105,1905,0.26225806451612904,0.07,-0.35,-0.32,-0.36,-0.32
106,1906,-0.3877419354838709,0.09,-0.37,-0.34,-0.37,-0.33
107,1907,-0.487741935483871,0.12,-0.39,-0.36,-0.39,-0.36
108,1908,0.972258064516129,0.13,-0.42,-0.38,-0.41,-0.38
109,1909,0.33225806451612905,0.15,-0.44,-0.41,-0.43,-0.41
110,1910,-0.08774193548387099,0.15,-0.47,-0.43,-0.46,-0.43
111,1911,0.46225806451612905,0.15,-0.49,-0.46,-0.48,-0.45
112,1912,0.422258064516129,0.14,-0.51,-0.48,-0.5,-0.47
113,1913,0.492258064516129,0.13,-0.53,-0.5,-0.52,-0.49
114,1914,-0.16774193548387095,0.11,-0.54,-0.51,-0.54,-0.51
115,1915,0.31225806451612903,0.1,-0.56,-0.53,-0.56,-0.53
116,1916,0.282258064516129,0.08,-0.58,-0.55,-0.58,-0.55
117,1917,-0.5877419354838709,0.07,-0.6,-0.57,-0.6,-0.57
118,1918,-0.317741935483871,0.07,-0.61,-0.58,-0.62,-0.59
119,1919,-0.467741935483871,0.09,-0.62,-0.59,-0.63,-0.59
120,1920,0.18225806451612903,0.12,-0.61,-0.58,-0.63,-0.59
121,1921,-0.08774193548387099,0.17,-0.59,-0.57,-0.61,-0.57
122,1922,0.402258064516129,0.25,-0.57,-0.55,-0.59,-0.55
123,1923,0.21225806451612905,0.33,-0.54,-0.53,-0.57,-0.53
124,1924,0.18225806451612903,0.43,-0.52,-0.51,-0.54,-0.51
125,1925,0.38225806451612904,0.53,-0.5,-0.49,-0.52,-0.49
126,1926,0.932258064516129,0.64,-0.48,-0.48,-0.5,-0.47
127,1927,0.792258064516129,0.73,-0.47,-0.46,-0.48,-0.45
128,1928,1.352258064516129,0.81,-0.45,-0.44,-0.46,-0.44
129,1929,1.362258064516129,0.88,-0.43,-0.43,-0.43,-0.42
130,1930,0.7222580645161291,0.94,-0.41,-0.41,-0.41,-0.4
131,1931,0.522258064516129,0.98,-0.39,-0.38,-0.39,-0.37
132,1932,1.262258064516129,1.02,-0.36,-0.36,-0.36,-0.35
133,1933,1.972258064516129,1.05,-0.33,-0.33,-0.34,-0.32
134,1934,1.242258064516129,1.07,-0.31,-0.3,-0.31,-0.29
135,1935,0.8622580645161291,1.08,-0.28,-0.28,-0.29,-0.27
136,1936,0.672258064516129,1.08,-0.26,-0.25,-0.27,-0.25
137,1937,0.972258064516129,1.07,-0.24,-0.23,-0.26,-0.23
138,1938,1.062258064516129,1.06,-0.22,-0.21,-0.25,-0.21
139,1939,1.822258064516129,1.06,-0.2,-0.19,-0.24,-0.19
140,1940,0.802258064516129,1.05,-0.18,-0.17,-0.23,-0.17
141,1941,1.742258064516129,1.04,-0.16,-0.15,-0.22,-0.15
142,1942,1.072258064516129,1.02,-0.14,-0.13,-0.21,-0.13
143,1943,0.26225806451612904,1.0,-0.12,-0.11,-0.2,-0.12
144,1944,0.362258064516129,0.96,-0.11,-0.09,-0.19,-0.1
145,1945,1.692258064516129,0.92,-0.09,-0.07,-0.19,-0.08
146,1946,1.752258064516129,0.88,-0.08,-0.06,-0.18,-0.07
147,1947,0.8622580645161291,0.84,-0.07,-0.05,-0.18,-0.06
148,1948,0.922258064516129,0.82,-0.06,-0.04,-0.17,-0.05
149,1949,0.09225806451612906,0.81,-0.05,-0.02,-0.17,-0.04
150,1950,0.702258064516129,0.8,-0.04,-0.01,-0.16,-0.03
151,1951,0.222258064516129,0.8,-0.03,-0.0,-0.16,-0.02
152,1952,0.45225806451612904,0.8,-0.02,0.01,-0.15,-0.01
153,1953,1.572258064516129,0.81,-0.02,0.01,-0.15,-0.0
154,1954,0.822258064516129,0.82,-0.02,0.02,-0.15,0.0
155,1955,0.492258064516129,0.85,-0.02,0.01,-0.15,0.0
156,1956,1.292258064516129,0.87,-0.02,0.01,-0.15,-0.0
157,1957,0.8822580645161291,0.89,-0.03,0.0,-0.15,-0.01
