Kenya,year,obs_anoms,smoothed_anoms,ssp126,ssp245,ssp370,ssp585
0,1800,,,,,,
1,1801,,,,,,
2,1802,,,,,,
3,1803,,,,,,
4,1804,,,,,,
5,1805,,,,,,
6,1806,,,,,,
7,1807,,,,,,
8,1808,,,,,,
9,1809,,,,,,
10,1810,,,,,,
11,1811,,,,,,
12,1812,,,,,,
13,1813,,,,,,
14,1814,,,,,,
15,1815,,,,,,
16,1816,,,,,,
17,1817,,,,,,
18,1818,,,,,,
19,1819,,,,,,
20,1820,,,,,,
21,1821,,,,,,
22,1822,,,,,,
23,1823,,,,,,
24,1824,,,,,,
25,1825,,,,,,
26,1826,,,,,,
27,1827,,,,,,
28,1828,,,,,,
29,1829,,,,,,
30,1830,,,,,,
31,1831,,,,,,
32,1832,,,,,,
33,1833,,,,,,
34,1834,,,,,,
35,1835,,,,,,
36,1836,,,,,,
37,1837,,,,,,
38,1838,,,,,,
39,1839,,,,,,
40,1840,,,,,,
41,1841,,,,,,
42,1842,,,,,,
43,1843,,,,,,
44,1844,,,,,,
45,1845,,,,,,
46,1846,,,,,,
47,1847,,,,,,
48,1848,,,,,,
49,1849,,,,,,
50,1850,,,0.38,0.39,0.4,0.38
51,1851,,,0.38,0.39,0.4,0.38
52,1852,,,0.39,0.39,0.4,0.38
53,1853,,,0.39,0.4,0.4,0.39
54,1854,,,0.39,0.4,0.4,0.39
55,1855,,,0.39,0.4,0.4,0.39
56,1856,,,0.39,0.4,0.4,0.39
57,1857,,,0.4,0.4,0.4,0.39
58,1858,,,0.4,0.4,0.4,0.39
59,1859,,,0.4,0.4,0.4,0.4
60,1860,,,0.4,0.41,0.4,0.4
61,1861,,,0.4,0.41,0.4,0.4
62,1862,,,0.4,0.41,0.4,0.4
63,1863,,,0.41,0.41,0.41,0.4
64,1864,,,0.41,0.41,0.41,0.4
65,1865,,,0.41,0.41,0.41,0.4
66,1866,,,0.41,0.42,0.42,0.41
67,1867,,,0.42,0.42,0.42,0.41
68,1868,,,0.42,0.42,0.43,0.41
69,1869,,,0.42,0.43,0.43,0.42
70,1870,,,0.43,0.43,0.44,0.42
71,1871,,,0.43,0.44,0.45,0.43
72,1872,,,0.43,0.44,0.45,0.43
73,1873,,,0.43,0.44,0.45,0.43
74,1874,,,0.43,0.44,0.46,0.43
75,1875,,,0.43,0.44,0.46,0.43
76,1876,,,0.43,0.44,0.46,0.43
77,1877,,,0.43,0.44,0.46,0.43
78,1878,,,0.43,0.44,0.45,0.43
79,1879,,,0.42,0.43,0.45,0.42
80,1880,,,0.42,0.43,0.44,0.42
81,1881,,,0.42,0.43,0.44,0.42
82,1882,0.08624999999999994,-0.06,0.41,0.42,0.44,0.42
83,1883,-0.01375000000000004,-0.04,0.41,0.42,0.43,0.41
84,1884,-0.18375000000000002,-0.03,0.41,0.42,0.43,0.41
85,1885,,,0.41,0.42,0.43,0.41
86,1886,0.06624999999999998,-0.01,0.4,0.42,0.42,0.41
87,1887,-0.18375000000000002,0.01,0.4,0.41,0.42,0.4
88,1888,0.14624999999999994,0.02,0.4,0.41,0.42,0.4
89,1889,0.22624999999999995,0.04,0.4,0.41,0.42,0.4
90,1890,-0.14375,0.05,0.41,0.42,0.42,0.4
91,1891,-0.01375000000000004,0.07,0.41,0.42,0.43,0.41
92,1892,0.03624999999999995,0.09,0.42,0.43,0.43,0.41
93,1893,-0.08375000000000005,0.12,0.43,0.44,0.44,0.42
94,1894,0.16624999999999995,0.16,0.44,0.45,0.45,0.43
95,1895,0.22624999999999995,0.2,0.44,0.45,0.46,0.44
96,1896,0.23624999999999996,0.23,0.45,0.46,0.47,0.44
97,1897,0.16624999999999995,0.26,0.45,0.46,0.47,0.45
98,1898,0.45624999999999993,0.28,0.46,0.47,0.47,0.45
99,1899,0.29624999999999996,0.28,0.46,0.47,0.48,0.45
100,1900,0.64625,0.28,0.46,0.47,0.48,0.46
101,1901,0.63625,0.27,0.47,0.48,0.48,0.46
102,1902,0.43624999999999997,0.25,0.47,0.48,0.49,0.46
103,1903,0.48624999999999996,0.24,0.47,0.48,0.49,0.47
104,1904,-0.03375000000000006,0.21,0.48,0.48,0.49,0.47
105,1905,0.12624999999999997,0.18,0.48,0.48,0.49,0.47
106,1906,-0.07375000000000004,0.15,0.48,0.49,0.49,0.47
107,1907,-0.12375000000000008,0.12,0.48,0.49,0.49,0.47
108,1908,0.21624999999999997,0.1,0.48,0.49,0.49,0.47
109,1909,-0.11375000000000007,0.09,0.49,0.49,0.5,0.48
110,1910,0.09624999999999995,0.08,0.49,0.5,0.5,0.48
111,1911,0.03624999999999995,0.08,0.5,0.5,0.51,0.49
112,1912,-0.09375000000000006,0.09,0.51,0.51,0.52,0.5
113,1913,0.10624999999999996,0.1,0.51,0.52,0.52,0.51
