Kuwait,year,obs_anoms,smoothed_anoms,ssp126,ssp245,ssp370,ssp585
0,1800,,,,,,
1,1801,,,,,,
2,1802,,,,,,
3,1803,,,,,,
4,1804,,,,,,
5,1805,,,,,,
6,1806,,,,,,
7,1807,,,,,,
8,1808,,,,,,
9,1809,,,,,,
10,1810,,,,,,
11,1811,,,,,,
12,1812,,,,,,
13,1813,,,,,,
14,1814,,,,,,
15,1815,,,,,,
16,1816,,,,,,
17,1817,,,,,,
18,1818,,,,,,
19,1819,,,,,,
20,1820,,,,,,
21,1821,,,,,,
22,1822,,,,,,
23,1823,,,,,,
24,1824,,,,,,
25,1825,,,,,,
26,1826,,,,,,
27,1827,,,,,,
28,1828,,,,,,
29,1829,,,,,,
30,1830,,,,,,
31,1831,,,,,,
32,1832,,,,,,
33,1833,,,,,,
34,1834,,,,,,
35,1835,,,,,,
36,1836,,,,,,
37,1837,,,,,,
38,1838,,,,,,
39,1839,,,,,,
40,1840,-0.7187096774193549,-0.6,,,,
41,1841,,,,,,
42,1842,,,,,,
43,1843,-0.3487096774193548,-0.5,,,,
44,1844,-0.5787096774193548,-0.46,,,,
45,1845,-0.47870967741935483,-0.43,,,,
46,1846,,,,,,
47,1847,-0.1687096774193549,-0.36,,,,
48,1848,-0.4187096774193549,-0.33,,,,
49,1849,-0.1787096774193549,-0.3,,,,
50,1850,-0.6387096774193548,-0.27,0.34,0.29,0.3,0.31
51,1851,0.15129032258064515,-0.25,0.34,0.29,0.31,0.31
52,1852,-0.14870967741935487,-0.23,0.35,0.3,0.32,0.32
53,1853,0.02129032258064517,-0.21,0.35,0.3,0.32,0.32
54,1854,-0.38870967741935486,-0.2,0.35,0.31,0.33,0.33
55,1855,-0.03870967741935483,-0.2,0.36,0.31,0.34,0.33
56,1856,-0.37870967741935485,-0.2,0.36,0.32,0.35,0.34
57,1857,-0.7687096774193547,-0.21,0.37,0.33,0.35,0.34
58,1858,0.15129032258064515,-0.22,0.37,0.33,0.36,0.35
59,1859,0.13129032258064516,-0.21,0.38,0.34,0.37,0.35
60,1860,0.11129032258064514,-0.19,0.38,0.34,0.38,0.36
61,1861,-0.6087096774193548,-0.16,0.39,0.35,0.38,0.36
62,1862,-0.8787096774193548,-0.12,0.39,0.35,0.39,0.37
63,1863,-0.5387096774193549,-0.08,0.4,0.35,0.39,0.37
64,1864,0.21129032258064515,-0.04,0.4,0.36,0.39,0.37
65,1865,0.30129032258064514,-0.01,0.4,0.36,0.39,0.37
66,1866,-0.028709677419354818,0.02,0.4,0.36,0.39,0.37
67,1867,0.24129032258064514,0.05,0.4,0.36,0.39,0.37
68,1868,0.11129032258064514,0.09,0.4,0.36,0.39,0.38
69,1869,0.4612903225806452,0.12,0.41,0.36,0.39,0.38
70,1870,0.20129032258064516,0.14,0.41,0.36,0.39,0.38
71,1871,-0.10870967741935483,0.16,0.41,0.37,0.39,0.38
72,1872,0.02129032258064517,0.19,0.41,0.37,0.4,0.38
73,1873,0.33129032258064517,0.21,0.41,0.37,0.4,0.39
74,1874,0.03129032258064518,0.24,0.41,0.37,0.4,0.39
75,1875,-0.24870967741935485,0.25,0.41,0.37,0.4,0.38
76,1876,0.3512903225806452,0.25,0.41,0.37,0.4,0.38
77,1877,0.8512903225806452,0.24,0.41,0.37,0.4,0.38
78,1878,0.7112903225806452,0.22,0.41,0.36,0.4,0.38
79,1879,0.6612903225806452,0.2,0.4,0.35,0.39,0.37
80,1880,-0.2787096774193549,0.17,0.39,0.35,0.39,0.36
81,1881,0.6112903225806452,0.15,0.39,0.34,0.38,0.36
82,1882,-0.48870967741935484,0.12,0.38,0.33,0.37,0.35
83,1883,0.12129032258064515,0.08,0.38,0.33,0.37,0.34
84,1884,-0.3087096774193548,0.05,0.37,0.32,0.37,0.34
85,1885,-0.08870967741935482,0.02,0.37,0.32,0.37,0.34
86,1886,-0.4087096774193549,0.01,0.37,0.32,0.37,0.34
87,1887,-0.03870967741935483,-0.0,0.37,0.32,0.37,0.34
88,1888,0.4812903225806452,-0.01,0.37,0.32,0.36,0.33
89,1889,0.45129032258064516,-0.01,0.37,0.32,0.36,0.33
90,1890,-0.1887096774193548,-0.02,0.37,0.32,0.36,0.33
91,1891,0.07129032258064516,-0.03,0.37,0.32,0.37,0.34
92,1892,0.18129032258064515,-0.04,0.37,0.33,0.37,0.34
93,1893,-0.018709677419354864,-0.06,0.38,0.34,0.38,0.35
94,1894,-0.4087096774193549,-0.07,0.39,0.35,0.39,0.36
95,1895,-0.21870967741935482,-0.07,0.4,0.36,0.4,0.37
96,1896,-0.2787096774193549,-0.06,0.41,0.37,0.41,0.38
97,1897,-0.1987096774193548,-0.04,0.41,0.37,0.41,0.38
98,1898,-0.5187096774193549,-0.04,0.41,0.37,0.4,0.37
99,1899,0.21129032258064515,-0.04,0.4,0.36,0.4,0.37
