Lesotho,year,obs_anoms,smoothed_anoms,ssp126,ssp245,ssp370,ssp585
0,1800,,,,,,
1,1801,,,,,,
2,1802,,,,,,
3,1803,,,,,,
4,1804,,,,,,
5,1805,,,,,,
6,1806,,,,,,
7,1807,,,,,,
8,1808,,,,,,
9,1809,,,,,,
10,1810,,,,,,
11,1811,,,,,,
12,1812,,,,,,
13,1813,,,,,,
14,1814,,,,,,
15,1815,,,,,,
16,1816,,,,,,
17,1817,,,,,,
18,1818,,,,,,
19,1819,,,,,,
20,1820,,,,,,
21,1821,,,,,,
22,1822,,,,,,
23,1823,,,,,,
24,1824,,,,,,
25,1825,,,,,,
26,1826,,,,,,
27,1827,,,,,,
28,1828,,,,,,
29,1829,,,,,,
30,1830,,,,,,
31,1831,,,,,,
32,1832,,,,,,
33,1833,,,,,,
34,1834,,,,,,
35,1835,,,,,,
36,1836,,,,,,
37,1837,,,,,,
38,1838,,,,,,
39,1839,,,,,,
40,1840,,,,,,
41,1841,,,,,,
42,1842,,,,,,
43,1843,,,,,,
44,1844,,,,,,
45,1845,,,,,,
46,1846,,,,,,
47,1847,,,,,,
48,1848,,,,,,
49,1849,,,,,,
50,1850,,,0.21,0.23,0.23,0.23
51,1851,,,0.2,0.22,0.22,0.22
52,1852,,,0.19,0.21,0.21,0.21
53,1853,,,0.19,0.2,0.21,0.2
54,1854,,,0.18,0.19,0.2,0.19
55,1855,,,0.17,0.18,0.19,0.18
56,1856,,,0.16,0.17,0.18,0.17
57,1857,-0.3845454545454545,-0.25,0.15,0.16,0.17,0.16
58,1858,-0.07454545454545447,-0.21,0.14,0.15,0.17,0.15
59,1859,0.045454545454545525,-0.18,0.14,0.15,0.16,0.15
60,1860,-0.20454545454545447,-0.14,0.13,0.14,0.15,0.14
61,1861,-0.2445454545454545,-0.1,0.12,0.13,0.14,0.13
62,1862,-0.31454545454545446,-0.07,0.11,0.11,0.13,0.12
63,1863,-0.16454545454545455,-0.04,0.1,0.11,0.13,0.11
64,1864,-0.09454545454545449,-0.01,0.1,0.1,0.12,0.1
65,1865,0.4754545454545455,0.02,0.09,0.09,0.12,0.1
66,1866,0.3654545454545455,0.05,0.09,0.09,0.11,0.1
67,1867,0.3254545454545455,0.06,0.09,0.09,0.11,0.09
68,1868,-0.06454545454545446,0.07,0.09,0.09,0.11,0.1
69,1869,0.3254545454545455,0.08,0.09,0.09,0.11,0.1
70,1870,-0.05454545454545445,0.09,0.09,0.1,0.11,0.1
71,1871,0.045454545454545525,0.08,0.1,0.1,0.12,0.11
72,1872,0.035454545454545516,0.07,0.1,0.11,0.12,0.11
73,1873,,,0.11,0.11,0.12,0.12
74,1874,0.06545454545454549,0.01,0.11,0.12,0.12,0.12
75,1875,-0.16454545454545455,-0.01,0.11,0.12,0.13,0.12
76,1876,-0.13454545454545452,-0.04,0.12,0.13,0.13,0.12
77,1877,0.3154545454545455,-0.06,0.12,0.13,0.13,0.12
78,1878,0.1954545454545455,-0.08,0.11,0.13,0.12,0.12
79,1879,-0.29454545454545455,-0.09,0.11,0.12,0.11,0.12
80,1880,,,0.11,0.12,0.11,0.11
81,1881,-0.30454545454545445,-0.1,0.11,0.12,0.1,0.11
82,1882,-0.3745454545454545,-0.1,0.1,0.12,0.1,0.11
83,1883,-0.09454545454545449,-0.1,0.1,0.11,0.1,0.11
84,1884,-0.28454545454545455,-0.1,0.1,0.11,0.1,0.11
85,1885,0.045454545454545525,-0.1,0.1,0.11,0.1,0.11
86,1886,0.1454545454545455,-0.1,0.1,0.11,0.1,0.1
87,1887,-0.3645454545454545,-0.09,0.1,0.11,0.1,0.1
88,1888,0.0854545454545455,-0.08,0.1,0.11,0.1,0.1
89,1889,0.42545454545454553,-0.07,0.1,0.11,0.1,0.1
90,1890,-0.1145454545454545,-0.06,0.1,0.11,0.1,0.11
91,1891,-0.06454545454545446,-0.05,0.11,0.12,0.11,0.11
92,1892,-0.08454545454545448,-0.05,0.12,0.12,0.12,0.12
93,1893,-0.3745454545454545,-0.05,0.13,0.13,0.13,0.13
94,1894,-0.21454545454545448,-0.04,0.14,0.14,0.14,0.14
95,1895,-0.13454545454545452,-0.04,0.14,0.15,0.15,0.15
96,1896,0.6354545454545455,-0.04,0.15,0.15,0.16,0.15
97,1897,0.17545454545454547,-0.04,0.15,0.16,0.16,0.15
98,1898,-0.3545454545454545,-0.04,0.16,0.16,0.16,0.16
99,1899,0.035454545454545516,-0.04,0.16,0.16,0.16,0.16
100,1900,0.5354545454545455,-0.03,0.16,0.16,0.16,0.16
101,1901,-0.07454545454545447,-0.04,0.16,0.17,0.17,0.17
102,1902,-0.29454545454545455,-0.04,0.17,0.17,0.17,0.17
103,1903,-0.09454545454545449,-0.05,0.18,0.18,0.18,0.18
104,1904,-0.17454545454545445,-0.06,0.18,0.18,0.18,0.18
