Libya,year,obs_anoms,smoothed_anoms,ssp126,ssp245,ssp370,ssp585
0,1800,0.19516129032258062,0.74,,,,
1,1801,0.6051612903225807,0.61,,,,
2,1802,0.5751612903225807,0.49,,,,
3,1803,0.40516129032258064,0.37,,,,
4,1804,0.5451612903225806,0.24,,,,
5,1805,0.29516129032258065,0.12,,,,
6,1806,0.07516129032258062,0.01,,,,
7,1807,0.11516129032258066,-0.11,,,,
8,1808,-0.7048387096774194,-0.23,,,,
9,1809,-0.9148387096774193,-0.34,,,,
10,1810,-0.8548387096774195,-0.45,,,,
11,1811,-0.8148387096774194,-0.53,,,,
12,1812,-0.8548387096774195,-0.6,,,,
13,1813,-0.5848387096774195,-0.64,,,,
14,1814,-0.7548387096774194,-0.65,,,,
15,1815,-0.7248387096774194,-0.64,,,,
16,1816,-1.1748387096774193,-0.6,,,,
17,1817,-0.8748387096774195,-0.56,,,,
18,1818,-0.014838709677419348,-0.5,,,,
19,1819,-0.5348387096774194,-0.45,,,,
20,1820,-0.10483870967741932,-0.4,,,,
21,1821,-0.5048387096774194,-0.34,,,,
22,1822,-0.0048387096774193394,-0.29,,,,
23,1823,-0.3548387096774193,-0.24,,,,
24,1824,-0.0048387096774193394,-0.21,,,,
25,1825,-0.26483870967741935,-0.19,,,,
26,1826,-0.13483870967741934,-0.18,,,,
27,1827,0.22516129032258064,-0.19,,,,
28,1828,-0.054838709677419384,-0.21,,,,
29,1829,-0.24483870967741933,-0.24,,,,
30,1830,0.16516129032258065,-0.27,,,,
31,1831,-0.3648387096774193,-0.31,,,,
32,1832,-0.5348387096774194,-0.35,,,,
33,1833,-0.3248387096774194,-0.38,,,,
34,1834,-0.38483870967741934,-0.4,,,,
35,1835,-0.8948387096774195,-0.42,,,,
36,1836,-0.6548387096774193,-0.42,,,,
37,1837,-1.0148387096774194,-0.43,,,,
38,1838,-0.5048387096774194,-0.42,,,,
39,1839,-0.4348387096774194,-0.41,,,,
40,1840,-0.23483870967741932,-0.38,,,,
41,1841,-0.24483870967741933,-0.36,,,,
42,1842,-0.2048387096774194,-0.33,,,,
43,1843,-0.2248387096774193,-0.31,,,,
44,1844,-0.3548387096774193,-0.29,,,,
45,1845,-0.3348387096774194,-0.28,,,,
46,1846,0.41516129032258065,-0.27,,,,
47,1847,-0.12483870967741933,-0.26,,,,
48,1848,-0.3248387096774194,-0.25,,,,
49,1849,-0.23483870967741932,-0.24,,,,
50,1850,-0.6448387096774195,-0.24,-0.07,-0.11,-0.09,-0.11
51,1851,-0.4648387096774193,-0.23,-0.07,-0.11,-0.09,-0.1
52,1852,-0.06483870967741939,-0.22,-0.07,-0.11,-0.09,-0.1
53,1853,0.22516129032258064,-0.21,-0.06,-0.1,-0.08,-0.09
54,1854,-0.3448387096774193,-0.19,-0.06,-0.1,-0.08,-0.09
55,1855,-0.0048387096774193394,-0.16,-0.06,-0.09,-0.08,-0.09
56,1856,-0.39483870967741935,-0.14,-0.05,-0.09,-0.08,-0.08
57,1857,-0.4548387096774194,-0.1,-0.05,-0.09,-0.07,-0.08
58,1858,-0.0048387096774193394,-0.07,-0.05,-0.08,-0.07,-0.08
59,1859,0.06516129032258067,-0.04,-0.04,-0.08,-0.07,-0.07
60,1860,0.17516129032258065,-0.01,-0.04,-0.08,-0.07,-0.07
61,1861,-0.044838709677419375,0.02,-0.04,-0.07,-0.06,-0.07
62,1862,-0.044838709677419375,0.05,-0.03,-0.07,-0.06,-0.06
63,1863,0.02516129032258063,0.07,-0.03,-0.07,-0.06,-0.06
64,1864,0.19516129032258062,0.09,-0.03,-0.07,-0.06,-0.06
65,1865,0.17516129032258065,0.1,-0.03,-0.07,-0.06,-0.06
66,1866,0.35516129032258065,0.11,-0.03,-0.07,-0.06,-0.06
67,1867,0.47516129032258064,0.11,-0.03,-0.07,-0.05,-0.06
68,1868,-0.23483870967741932,0.1,-0.03,-0.07,-0.05,-0.06
69,1869,0.09516129032258064,0.09,-0.02,-0.06,-0.05,-0.06
70,1870,0.15516129032258064,0.08,-0.02,-0.06,-0.05,-0.05
71,1871,0.04516129032258065,0.07,-0.02,-0.06,-0.05,-0.05
72,1872,0.12516129032258067,0.07,-0.02,-0.06,-0.04,-0.05
73,1873,0.07516129032258062,0.06,-0.02,-0.06,-0.04,-0.05
74,1874,-0.1848387096774194,0.06,-0.03,-0.06,-0.04,-0.06
75,1875,-0.40483870967741936,0.05,-0.03,-0.06,-0.04,-0.06
