Malawi,year,obs_anoms,smoothed_anoms,ssp126,ssp245,ssp370,ssp585
0,1800,,,,,,
1,1801,,,,,,
2,1802,,,,,,
3,1803,,,,,,
4,1804,,,,,,
5,1805,,,,,,
6,1806,,,,,,
7,1807,,,,,,
8,1808,,,,,,
9,1809,,,,,,
10,1810,,,,,,
11,1811,,,,,,
12,1812,,,,,,
13,1813,,,,,,
14,1814,,,,,,
15,1815,,,,,,
16,1816,,,,,,
17,1817,,,,,,
18,1818,,,,,,
19,1819,,,,,,
20,1820,,,,,,
21,1821,,,,,,
22,1822,,,,,,
23,1823,,,,,,
24,1824,,,,,,
25,1825,,,,,,
26,1826,,,,,,
27,1827,,,,,,
28,1828,,,,,,
29,1829,,,,,,
30,1830,,,,,,
31,1831,,,,,,
32,1832,,,,,,
33,1833,,,,,,
34,1834,,,,,,
35,1835,,,,,,
36,1836,,,,,,
37,1837,,,,,,
38,1838,,,,,,
39,1839,,,,,,
40,1840,,,,,,
41,1841,,,,,,
42,1842,,,,,,
43,1843,,,,,,
44,1844,,,,,,
45,1845,,,,,,
46,1846,,,,,,
47,1847,,,,,,
48,1848,,,,,,
49,1849,,,,,,
50,1850,,,0.3,0.29,0.31,0.31
51,1851,,,0.3,0.29,0.31,0.3
52,1852,,,0.29,0.28,0.31,0.3
53,1853,,,0.29,0.28,0.3,0.3
54,1854,,,0.29,0.28,0.3,0.29
55,1855,,,0.29,0.27,0.29,0.29
56,1856,,,0.28,0.27,0.29,0.29
57,1857,,,0.28,0.27,0.29,0.29
58,1858,,,0.28,0.27,0.28,0.28
59,1859,,,0.28,0.26,0.28,0.28
60,1860,-0.06466666666666665,-0.1,0.28,0.26,0.28,0.28
61,1861,-0.19466666666666665,-0.1,0.28,0.26,0.28,0.28
62,1862,-0.4846666666666668,-0.09,0.27,0.25,0.27,0.27
63,1863,0.03533333333333333,-0.09,0.27,0.25,0.27,0.27
64,1864,-0.07466666666666666,-0.08,0.26,0.24,0.26,0.27
65,1865,0.22533333333333333,-0.08,0.26,0.24,0.26,0.26
66,1866,,,0.26,0.24,0.26,0.26
67,1867,,,0.26,0.24,0.26,0.26
68,1868,,,0.27,0.24,0.27,0.27
69,1869,,,0.27,0.25,0.27,0.27
70,1870,,,0.28,0.25,0.28,0.28
71,1871,,,0.28,0.26,0.29,0.28
72,1872,,,0.29,0.27,0.3,0.29
73,1873,,,0.29,0.27,0.3,0.29
74,1874,,,0.29,0.27,0.3,0.3
75,1875,,,0.3,0.28,0.31,0.3
76,1876,,,0.3,0.28,0.31,0.3
77,1877,,,0.3,0.28,0.31,0.3
78,1878,,,0.29,0.28,0.3,0.3
79,1879,,,0.29,0.27,0.3,0.29
80,1880,,,0.28,0.27,0.29,0.29
81,1881,,,0.28,0.27,0.29,0.28
82,1882,0.03533333333333333,-0.04,0.27,0.26,0.28,0.28
83,1883,0.06533333333333335,-0.02,0.27,0.26,0.27,0.27
84,1884,-0.16466666666666674,-0.0,0.27,0.26,0.27,0.27
85,1885,0.005333333333333301,0.02,0.26,0.25,0.27,0.27
86,1886,0.04533333333333334,0.03,0.26,0.25,0.27,0.27
87,1887,-0.1346666666666667,0.05,0.26,0.25,0.26,0.26
88,1888,0.1953333333333333,0.07,0.26,0.25,0.26,0.26
89,1889,0.5953333333333333,0.09,0.26,0.25,0.26,0.26
90,1890,-0.08466666666666667,0.11,0.26,0.25,0.26,0.26
91,1891,-0.04466666666666674,0.14,0.26,0.25,0.27,0.26
92,1892,0.3253333333333333,0.17,0.27,0.26,0.28,0.27
93,1893,-0.014666666666666717,0.2,0.28,0.27,0.29,0.28
94,1894,0.2053333333333333,0.22,0.29,0.28,0.3,0.29
95,1895,0.2953333333333333,0.24,0.3,0.28,0.31,0.3
96,1896,0.4553333333333333,0.27,0.31,0.29,0.32,0.31
97,1897,0.41533333333333333,0.29,0.31,0.29,0.32,0.31
98,1898,0.22533333333333333,0.31,0.31,0.3,0.33,0.31
99,1899,0.1253333333333333,0.32,0.32,0.3,0.33,0.32
100,1900,0.9553333333333334,0.32,0.32,0.3,0.33,0.32
101,1901,0.2053333333333333,0.31,0.32,0.31,0.33,0.32
102,1902,0.6253333333333333,0.3,0.33,0.31,0.33,0.33
103,1903,0.5053333333333333,0.29,0.33,0.31,0.34,0.33
104,1904,-0.3446666666666667,0.27,0.33,0.32,0.34,0.33
105,1905,0.3353333333333333,0.26,0.34,0.32,0.34,0.34
106,1906,0.08533333333333326,0.25,0.34,0.32,0.35,0.34
107,1907,-0.3646666666666667,0.24,0.34,0.33,0.35,0.34
108,1908,0.46533333333333327,0.23,0.34,0.33,0.35,0.35
109,1909,0.3953333333333333,0.24,0.35,0.33,0.36,0.35
110,1910,-0.2446666666666667,0.26,0.35,0.34,0.36,0.35
111,1911,-0.2646666666666667,0.28,0.36,0.35,0.37,0.36
