Mexico,year,obs_anoms,smoothed_anoms,ssp126,ssp245,ssp370,ssp585
0,1800,-0.32225806451612904,0.38,,,,
1,1801,0.597741935483871,0.35,,,,
2,1802,,,,,,
3,1803,0.30774193548387097,0.28,,,,
4,1804,,,,,,
5,1805,,,,,,
6,1806,,,,,,
7,1807,,,,,,
8,1808,,,,,,
9,1809,,,,,,
10,1810,,,,,,
11,1811,,,,,,
12,1812,,,,,,
13,1813,,,,,,
14,1814,,,,,,
15,1815,,,,,,
16,1816,,,,,,
17,1817,,,,,,
18,1818,,,,,,
19,1819,,,,,,
20,1820,-0.402258064516129,-0.43,,,,
21,1821,-0.672258064516129,-0.4,,,,
22,1822,-0.34225806451612906,-0.37,,,,
23,1823,-0.702258064516129,-0.35,,,,
24,1824,0.10774193548387095,-0.32,,,,
25,1825,-0.20225806451612904,-0.3,,,,
26,1826,0.16774193548387095,-0.28,,,,
27,1827,0.597741935483871,-0.26,,,,
28,1828,-0.05225806451612902,-0.24,,,,
29,1829,-0.5822580645161289,-0.24,,,,
30,1830,0.277741935483871,-0.26,,,,
31,1831,-1.012258064516129,-0.29,,,,
32,1832,-0.672258064516129,-0.33,,,,
33,1833,-0.12225806451612897,-0.37,,,,
34,1834,-0.04225806451612901,-0.4,,,,
35,1835,-1.0622580645161288,-0.43,,,,
36,1836,-0.602258064516129,-0.44,,,,
37,1837,-0.48225806451612907,-0.45,,,,
38,1838,-0.852258064516129,-0.45,,,,
39,1839,-0.32225806451612904,-0.46,,,,
40,1840,-0.422258064516129,-0.46,,,,
41,1841,-0.642258064516129,-0.45,,,,
42,1842,-0.17225806451612902,-0.43,,,,
43,1843,-0.272258064516129,-0.41,,,,
44,1844,-0.5422580645161291,-0.37,,,,
45,1845,-0.672258064516129,-0.34,,,,
46,1846,-0.012258064516128986,-0.3,,,,
47,1847,-0.5422580645161291,-0.27,,,,
48,1848,-0.3622580645161291,-0.24,,,,
49,1849,-0.152258064516129,-0.22,,,,
50,1850,0.07774193548387098,-0.21,-0.03,-0.06,-0.01,-0.04
51,1851,0.02774193548387094,-0.19,-0.03,-0.06,-0.01,-0.04
52,1852,0.03774193548387095,-0.18,-0.03,-0.06,-0.02,-0.04
53,1853,-0.19225806451612903,-0.17,-0.04,-0.07,-0.02,-0.04
54,1854,-0.19225806451612903,-0.15,-0.04,-0.07,-0.02,-0.04
55,1855,-0.282258064516129,-0.14,-0.04,-0.07,-0.02,-0.05
56,1856,-0.412258064516129,-0.12,-0.04,-0.07,-0.02,-0.05
57,1857,-0.3622580645161291,-0.12,-0.04,-0.07,-0.02,-0.05
58,1858,-0.11225806451612907,-0.11,-0.04,-0.07,-0.03,-0.05
59,1859,0.02774193548387094,-0.09,-0.04,-0.07,-0.03,-0.05
60,1860,-0.032258064516129004,-0.06,-0.04,-0.07,-0.03,-0.05
61,1861,0.22774193548387095,-0.03,-0.04,-0.07,-0.03,-0.05
62,1862,0.157741935483871,0.0,-0.05,-0.08,-0.03,-0.05
63,1863,-0.11225806451612907,0.03,-0.05,-0.07,-0.03,-0.05
64,1864,-0.152258064516129,0.05,-0.04,-0.07,-0.03,-0.05
65,1865,0.13774193548387098,0.06,-0.04,-0.07,-0.03,-0.05
66,1866,0.17774193548387096,0.07,-0.04,-0.07,-0.03,-0.05
67,1867,0.757741935483871,0.07,-0.04,-0.07,-0.03,-0.05
68,1868,0.007741935483870921,0.06,-0.04,-0.07,-0.02,-0.05
69,1869,0.01774193548387093,0.06,-0.03,-0.06,-0.02,-0.04
70,1870,0.047741935483870956,0.05,-0.03,-0.06,-0.01,-0.04
71,1871,0.327741935483871,0.05,-0.02,-0.05,-0.01,-0.03
72,1872,-0.04225806451612901,0.04,-0.02,-0.05,-0.0,-0.03
73,1873,-0.05225806451612902,0.04,-0.02,-0.04,0.0,-0.02
74,1874,0.06774193548387097,0.02,-0.01,-0.04,0.01,-0.02
75,1875,-0.012258064516128986,0.01,-0.01,-0.03,0.01,-0.02
76,1876,-0.33225806451612905,-0.01,-0.0,-0.03,0.02,-0.01
77,1877,0.18774193548387097,-0.04,-0.0,-0.03,0.02,-0.01
78,1878,0.13774193548387098,-0.07,-0.0,-0.03,0.02,-0.01
79,1879,0.267741935483871,-0.1,-0.01,-0.03,0.02,-0.01
80,1880,-0.402258064516129,-0.13,-0.01,-0.03,0.02,-0.02
81,1881,-0.10225806451612907,-0.16,-0.02,-0.04,0.01,-0.02
82,1882,-0.23225806451612907,-0.19,-0.02,-0.05,0.01,-0.03
83,1883,-0.3622580645161291,-0.21,-0.03,-0.05,0.0,-0.04
84,1884,-0.3622580645161291,-0.23,-0.03,-0.06,-0.0,-0.04
85,1885,-0.21225806451612905,-0.25,-0.04,-0.06,-0.01,-0.05
86,1886,-0.382258064516129,-0.25,-0.04,-0.07,-0.02,-0.05
87,1887,-0.5422580645161291,-0.24,-0.05,-0.07,-0.02,-0.06
88,1888,-0.20225806451612904,-0.23,-0.05,-0.08,-0.03,-0.06
89,1889,0.02774193548387094,-0.21,-0.06,-0.08,-0.03,-0.07
90,1890,-0.10225806451612907,-0.18,-0.06,-0.09,-0.04,-0.07
91,1891,-0.32225806451612904,-0.14,-0.06,-0.09,-0.04,-0.07
92,1892,-0.142258064516129,-0.11,-0.06,-0.09,-0.04,-0.07
93,1893,-0.11225806451612907,-0.08,-0.06,-0.08,-0.04,-0.07
94,1894,-0.08225806451612905,-0.05,-0.05,-0.08,-0.03,-0.07
95,1895,-0.04225806451612901,-0.03,-0.05,-0.07,-0.03,-0.06
96,1896,0.457741935483871,-0.0,-0.04,-0.07,-0.02,-0.06
97,1897,0.207741935483871,0.02,-0.04,-0.07,-0.02,-0.05
98,1898,-0.19225806451612903,0.05,-0.04,-0.07,-0.02,-0.05
99,1899,-0.162258064516129,0.06,-0.04,-0.07,-0.02,-0.05
100,1900,0.23774193548387096,0.08,-0.04,-0.07,-0.02,-0.05
101,1901,0.11774193548387096,0.09,-0.04,-0.07,-0.02,-0.05
102,1902,0.40774193548387094,0.11,-0.04,-0.07,-0.02,-0.05
103,1903,-0.06225806451612903,0.12,-0.04,-0.07,-0.02,-0.05
104,1904,0.057741935483870965,0.14,-0.04,-0.07,-0.03,-0.05
105,1905,0.10774193548387095,0.15,-0.04,-0.07,-0.03,-0.06
106,1906,0.007741935483870921,0.16,-0.05,-0.07,-0.03,-0.06
107,1907,0.36774193548387096,0.15,-0.05,-0.08,-0.04,-0.06
108,1908,0.317741935483871,0.13,-0.05,-0.08,-0.04,-0.07
109,1909,0.28774193548387095,0.12,-0.05,-0.08,-0.05,-0.07
110,1910,0.13774193548387098,0.1,-0.05,-0.08,-0.05,-0.07
111,1911,0.317741935483871,0.1,-0.05,-0.08,-0.04,-0.06
112,1912,-0.31225806451612903,0.08,-0.05,-0.07,-0.04,-0.06
113,1913,-0.392258064516129,0.06,-0.05,-0.07,-0.04,-0.06
114,1914,-0.04225806451612901,0.04,-0.04,-0.06,-0.03,-0.05
115,1915,0.007741935483870921,0.03,-0.04,-0.06,-0.02,-0.05
116,1916,0.207741935483871,0.03,-0.03,-0.05,-0.02,-0.04
117,1917,-0.022258064516128995,0.05,-0.03,-0.05,-0.01,-0.04
118,1918,0.01774193548387093,0.08,-0.03,-0.05,-0.01,-0.03
119,1919,-0.162258064516129,0.11,-0.02,-0.04,-0.0,-0.03
120,1920,0.02774193548387094,0.16,-0.02,-0.03,0.01,-0.02
121,1921,0.347741935483871,0.2,-0.01,-0.03,0.01,-0.02
122,1922,0.40774193548387094,0.24,-0.0,-0.02,0.02,-0.01
123,1923,0.317741935483871,0.28,0.0,-0.01,0.03,-0.0
124,1924,0.217741935483871,0.32,0.01,-0.01,0.04,0.01
125,1925,0.347741935483871,0.36,0.01,-0.0,0.04,0.01
126,1926,0.40774193548387094,0.39,0.02,0.01,0.05,0.02
127,1927,0.757741935483871,0.41,0.02,0.01,0.05,0.02
128,1928,0.577741935483871,0.43,0.03,0.02,0.06,0.03
129,1929,0.347741935483871,0.44,0.04,0.02,0.06,0.03
130,1930,0.41774193548387095,0.46,0.04,0.03,0.07,0.04
131,1931,0.28774193548387095,0.47,0.05,0.04,0.07,0.05
132,1932,0.42774193548387096,0.47,0.06,0.04,0.08,0.06
133,1933,0.6277419354838709,0.48,0.07,0.05,0.09,0.07
134,1934,0.6377419354838709,0.48,0.08,0.06,0.09,0.07
135,1935,0.29774193548387096,0.49,0.08,0.06,0.1,0.08
136,1936,0.457741935483871,0.5,0.09,0.07,0.1,0.09
137,1937,0.6577419354838709,0.52,0.09,0.07,0.11,0.09
138,1938,0.48774193548387096,0.53,0.1,0.08,0.11,0.09
139,1939,0.457741935483871,0.55,0.1,0.08,0.12,0.1
140,1940,0.537741935483871,0.57,0.11,0.09,0.12,0.1
141,1941,0.597741935483871,0.59,0.12,0.09,0.13,0.11
142,1942,0.6377419354838709,0.61,0.12,0.1,0.13,0.11
143,1943,0.6277419354838709,0.63,0.12,0.1,0.13,0.12
144,1944,0.29774193548387096,0.66,0.13,0.1,0.14,0.12
145,1945,0.947741935483871,0.68,0.13,0.11,0.14,0.12
146,1946,0.8877419354838709,0.71,0.13,0.11,0.14,0.12
147,1947,0.5277419354838709,0.73,0.13,0.11,0.14,0.13
148,1948,0.847741935483871,0.75,0.14,0.11,0.14,0.13
149,1949,0.6577419354838709,0.76,0.14,0.12,0.15,0.13
150,1950,0.987741935483871,0.76,0.14,0.12,0.15,0.13
151,1951,0.8677419354838709,0.76,0.15,0.13,0.16,0.14
152,1952,0.6377419354838709,0.75,0.15,0.13,0.16,0.14
153,1953,0.827741935483871,0.74,0.15,0.13,0.16,0.14
154,1954,0.917741935483871,0.73,0.15,0.13,0.17,0.15
155,1955,0.447741935483871,0.72,0.15,0.14,0.17,0.15
156,1956,0.5277419354838709,0.7,0.15,0.13,0.17,0.15
157,1957,0.937741935483871,0.69,0.15,0.13,0.17,0.14
158,1958,0.607741935483871,0.67,0.15,0.13,0.16,0.14
159,1959,0.6477419354838709,0.66,0.14,0.13,0.16,0.14
160,1960,0.6277419354838709,0.64,0.14,0.12,0.16,0.13
161,1961,0.547741935483871,0.62,0.13,0.12,0.15,0.13
162,1962,0.837741935483871,0.59,0.13,0.11,0.15,0.12
163,1963,0.767741935483871,0.57,0.12,0.11,0.15,0.12
164,1964,0.42774193548387096,0.55,0.12,0.1,0.14,0.11
165,1965,0.587741935483871,0.53,0.11,0.1,0.14,0.11
166,1966,0.22774193548387095,0.52,0.11,0.1,0.13,0.1
167,1967,0.48774193548387096,0.5,0.1,0.09,0.13,0.1
168,1968,0.13774193548387098,0.48,0.1,0.09,0.12,0.09
169,1969,0.787741935483871,0.46,0.1,0.09,0.12,0.09
170,1970,0.357741935483871,0.45,0.1,0.09,0.13,0.1
171,1971,0.477741935483871,0.44,0.1,0.09,0.13,0.1
172,1972,0.847741935483871,0.44,0.11,0.1,0.14,0.11
173,1973,0.317741935483871,0.45,0.12,0.11,0.15,0.12
174,1974,0.457741935483871,0.47,0.13,0.12,0.16,0.13
175,1975,0.257741935483871,0.48,0.14,0.13,0.17,0.14
176,1976,-0.032258064516129004,0.49,0.16,0.14,0.18,0.15
177,1977,0.6477419354838709,0.5,0.17,0.16,0.2,0.17
178,1978,0.557741935483871,0.51,0.19,0.17,0.21,0.18
179,1979,0.39774193548387093,0.51,0.21,0.19,0.23,0.2
180,1980,0.837741935483871,0.52,0.23,0.21,0.25,0.22
