Mozambique,year,obs_anoms,smoothed_anoms,ssp126,ssp245,ssp370,ssp585
0,1800,,,,,,
1,1801,,,,,,
2,1802,,,,,,
3,1803,,,,,,
4,1804,,,,,,
5,1805,,,,,,
6,1806,,,,,,
7,1807,,,,,,
8,1808,,,,,,
9,1809,,,,,,
10,1810,,,,,,
11,1811,,,,,,
12,1812,,,,,,
13,1813,,,,,,
14,1814,,,,,,
15,1815,,,,,,
16,1816,,,,,,
17,1817,,,,,,
18,1818,,,,,,
19,1819,,,,,,
20,1820,,,,,,
21,1821,,,,,,
22,1822,,,,,,
23,1823,,,,,,
24,1824,,,,,,
25,1825,,,,,,
26,1826,,,,,,
27,1827,,,,,,
28,1828,,,,,,
29,1829,,,,,,
30,1830,,,,,,
31,1831,,,,,,
32,1832,,,,,,
33,1833,,,,,,
34,1834,,,,,,
35,1835,,,,,,
36,1836,,,,,,
37,1837,,,,,,
38,1838,,,,,,
39,1839,,,,,,
40,1840,,,,,,
41,1841,,,,,,
42,1842,,,,,,
43,1843,,,,,,
44,1844,,,,,,
45,1845,,,,,,
46,1846,,,,,,
47,1847,,,,,,
48,1848,,,,,,
49,1849,,,,,,
50,1850,,,0.26,0.26,0.28,0.26
51,1851,,,0.26,0.26,0.28,0.26
52,1852,,,0.25,0.26,0.28,0.26
53,1853,-0.14884615384615396,-0.16,0.25,0.26,0.28,0.26
54,1854,-0.018846153846153957,-0.16,0.25,0.25,0.28,0.26
55,1855,-0.12884615384615405,-0.15,0.25,0.25,0.27,0.26
56,1856,-0.178846153846154,-0.14,0.25,0.25,0.27,0.26
57,1857,-0.38884615384615395,-0.13,0.25,0.25,0.27,0.25
58,1858,-0.008846153846154059,-0.12,0.25,0.25,0.27,0.25
59,1859,0.171153846153846,-0.1,0.25,0.25,0.27,0.25
60,1860,-0.14884615384615396,-0.09,0.25,0.25,0.27,0.25
61,1861,-0.27884615384615397,-0.07,0.25,0.24,0.27,0.25
62,1862,-0.5088461538461541,-0.05,0.25,0.24,0.26,0.25
63,1863,-0.07884615384615401,-0.02,0.25,0.24,0.26,0.25
64,1864,-0.15884615384615397,-0.0,0.24,0.24,0.26,0.24
65,1865,0.21115384615384597,0.02,0.24,0.24,0.26,0.24
66,1866,0.321153846153846,0.03,0.24,0.24,0.26,0.24
67,1867,0.361153846153846,0.05,0.24,0.24,0.26,0.24
68,1868,0.011153846153845959,0.06,0.25,0.24,0.27,0.25
69,1869,0.331153846153846,0.07,0.25,0.24,0.27,0.25
70,1870,-0.018846153846153957,0.08,0.26,0.25,0.28,0.26
71,1871,-0.038846153846153975,0.09,0.26,0.25,0.28,0.26
72,1872,0.00115384615384595,0.09,0.26,0.26,0.29,0.26
73,1873,,,0.26,0.26,0.29,0.26
74,1874,0.181153846153846,0.07,0.26,0.26,0.29,0.27
75,1875,-0.198846153846154,0.05,0.26,0.26,0.29,0.26
76,1876,-0.05884615384615399,0.04,0.26,0.26,0.29,0.26
77,1877,0.38115384615384595,0.03,0.26,0.26,0.29,0.26
78,1878,0.511153846153846,0.02,0.25,0.26,0.28,0.26
79,1879,-0.11884615384615405,0.01,0.25,0.25,0.27,0.25
80,1880,,,0.24,0.25,0.27,0.24
81,1881,0.00115384615384595,-0.02,0.24,0.24,0.26,0.24
82,1882,-0.09884615384615403,-0.02,0.23,0.24,0.26,0.24
83,1883,0.00115384615384595,-0.03,0.23,0.24,0.25,0.23
84,1884,-0.26884615384615396,-0.04,0.23,0.24,0.25,0.23
85,1885,-0.12884615384615405,-0.05,0.23,0.24,0.25,0.23
86,1886,-0.038846153846153975,-0.05,0.23,0.24,0.25,0.23
87,1887,-0.288846153846154,-0.04,0.23,0.24,0.25,0.23
88,1888,0.11115384615384599,-0.03,0.23,0.24,0.25,0.23
89,1889,0.531153846153846,-0.01,0.23,0.24,0.25,0.23
90,1890,-0.11884615384615405,0.01,0.23,0.24,0.25,0.23
91,1891,-0.10884615384615404,0.04,0.24,0.24,0.25,0.23
92,1892,0.27115384615384597,0.06,0.25,0.25,0.26,0.24
93,1893,-0.12884615384615405,0.08,0.25,0.25,0.27,0.25
94,1894,0.00115384615384595,0.1,0.26,0.26,0.28,0.26
95,1895,0.181153846153846,0.11,0.27,0.26,0.29,0.26
96,1896,0.39115384615384596,0.12,0.27,0.27,0.29,0.27
97,1897,0.301153846153846,0.14,0.27,0.27,0.29,0.27
98,1898,0.00115384615384595,0.15,0.27,0.27,0.29,0.27
99,1899,-0.05884615384615399,0.16,0.27,0.27,0.29,0.27
100,1900,0.701153846153846,0.15,0.27,0.27,0.3,0.27
101,1901,-0.038846153846153975,0.14,0.27,0.27,0.3,0.27
102,1902,0.371153846153846,0.14,0.28,0.27,0.3,0.28
103,1903,0.281153846153846,0.13,0.28,0.28,0.3,0.28
