Namibia,year,obs_anoms,smoothed_anoms,ssp126,ssp245,ssp370,ssp585
0,1800,,,,,,
1,1801,,,,,,
2,1802,,,,,,
3,1803,,,,,,
4,1804,,,,,,
5,1805,,,,,,
6,1806,,,,,,
7,1807,,,,,,
8,1808,,,,,,
9,1809,,,,,,
10,1810,,,,,,
11,1811,,,,,,
12,1812,,,,,,
13,1813,,,,,,
14,1814,,,,,,
15,1815,,,,,,
16,1816,,,,,,
17,1817,,,,,,
18,1818,,,,,,
19,1819,,,,,,
20,1820,,,,,,
21,1821,,,,,,
22,1822,,,,,,
23,1823,,,,,,
24,1824,,,,,,
25,1825,,,,,,
26,1826,,,,,,
27,1827,,,,,,
28,1828,,,,,,
29,1829,,,,,,
30,1830,,,,,,
31,1831,,,,,,
32,1832,,,,,,
33,1833,,,,,,
34,1834,,,,,,
35,1835,,,,,,
36,1836,,,,,,
37,1837,,,,,,
38,1838,,,,,,
39,1839,,,,,,
40,1840,,,,,,
41,1841,,,,,,
42,1842,,,,,,
43,1843,,,,,,
44,1844,,,,,,
45,1845,,,,,,
46,1846,,,,,,
47,1847,,,,,,
48,1848,,,,,,
49,1849,,,,,,
50,1850,,,0.12,0.15,0.13,0.13
51,1851,,,0.12,0.14,0.13,0.12
52,1852,,,0.12,0.14,0.13,0.12
53,1853,,,0.12,0.14,0.13,0.12
54,1854,,,0.12,0.13,0.13,0.11
55,1855,,,0.12,0.13,0.12,0.11
56,1856,,,0.12,0.13,0.12,0.11
57,1857,-0.36391304347826087,-0.19,0.12,0.13,0.12,0.11
58,1858,-0.023913043478260898,-0.16,0.11,0.12,0.12,0.1
59,1859,0.07608695652173908,-0.13,0.11,0.12,0.11,0.1
60,1860,-0.12391304347826088,-0.1,0.11,0.12,0.11,0.1
61,1861,-0.13391304347826088,-0.07,0.11,0.11,0.11,0.1
62,1862,-0.46391304347826096,-0.04,0.11,0.11,0.1,0.09
63,1863,-0.08391304347826095,-0.01,0.1,0.1,0.1,0.09
64,1864,-0.053913043478260925,0.01,0.1,0.1,0.09,0.08
65,1865,0.3360869565217391,0.03,0.09,0.1,0.09,0.08
66,1866,0.2960869565217391,0.06,0.09,0.09,0.09,0.08
67,1867,0.36608695652173906,0.08,0.09,0.09,0.09,0.08
68,1868,-0.003913043478260936,0.09,0.09,0.09,0.09,0.08
69,1869,0.3460869565217391,0.1,0.1,0.1,0.1,0.08
70,1870,-0.01391304347826089,0.11,0.1,0.1,0.1,0.09
71,1871,0.0360869565217391,0.1,0.1,0.11,0.11,0.09
72,1872,0.04608695652173911,0.09,0.1,0.11,0.11,0.1
73,1873,,,0.11,0.12,0.12,0.1
74,1874,0.13608695652173908,0.04,0.11,0.12,0.12,0.11
75,1875,-0.1439130434782609,0.01,0.12,0.13,0.13,0.11
76,1876,-0.08391304347826095,-0.01,0.12,0.13,0.13,0.11
77,1877,0.36608695652173906,-0.02,0.12,0.14,0.13,0.12
78,1878,0.3360869565217391,-0.03,0.13,0.14,0.13,0.12
79,1879,-0.34391304347826096,-0.03,0.12,0.14,0.13,0.11
80,1880,-0.5039130434782608,-0.03,0.12,0.13,0.12,0.11
81,1881,-0.2839130434782609,-0.02,0.11,0.13,0.11,0.1
82,1882,0.05608695652173906,-0.02,0.11,0.12,0.11,0.09
83,1883,-0.003913043478260936,-0.02,0.1,0.12,0.1,0.09
84,1884,-0.18391304347826093,-0.03,0.1,0.11,0.1,0.08
85,1885,0.2660869565217391,-0.03,0.09,0.11,0.09,0.07
86,1886,0.4060869565217391,-0.03,0.09,0.1,0.09,0.07
87,1887,-0.023913043478260898,-0.02,0.08,0.1,0.08,0.07
88,1888,-0.23391304347826086,0.0,0.08,0.09,0.08,0.06
89,1889,0.5160869565217391,0.02,0.08,0.09,0.08,0.06
90,1890,-0.5039130434782608,0.03,0.08,0.09,0.07,0.06
91,1891,-0.023913043478260898,0.04,0.08,0.09,0.07,0.06
92,1892,-0.5239130434782608,0.05,0.08,0.09,0.08,0.07
93,1893,0.1660869565217391,0.07,0.09,0.1,0.09,0.07
94,1894,0.05608695652173906,0.09,0.1,0.11,0.1,0.09
95,1895,0.1060869565217391,0.11,0.11,0.12,0.11,0.1
96,1896,0.4460869565217391,0.13,0.12,0.13,0.12,0.1
97,1897,0.31608695652173907,0.14,0.12,0.13,0.12,0.11
98,1898,-0.24391304347826087,0.14,0.13,0.13,0.13,0.11
99,1899,0.3460869565217391,0.12,0.13,0.14,0.13,0.12
100,1900,0.6460869565217391,0.1,0.14,0.14,0.13,0.12
101,1901,0.4260869565217391,0.07,0.14,0.15,0.14,0.13
102,1902,0.1560869565217391,0.05,0.15,0.15,0.15,0.14
103,1903,-0.22391304347826096,0.03,0.15,0.16,0.15,0.14
104,1904,-0.35391304347826097,0.01,0.16,0.17,0.16,0.15
