Nigeria,year,obs_anoms,smoothed_anoms,ssp126,ssp245,ssp370,ssp585
0,1800,,,,,,
1,1801,,,,,,
2,1802,,,,,,
3,1803,,,,,,
4,1804,,,,,,
5,1805,,,,,,
6,1806,,,,,,
7,1807,,,,,,
8,1808,,,,,,
9,1809,,,,,,
10,1810,,,,,,
11,1811,,,,,,
12,1812,,,,,,
13,1813,,,,,,
14,1814,,,,,,
15,1815,,,,,,
16,1816,,,,,,
17,1817,,,,,,
18,1818,,,,,,
19,1819,,,,,,
20,1820,,,,,,
21,1821,,,,,,
22,1822,,,,,,
23,1823,,,,,,
24,1824,,,,,,
25,1825,,,,,,
26,1826,,,,,,
27,1827,,,,,,
28,1828,,,,,,
29,1829,,,,,,
30,1830,,,,,,
31,1831,,,,,,
32,1832,,,,,,
33,1833,,,,,,
34,1834,,,,,,
35,1835,,,,,,
36,1836,,,,,,
37,1837,,,,,,
38,1838,,,,,,
39,1839,,,,,,
40,1840,,,,,,
41,1841,,,,,,
42,1842,,,,,,
43,1843,,,,,,
44,1844,,,,,,
45,1845,,,,,,
46,1846,,,,,,
47,1847,,,,,,
48,1848,,,,,,
49,1849,-0.27812499999999996,-0.26,,,,
50,1850,-0.338125,-0.25,0.33,0.34,0.34,0.35
51,1851,-0.12812500000000004,-0.24,0.33,0.34,0.34,0.35
52,1852,,,0.33,0.34,0.34,0.35
53,1853,,,0.33,0.34,0.34,0.35
54,1854,,,0.33,0.34,0.34,0.35
55,1855,,,0.33,0.34,0.34,0.35
56,1856,,,0.33,0.33,0.34,0.35
57,1857,,,0.33,0.33,0.33,0.34
58,1858,,,0.33,0.33,0.33,0.34
59,1859,,,0.33,0.33,0.33,0.34
60,1860,,,0.33,0.33,0.33,0.34
61,1861,,,0.33,0.33,0.33,0.34
62,1862,,,0.33,0.33,0.33,0.34
63,1863,,,0.33,0.32,0.33,0.34
64,1864,,,0.33,0.32,0.33,0.33
65,1865,,,0.32,0.32,0.33,0.33
66,1866,,,0.32,0.32,0.33,0.33
67,1867,,,0.32,0.31,0.33,0.33
68,1868,,,0.32,0.32,0.33,0.33
69,1869,,,0.33,0.32,0.34,0.34
70,1870,,,0.33,0.33,0.35,0.34
71,1871,,,0.34,0.33,0.35,0.35
72,1872,,,0.34,0.34,0.36,0.36
73,1873,,,0.34,0.34,0.37,0.36
74,1874,,,0.35,0.35,0.37,0.36
75,1875,-0.218125,-0.06,0.35,0.35,0.37,0.36
76,1876,-0.13812499999999994,-0.05,0.35,0.35,0.37,0.36
77,1877,0.311875,-0.04,0.34,0.35,0.37,0.36
78,1878,0.431875,-0.02,0.34,0.34,0.36,0.36
79,1879,-0.28812499999999996,-0.01,0.33,0.34,0.36,0.35
80,1880,-0.15812499999999996,0.01,0.33,0.33,0.35,0.34
81,1881,0.26187499999999997,0.02,0.32,0.33,0.34,0.34
82,1882,-0.04812499999999997,0.03,0.32,0.32,0.34,0.33
83,1883,0.241875,0.04,0.32,0.32,0.33,0.33
84,1884,-0.078125,0.04,0.32,0.32,0.33,0.33
85,1885,-0.02812500000000001,0.04,0.32,0.32,0.33,0.33
86,1886,0.311875,0.04,0.32,0.32,0.33,0.33
87,1887,-0.22812500000000002,0.04,0.32,0.32,0.33,0.33
88,1888,0.161875,0.05,0.32,0.32,0.33,0.33
89,1889,0.06187500000000001,0.06,0.32,0.32,0.33,0.33
90,1890,-0.598125,0.08,0.33,0.32,0.33,0.34
91,1891,-0.04812499999999997,0.08,0.33,0.33,0.34,0.34
92,1892,0.111875,0.08,0.34,0.34,0.35,0.35
93,1893,0.15187499999999998,0.08,0.36,0.35,0.37,0.37
94,1894,0.241875,0.08,0.37,0.37,0.38,0.38
95,1895,0.46187500000000004,0.08,0.38,0.37,0.39,0.39
96,1896,-0.36812500000000004,0.08,0.38,0.38,0.39,0.39
97,1897,-0.018125000000000002,0.07,0.38,0.38,0.4,0.4
98,1898,-0.05812499999999998,0.03,0.39,0.38,0.4,0.4
99,1899,0.681875,-0.02,0.39,0.39,0.4,0.4
100,1900,0.19187500000000002,-0.08,0.39,0.39,0.4,0.4
101,1901,0.111875,-0.13,0.39,0.39,0.41,0.4
102,1902,-0.038124999999999964,-0.18,0.4,0.39,0.41,0.4
103,1903,-0.628125,-0.21,0.4,0.4,0.41,0.41
104,1904,-0.788125,-0.25,0.4,0.4,0.41,0.41
105,1905,-0.458125,-0.29,0.4,0.4,0.42,0.41
106,1906,-0.308125,-0.33,0.4,0.4,0.42,0.41
107,1907,-0.638125,-0.35,0.4,0.4,0.42,0.41
108,1908,-0.318125,-0.34,0.41,0.4,0.42,0.42
109,1909,-0.17812499999999998,-0.29,0.41,0.41,0.43,0.42
110,1910,-0.308125,-0.22,0.42,0.42,0.43,0.43
111,1911,-0.428125,-0.16,0.42,0.42,0.44,0.43
