Oman,year,obs_anoms,smoothed_anoms,ssp126,ssp245,ssp370,ssp585
0,1800,,,,,,
1,1801,,,,,,
2,1802,,,,,,
3,1803,,,,,,
4,1804,,,,,,
5,1805,,,,,,
6,1806,,,,,,
7,1807,,,,,,
8,1808,,,,,,
9,1809,,,,,,
10,1810,,,,,,
11,1811,,,,,,
12,1812,,,,,,
13,1813,,,,,,
14,1814,,,,,,
15,1815,,,,,,
16,1816,,,,,,
17,1817,,,,,,
18,1818,,,,,,
19,1819,,,,,,
20,1820,,,,,,
21,1821,,,,,,
22,1822,,,,,,
23,1823,,,,,,
24,1824,,,,,,
25,1825,,,,,,
26,1826,,,,,,
27,1827,,,,,,
28,1828,,,,,,
29,1829,,,,,,
30,1830,,,,,,
31,1831,,,,,,
32,1832,,,,,,
33,1833,,,,,,
34,1834,,,,,,
35,1835,,,,,,
36,1836,,,,,,
37,1837,,,,,,
38,1838,,,,,,
39,1839,,,,,,
40,1840,,,,,,
41,1841,,,,,,
42,1842,,,,,,
43,1843,-0.3800000000000001,-0.6,,,,
44,1844,-0.7700000000000001,-0.58,,,,
45,1845,,,,,,
46,1846,,,,,,
47,1847,,,,,,
48,1848,-0.53,-0.51,,,,
49,1849,-0.4700000000000001,-0.49,,,,
50,1850,-0.6400000000000001,-0.47,0.24,0.22,0.22,0.21
51,1851,-0.31000000000000005,-0.45,0.24,0.22,0.22,0.2
52,1852,,,0.24,0.22,0.22,0.2
53,1853,,,0.24,0.21,0.21,0.2
54,1854,,,0.23,0.21,0.21,0.2
55,1855,,,0.23,0.21,0.21,0.19
56,1856,,,0.23,0.2,0.21,0.19
57,1857,,,0.23,0.2,0.2,0.19
58,1858,,,0.23,0.2,0.2,0.19
59,1859,,,0.22,0.2,0.2,0.19
60,1860,,,0.22,0.19,0.2,0.18
61,1861,,,0.22,0.19,0.2,0.18
62,1862,,,0.22,0.19,0.19,0.18
63,1863,,,0.22,0.19,0.19,0.18
64,1864,,,0.22,0.18,0.19,0.18
65,1865,,,0.22,0.18,0.19,0.18
66,1866,,,0.22,0.18,0.19,0.18
67,1867,,,0.22,0.19,0.19,0.18
68,1868,,,0.22,0.19,0.19,0.18
69,1869,,,0.22,0.19,0.2,0.18
70,1870,,,0.22,0.19,0.2,0.19
71,1871,,,0.22,0.2,0.21,0.19
72,1872,,,0.22,0.2,0.21,0.19
73,1873,,,0.22,0.2,0.21,0.19
74,1874,,,0.22,0.2,0.21,0.19
75,1875,-0.2300000000000001,0.09,0.22,0.2,0.21,0.19
76,1876,0.009999999999999898,0.07,0.22,0.2,0.21,0.19
77,1877,0.4699999999999999,0.06,0.22,0.2,0.21,0.19
78,1878,0.5099999999999999,0.04,0.22,0.2,0.21,0.18
79,1879,-0.2400000000000001,0.02,0.21,0.19,0.21,0.18
80,1880,-5.551115123125783e-17,0.01,0.21,0.18,0.2,0.17
81,1881,0.36999999999999994,-0.01,0.2,0.18,0.19,0.16
82,1882,-0.2300000000000001,-0.02,0.19,0.17,0.18,0.15
83,1883,-0.2400000000000001,-0.05,0.19,0.16,0.18,0.15
84,1884,-0.1700000000000001,-0.07,0.19,0.16,0.17,0.15
85,1885,-0.09000000000000008,-0.07,0.18,0.16,0.17,0.14
86,1886,-0.04000000000000009,-0.06,0.18,0.16,0.17,0.14
87,1887,-0.28,-0.04,0.18,0.15,0.16,0.14
88,1888,0.1499999999999999,-0.02,0.18,0.15,0.16,0.14
89,1889,0.19999999999999993,-0.0,0.18,0.15,0.16,0.14
90,1890,-0.19000000000000006,0.01,0.18,0.15,0.16,0.14
91,1891,0.13999999999999993,0.02,0.18,0.16,0.16,0.14
92,1892,0.12999999999999992,0.03,0.19,0.16,0.17,0.15
93,1893,0.08999999999999991,0.03,0.19,0.17,0.18,0.16
94,1894,0.019999999999999907,0.03,0.2,0.18,0.19,0.17
95,1895,-0.22000000000000008,0.03,0.21,0.19,0.2,0.18
96,1896,0.08999999999999991,0.04,0.22,0.2,0.21,0.18
97,1897,0.06999999999999992,0.05,0.22,0.2,0.21,0.18
98,1898,-0.2300000000000001,0.06,0.22,0.2,0.22,0.19
99,1899,0.13999999999999993,0.06,0.22,0.2,0.22,0.19
100,1900,0.2099999999999999,0.06,0.22,0.2,0.22,0.19
101,1901,0.10999999999999993,0.06,0.22,0.21,0.22,0.19
102,1902,0.5299999999999999,0.06,0.22,0.21,0.22,0.19
103,1903,-0.29000000000000004,0.05,0.22,0.2,0.22,0.19
104,1904,0.2599999999999999,0.04,0.22,0.2,0.22,0.19
105,1905,-0.19000000000000006,0.02,0.22,0.2,0.22,0.19
106,1906,0.059999999999999915,-0.0,0.21,0.2,0.21,0.18
107,1907,-0.09000000000000008,-0.02,0.21,0.19,0.21,0.18
108,1908,-0.14000000000000007,-0.02,0.21,0.19,0.21,0.18
