Pakistan,year,obs_anoms,smoothed_anoms,ssp126,ssp245,ssp370,ssp585
0,1800,-0.11451612903225805,0.51,,,,
1,1801,,,,,,
2,1802,0.4754838709677419,0.37,,,,
3,1803,0.31548387096774194,0.3,,,,
4,1804,0.4854838709677419,0.24,,,,
5,1805,0.3454838709677419,0.17,,,,
6,1806,0.23548387096774193,0.1,,,,
7,1807,,,,,,
8,1808,,,,,,
9,1809,,,,,,
10,1810,,,,,,
11,1811,,,,,,
12,1812,,,,,,
13,1813,-0.4145161290322581,-0.36,,,,
14,1814,,,,,,
15,1815,-0.934516129032258,-0.52,,,,
16,1816,-1.2245161290322581,-0.61,,,,
17,1817,-1.084516129032258,-0.63,,,,
18,1818,-0.23451612903225805,-0.6,,,,
19,1819,-0.924516129032258,-0.53,,,,
20,1820,-0.644516129032258,-0.47,,,,
21,1821,-0.25451612903225806,-0.41,,,,
22,1822,-0.21451612903225803,-0.34,,,,
23,1823,-0.314516129032258,-0.26,,,,
24,1824,0.21548387096774196,-0.2,,,,
25,1825,-0.05451612903225811,-0.15,,,,
26,1826,0.14548387096774196,-0.12,,,,
27,1827,0.36548387096774193,-0.11,,,,
28,1828,-0.1645161290322581,-0.12,,,,
29,1829,-0.2945161290322581,-0.14,,,,
30,1830,0.16548387096774192,-0.17,,,,
31,1831,-0.444516129032258,-0.21,,,,
32,1832,,,,,,
33,1833,-0.194516129032258,-0.3,,,,
34,1834,-0.1545161290322581,-0.34,,,,
35,1835,-0.8545161290322582,-0.37,,,,
36,1836,-0.47451612903225804,-0.39,,,,
37,1837,-0.624516129032258,-0.41,,,,
38,1838,-0.5245161290322581,-0.42,,,,
39,1839,-0.4045161290322581,-0.42,,,,
40,1840,-0.334516129032258,-0.41,,,,
41,1841,-0.6145161290322582,-0.39,,,,
42,1842,-0.194516129032258,-0.37,,,,
43,1843,-0.1645161290322581,-0.35,,,,
44,1844,-0.624516129032258,-0.32,,,,
45,1845,-0.4245161290322581,-0.29,,,,
46,1846,0.20548387096774196,-0.26,,,,
47,1847,-0.334516129032258,-0.24,,,,
48,1848,-0.3045161290322581,-0.21,,,,
49,1849,-0.194516129032258,-0.19,,,,
50,1850,-0.13451612903225807,-0.17,0.2,0.17,0.21,0.17
51,1851,0.005483870967741944,-0.15,0.2,0.17,0.2,0.17
52,1852,-0.194516129032258,-0.14,0.19,0.17,0.2,0.17
53,1853,-0.20451612903225802,-0.13,0.19,0.17,0.2,0.17
54,1854,-0.004516129032258065,-0.13,0.19,0.17,0.2,0.17
55,1855,0.08548387096774196,-0.14,0.19,0.16,0.2,0.16
56,1856,-0.14451612903225808,-0.16,0.19,0.16,0.19,0.16
57,1857,-0.5545161290322581,-0.19,0.18,0.16,0.19,0.16
58,1858,0.045483870967741924,-0.21,0.18,0.16,0.19,0.16
59,1859,0.28548387096774197,-0.23,0.18,0.16,0.19,0.16
60,1860,-0.5145161290322581,-0.23,0.18,0.16,0.19,0.16
61,1861,-0.46451612903225803,-0.23,0.18,0.15,0.19,0.16
62,1862,-0.8345161290322581,-0.23,0.18,0.15,0.18,0.15
63,1863,0.005483870967741944,-0.21,0.18,0.15,0.18,0.16
64,1864,-0.5345161290322581,-0.19,0.18,0.16,0.19,0.16
65,1865,-0.1545161290322581,-0.17,0.18,0.16,0.19,0.16
66,1866,-0.1745161290322581,-0.13,0.19,0.16,0.19,0.17
67,1867,0.43548387096774194,-0.08,0.19,0.17,0.2,0.17
68,1868,-0.07451612903225802,-0.03,0.2,0.17,0.2,0.18
69,1869,-0.004516129032258065,0.03,0.2,0.18,0.21,0.18
70,1870,0.12548387096774194,0.08,0.21,0.18,0.21,0.18
71,1871,-0.024516129032258083,0.12,0.21,0.19,0.21,0.19
72,1872,0.05548387096774193,0.16,0.21,0.19,0.21,0.19
73,1873,0.26548387096774195,0.2,0.21,0.19,0.22,0.19
74,1874,0.37548387096774194,0.23,0.21,0.19,0.22,0.19
75,1875,0.515483870967742,0.27,0.21,0.19,0.22,0.19
76,1876,0.09548387096774197,0.29,0.21,0.19,0.22,0.19
77,1877,0.32548387096774195,0.31,0.2,0.18,0.21,0.18
78,1878,0.36548387096774193,0.31,0.19,0.17,0.21,0.17
79,1879,0.22548387096774192,0.29,0.18,0.16,0.2,0.16
80,1880,0.8054838709677419,0.27,0.17,0.15,0.19,0.15
81,1881,0.655483870967742,0.25,0.16,0.14,0.18,0.14
82,1882,0.11548387096774193,0.23,0.15,0.13,0.17,0.13
83,1883,0.05548387096774193,0.22,0.15,0.13,0.16,0.13
84,1884,0.03548387096774197,0.2,0.14,0.12,0.16,0.12
85,1885,-0.23451612903225805,0.19,0.14,0.12,0.16,0.12
86,1886,0.12548387096774194,0.17,0.14,0.12,0.15,0.12
87,1887,0.14548387096774196,0.15,0.14,0.12,0.15,0.12
88,1888,0.26548387096774195,0.15,0.14,0.12,0.15,0.12
89,1889,0.39548387096774196,0.16,0.14,0.12,0.15,0.12
90,1890,0.18548387096774194,0.19,0.15,0.13,0.16,0.12
91,1891,-0.10451612903225804,0.23,0.15,0.13,0.16,0.13
92,1892,0.705483870967742,0.27,0.16,0.14,0.17,0.14
93,1893,-0.314516129032258,0.31,0.17,0.15,0.18,0.15
94,1894,-0.08451612903225802,0.34,0.19,0.17,0.19,0.16
95,1895,0.49548387096774194,0.37,0.2,0.18,0.2,0.17
96,1896,0.8554838709677419,0.4,0.2,0.19,0.2,0.18
97,1897,0.27548387096774196,0.43,0.21,0.19,0.21,0.18
98,1898,0.555483870967742,0.45,0.21,0.19,0.21,0.19
99,1899,0.8554838709677419,0.45,0.21,0.2,0.21,0.19
100,1900,0.525483870967742,0.44,0.21,0.2,0.21,0.19
101,1901,0.37548387096774194,0.42,0.21,0.2,0.21,0.19
102,1902,1.075483870967742,0.39,0.21,0.2,0.21,0.19
103,1903,-0.1645161290322581,0.35,0.21,0.2,0.21,0.19
104,1904,0.49548387096774194,0.31,0.21,0.19,0.21,0.18
105,1905,-0.184516129032258,0.27,0.21,0.19,0.21,0.18
106,1906,0.3354838709677419,0.23,0.2,0.19,0.21,0.17
107,1907,0.19548387096774195,0.2,0.2,0.19,0.21,0.17
108,1908,0.22548387096774192,0.19,0.2,0.19,0.21,0.17
109,1909,0.005483870967741944,0.2,0.21,0.19,0.21,0.18
110,1910,-0.20451612903225802,0.2,0.21,0.2,0.22,0.19
111,1911,0.11548387096774193,0.21,0.23,0.21,0.24,0.2
112,1912,0.5054838709677419,0.21,0.24,0.22,0.25,0.21
113,1913,0.18548387096774194,0.21,0.25,0.23,0.26,0.22
114,1914,0.45548387096774196,0.22,0.26,0.25,0.27,0.24
115,1915,0.945483870967742,0.23,0.27,0.26,0.28,0.25
116,1916,0.19548387096774195,0.25,0.28,0.27,0.29,0.26
117,1917,-0.06451612903225801,0.26,0.3,0.28,0.31,0.27
118,1918,0.08548387096774196,0.26,0.31,0.29,0.32,0.28
119,1919,0.20548387096774196,0.25,0.32,0.3,0.33,0.29
120,1920,0.02548387096774196,0.23,0.33,0.31,0.34,0.31
121,1921,0.8454838709677419,0.22,0.35,0.33,0.36,0.32
122,1922,0.5654838709677419,0.21,0.36,0.34,0.37,0.34
123,1923,-0.0445161290322581,0.22,0.37,0.35,0.38,0.35
124,1924,0.24548387096774194,0.22,0.37,0.36,0.39,0.35
125,1925,0.20548387096774196,0.23,0.38,0.36,0.4,0.36
126,1926,0.12548387096774194,0.23,0.39,0.37,0.4,0.36
127,1927,0.02548387096774196,0.22,0.39,0.37,0.41,0.37
