Papua New Guinea,year,obs_anoms,smoothed_anoms,ssp126,ssp245,ssp370,ssp585
0,1800,,,,,,
1,1801,,,,,,
2,1802,,,,,,
3,1803,,,,,,
4,1804,,,,,,
5,1805,,,,,,
6,1806,,,,,,
7,1807,,,,,,
8,1808,,,,,,
9,1809,,,,,,
10,1810,,,,,,
11,1811,,,,,,
12,1812,,,,,,
13,1813,,,,,,
14,1814,,,,,,
15,1815,,,,,,
16,1816,,,,,,
17,1817,,,,,,
18,1818,,,,,,
19,1819,,,,,,
20,1820,,,,,,
21,1821,,,,,,
22,1822,,,,,,
23,1823,,,,,,
24,1824,,,,,,
25,1825,,,,,,
26,1826,,,,,,
27,1827,,,,,,
28,1828,,,,,,
29,1829,,,,,,
30,1830,,,,,,
31,1831,,,,,,
32,1832,,,,,,
33,1833,,,,,,
34,1834,,,,,,
35,1835,,,,,,
36,1836,,,,,,
37,1837,,,,,,
38,1838,,,,,,
39,1839,,,,,,
40,1840,,,,,,
41,1841,,,,,,
42,1842,,,,,,
43,1843,,,,,,
44,1844,,,,,,
45,1845,,,,,,
46,1846,,,,,,
47,1847,,,,,,
48,1848,,,,,,
49,1849,,,,,,
50,1850,,,0.25,0.25,0.27,0.24
51,1851,,,0.25,0.25,0.27,0.24
52,1852,,,0.25,0.24,0.27,0.24
53,1853,,,0.25,0.24,0.26,0.24
54,1854,,,0.25,0.24,0.26,0.24
55,1855,,,0.25,0.24,0.26,0.24
56,1856,,,0.25,0.24,0.26,0.24
57,1857,,,0.25,0.24,0.26,0.24
58,1858,,,0.24,0.24,0.26,0.24
59,1859,,,0.24,0.24,0.26,0.24
60,1860,,,0.24,0.24,0.26,0.24
61,1861,,,0.24,0.24,0.26,0.24
62,1862,,,0.24,0.23,0.26,0.24
63,1863,,,0.24,0.23,0.26,0.24
64,1864,,,0.24,0.23,0.26,0.24
65,1865,,,0.24,0.23,0.26,0.24
66,1866,,,0.24,0.24,0.26,0.24
67,1867,,,0.24,0.24,0.26,0.24
68,1868,,,0.25,0.24,0.27,0.24
69,1869,,,0.25,0.24,0.27,0.24
70,1870,,,0.25,0.24,0.27,0.25
71,1871,,,0.25,0.25,0.28,0.25
72,1872,,,0.26,0.25,0.28,0.25
73,1873,,,0.26,0.25,0.28,0.25
74,1874,,,0.26,0.25,0.28,0.25
75,1875,,,0.26,0.25,0.28,0.25
76,1876,,,0.25,0.25,0.28,0.25
77,1877,,,0.25,0.25,0.28,0.24
78,1878,,,0.25,0.24,0.27,0.24
79,1879,,,0.24,0.24,0.27,0.24
80,1880,,,0.24,0.23,0.26,0.23
81,1881,,,0.24,0.23,0.26,0.23
82,1882,,,0.23,0.23,0.25,0.23
83,1883,,,0.23,0.23,0.25,0.22
84,1884,,,0.23,0.23,0.25,0.22
85,1885,,,0.23,0.22,0.25,0.22
86,1886,,,0.23,0.22,0.25,0.22
87,1887,-0.3325,-0.19,0.23,0.23,0.25,0.22
88,1888,0.017500000000000016,-0.18,0.23,0.23,0.25,0.22
89,1889,0.5475,-0.16,0.23,0.23,0.26,0.23
90,1890,-0.23250000000000004,-0.15,0.24,0.23,0.26,0.23
91,1891,-0.26249999999999996,-0.13,0.24,0.23,0.26,0.23
92,1892,-0.0625,-0.11,0.25,0.24,0.27,0.24
93,1893,0.19749999999999998,-0.09,0.25,0.25,0.28,0.24
94,1894,-0.35250000000000004,-0.08,0.26,0.25,0.28,0.25
95,1895,-0.08250000000000002,-0.06,0.27,0.26,0.29,0.26
96,1896,-0.3125,-0.05,0.27,0.27,0.3,0.27
97,1897,0.4275,-0.03,0.28,0.27,0.3,0.27
98,1898,0.007500000000000007,-0.02,0.28,0.27,0.3,0.27
99,1899,-0.11250000000000004,-0.0,0.28,0.27,0.3,0.27
100,1900,0.7475,0.01,0.28,0.28,0.3,0.28
101,1901,0.4375,0.02,0.28,0.28,0.31,0.28
102,1902,-0.24250000000000005,0.04,0.29,0.28,0.31,0.28
103,1903,0.16749999999999998,0.06,0.29,0.28,0.31,0.28
104,1904,-0.35250000000000004,0.08,0.29,0.28,0.31,0.28
105,1905,0.09749999999999998,0.1,0.29,0.29,0.31,0.28
106,1906,0.3375,0.11,0.29,0.29,0.31,0.29
107,1907,-0.1725,0.12,0.29,0.29,0.31,0.29
108,1908,-0.0025000000000000022,0.14,0.29,0.29,0.31,0.29
109,1909,0.5375,0.16,0.3,0.29,0.32,0.29
110,1910,0.4975,0.18,0.3,0.29,0.32,0.29
111,1911,0.007500000000000007,0.2,0.3,0.3,0.32,0.3
112,1912,0.2475,0.21,0.31,0.3,0.33,0.3
113,1913,0.19749999999999998,0.22,0.31,0.31,0.33,0.31
114,1914,-0.11250000000000004,0.22,0.32,0.31,0.34,0.31
115,1915,0.5275,0.22,0.33,0.32,0.34,0.32
116,1916,0.4775,0.21,0.33,0.33,0.35,0.32
