Qatar,year,obs_anoms,smoothed_anoms,ssp126,ssp245,ssp370,ssp585
0,1800,,,,,,
1,1801,,,,,,
2,1802,,,,,,
3,1803,,,,,,
4,1804,,,,,,
5,1805,,,,,,
6,1806,,,,,,
7,1807,,,,,,
8,1808,,,,,,
9,1809,,,,,,
10,1810,,,,,,
11,1811,,,,,,
12,1812,,,,,,
13,1813,,,,,,
14,1814,,,,,,
15,1815,,,,,,
16,1816,,,,,,
17,1817,,,,,,
18,1818,,,,,,
19,1819,,,,,,
20,1820,,,,,,
21,1821,,,,,,
22,1822,,,,,,
23,1823,,,,,,
24,1824,,,,,,
25,1825,,,,,,
26,1826,,,,,,
27,1827,,,,,,
28,1828,,,,,,
29,1829,,,,,,
30,1830,,,,,,
31,1831,,,,,,
32,1832,,,,,,
33,1833,,,,,,
34,1834,,,,,,
35,1835,,,,,,
36,1836,,,,,,
37,1837,,,,,,
38,1838,,,,,,
39,1839,,,,,,
40,1840,,,,,,
41,1841,,,,,,
42,1842,,,,,,
43,1843,,,,,,
44,1844,,,,,,
45,1845,,,,,,
46,1846,,,,,,
47,1847,,,,,,
48,1848,-0.3932258064516129,-0.28,,,,
49,1849,-0.21322580645161288,-0.26,,,,
50,1850,-0.5932258064516129,-0.25,0.52,0.49,0.49,0.49
51,1851,0.016774193548387106,-0.24,0.53,0.49,0.5,0.49
52,1852,-0.1132258064516129,-0.23,0.53,0.49,0.5,0.49
53,1853,-0.12322580645161291,-0.22,0.53,0.5,0.5,0.49
54,1854,-0.2532258064516129,-0.2,0.53,0.5,0.51,0.5
55,1855,-0.07322580645161292,-0.19,0.54,0.5,0.51,0.5
56,1856,-0.2332258064516129,-0.19,0.54,0.5,0.52,0.5
57,1857,-0.603225806451613,-0.18,0.54,0.51,0.52,0.5
58,1858,0.1267741935483871,-0.17,0.54,0.51,0.52,0.51
59,1859,0.14677419354838708,-0.16,0.55,0.51,0.53,0.51
60,1860,-0.01322580645161292,-0.14,0.55,0.51,0.53,0.51
61,1861,-0.4832258064516129,-0.11,0.55,0.52,0.54,0.52
62,1862,-0.8332258064516129,-0.08,0.56,0.52,0.54,0.52
63,1863,-0.41322580645161294,-0.05,0.56,0.52,0.54,0.52
64,1864,0.026774193548387115,-0.02,0.56,0.52,0.54,0.52
65,1865,0.20677419354838708,0.0,0.56,0.52,0.54,0.52
66,1866,0.04677419354838708,0.02,0.56,0.52,0.54,0.52
67,1867,0.3067741935483871,0.04,0.56,0.52,0.54,0.52
68,1868,0.1967741935483871,0.07,0.56,0.52,0.54,0.52
69,1869,0.4467741935483871,0.1,0.56,0.53,0.54,0.52
70,1870,0.10677419354838708,0.13,0.56,0.53,0.54,0.53
71,1871,-0.06322580645161291,0.16,0.57,0.53,0.55,0.53
72,1872,-0.0532258064516129,0.18,0.57,0.53,0.55,0.53
73,1873,0.23677419354838708,0.19,0.57,0.53,0.55,0.53
74,1874,0.11677419354838708,0.2,0.57,0.53,0.55,0.53
75,1875,-0.10322580645161289,0.21,0.57,0.53,0.55,0.53
76,1876,0.2567741935483871,0.21,0.57,0.53,0.55,0.53
77,1877,0.7567741935483872,0.2,0.56,0.53,0.55,0.53
78,1878,0.6667741935483871,0.19,0.56,0.53,0.55,0.52
79,1879,0.2467741935483871,0.18,0.56,0.52,0.54,0.52
80,1880,0.04677419354838708,0.17,0.55,0.51,0.53,0.51
81,1881,0.6967741935483871,0.16,0.55,0.51,0.53,0.51
82,1882,-0.19322580645161286,0.15,0.54,0.5,0.52,0.5
83,1883,0.08677419354838711,0.13,0.54,0.5,0.52,0.5
84,1884,-0.10322580645161289,0.12,0.54,0.5,0.52,0.49
85,1885,-0.01322580645161292,0.1,0.53,0.5,0.52,0.49
86,1886,-0.17322580645161295,0.09,0.53,0.5,0.52,0.49
87,1887,-0.15322580645161293,0.08,0.53,0.5,0.52,0.49
88,1888,0.4667741935483871,0.08,0.53,0.5,0.52,0.49
89,1889,0.4567741935483871,0.07,0.53,0.5,0.52,0.49
90,1890,-0.07322580645161292,0.08,0.53,0.5,0.52,0.49
91,1891,0.1567741935483871,0.08,0.54,0.5,0.52,0.49
92,1892,0.17677419354838708,0.08,0.54,0.51,0.52,0.5
93,1893,0.1967741935483871,0.09,0.55,0.52,0.53,0.51
94,1894,0.006774193548387097,0.1,0.56,0.53,0.54,0.52
95,1895,-0.17322580645161295,0.12,0.56,0.53,0.55,0.52
96,1896,0.11677419354838708,0.12,0.57,0.54,0.56,0.53
97,1897,0.04677419354838708,0.13,0.57,0.54,0.56,0.53
98,1898,-0.32322580645161286,0.13,0.57,0.54,0.56,0.53
99,1899,0.2467741935483871,0.13,0.56,0.53,0.55,0.52
100,1900,0.3567741935483871,0.13,0.56,0.53,0.55,0.52
101,1901,0.6867741935483871,0.13,0.55,0.52,0.54,0.51
