Saint Vincent and the Grenadines,year,obs_anoms,smoothed_anoms,ssp126,ssp245,ssp370,ssp585
0,1800,,,,,,
1,1801,,,,,,
2,1802,,,,,,
3,1803,,,,,,
4,1804,,,,,,
5,1805,,,,,,
6,1806,,,,,,
7,1807,,,,,,
8,1808,,,,,,
9,1809,,,,,,
10,1810,,,,,,
11,1811,,,,,,
12,1812,,,,,,
13,1813,,,,,,
14,1814,,,,,,
15,1815,,,,,,
16,1816,,,,,,
17,1817,,,,,,
18,1818,,,,,,
19,1819,,,,,,
20,1820,,,,,,
21,1821,,,,,,
22,1822,,,,,,
23,1823,,,,,,
24,1824,-0.13935483870967735,0.0,,,,
25,1825,0.23064516129032264,-0.0,,,,
26,1826,-0.0793548387096773,-0.0,,,,
27,1827,0.12064516129032266,-0.01,,,,
28,1828,-0.05935483870967739,-0.01,,,,
29,1829,-0.08935483870967731,-0.01,,,,
30,1830,,,,,,
31,1831,,,,,,
32,1832,,,,,,
33,1833,,,,,,
34,1834,,,,,,
35,1835,,,,,,
36,1836,,,,,,
37,1837,,,,,,
38,1838,,,,,,
39,1839,,,,,,
40,1840,,,,,,
41,1841,,,,,,
42,1842,,,,,,
43,1843,,,,,,
44,1844,,,,,,
45,1845,,,,,,
46,1846,0.32064516129032267,-0.01,,,,
47,1847,-0.15935483870967737,-0.02,,,,
48,1848,-0.15935483870967737,-0.03,,,,
49,1849,-0.1893548387096773,-0.05,,,,
50,1850,-0.0793548387096773,-0.06,0.47,0.46,0.45,0.46
51,1851,-0.049354838709677384,-0.07,0.47,0.46,0.45,0.46
52,1852,-0.13935483870967735,-0.09,0.47,0.46,0.45,0.46
53,1853,0.07064516129032267,-0.1,0.47,0.46,0.45,0.46
54,1854,-0.06935483870967729,-0.11,0.47,0.46,0.45,0.46
55,1855,0.06064516129032266,-0.12,0.47,0.46,0.45,0.46
56,1856,0.12064516129032266,-0.13,0.46,0.46,0.45,0.46
57,1857,-0.4293548387096774,-0.14,0.46,0.46,0.45,0.46
58,1858,-0.37935483870967734,-0.15,0.46,0.46,0.45,0.46
59,1859,-0.3393548387096773,-0.15,0.46,0.46,0.45,0.46
60,1860,-0.12935483870967734,-0.15,0.46,0.46,0.45,0.46
61,1861,-0.08935483870967731,-0.14,0.46,0.46,0.45,0.46
62,1862,-0.24935483870967734,-0.11,0.47,0.46,0.45,0.46
63,1863,-0.27935483870967737,-0.08,0.47,0.46,0.45,0.46
64,1864,-0.08935483870967731,-0.03,0.47,0.46,0.45,0.46
65,1865,0.10064516129032264,0.01,0.47,0.46,0.45,0.46
66,1866,0.10064516129032264,0.05,0.47,0.47,0.46,0.46
67,1867,0.18064516129032265,0.08,0.48,0.47,0.46,0.47
68,1868,0.2906451612903227,0.11,0.48,0.47,0.46,0.47
69,1869,0.42064516129032264,0.13,0.48,0.48,0.47,0.47
70,1870,-0.10935483870967733,0.14,0.49,0.48,0.47,0.48
71,1871,0.20064516129032267,0.15,0.49,0.48,0.47,0.48
72,1872,0.37064516129032266,0.15,0.49,0.48,0.48,0.48
73,1873,0.11064516129032265,0.14,0.49,0.48,0.48,0.48
74,1874,0.030645161290322687,0.12,0.49,0.48,0.48,0.48
75,1875,-0.06935483870967729,0.09,0.49,0.48,0.48,0.48
76,1876,0.11064516129032265,0.06,0.49,0.48,0.48,0.48
77,1877,0.48064516129032264,0.03,0.49,0.48,0.48,0.48
78,1878,0.5506451612903227,0.0,0.49,0.48,0.48,0.48
79,1879,-0.2093548387096773,-0.03,0.48,0.48,0.47,0.47
80,1880,-0.48935483870967733,-0.05,0.48,0.47,0.47,0.47
81,1881,0.06064516129032266,-0.07,0.47,0.46,0.46,0.46
82,1882,-0.14935483870967736,-0.09,0.47,0.46,0.45,0.45
83,1883,-0.24935483870967734,-0.1,0.46,0.45,0.45,0.45
84,1884,-0.2893548387096774,-0.11,0.46,0.45,0.44,0.44
85,1885,0.10064516129032264,-0.11,0.45,0.44,0.44,0.44
86,1886,-0.14935483870967736,-0.1,0.45,0.44,0.44,0.43
87,1887,-0.26935483870967736,-0.1,0.45,0.44,0.43,0.43
88,1888,0.15064516129032268,-0.1,0.44,0.43,0.43,0.43
89,1889,0.48064516129032264,-0.1,0.44,0.43,0.43,0.42
90,1890,-0.6193548387096774,-0.09,0.44,0.43,0.42,0.42
91,1891,0.09064516129032268,-0.08,0.43,0.43,0.42,0.42
92,1892,-0.06935483870967729,-0.07,0.43,0.43,0.42,0.42
93,1893,-0.24935483870967734,-0.05,0.44,0.43,0.43,0.42
94,1894,-0.3393548387096773,-0.03,0.44,0.43,0.43,0.43
95,1895,-0.05935483870967739,-0.01,0.44,0.44,0.44,0.43
96,1896,0.010645161290322669,0.02,0.45,0.44,0.44,0.43
97,1897,0.22064516129032263,0.05,0.45,0.44,0.44,0.43
