Samoa,year,obs_anoms,smoothed_anoms,ssp126,ssp245,ssp370,ssp585
0,1800,,,,,,
1,1801,,,,,,
2,1802,,,,,,
3,1803,,,,,,
4,1804,,,,,,
5,1805,,,,,,
6,1806,,,,,,
7,1807,,,,,,
8,1808,,,,,,
9,1809,,,,,,
10,1810,,,,,,
11,1811,,,,,,
12,1812,,,,,,
13,1813,,,,,,
14,1814,,,,,,
15,1815,,,,,,
16,1816,,,,,,
17,1817,,,,,,
18,1818,,,,,,
19,1819,,,,,,
20,1820,,,,,,
21,1821,,,,,,
22,1822,,,,,,
23,1823,,,,,,
24,1824,,,,,,
25,1825,,,,,,
26,1826,,,,,,
27,1827,,,,,,
28,1828,,,,,,
29,1829,,,,,,
30,1830,,,,,,
31,1831,,,,,,
32,1832,,,,,,
33,1833,,,,,,
34,1834,,,,,,
35,1835,,,,,,
36,1836,,,,,,
37,1837,,,,,,
38,1838,,,,,,
39,1839,,,,,,
40,1840,,,,,,
41,1841,,,,,,
42,1842,,,,,,
43,1843,,,,,,
44,1844,,,,,,
45,1845,,,,,,
46,1846,,,,,,
47,1847,,,,,,
48,1848,,,,,,
49,1849,,,,,,
50,1850,,,0.52,0.52,0.53,0.5
51,1851,,,0.52,0.52,0.53,0.5
52,1852,,,0.52,0.52,0.54,0.51
53,1853,,,0.52,0.52,0.54,0.51
54,1854,,,0.53,0.53,0.54,0.51
55,1855,,,0.53,0.53,0.54,0.51
56,1856,,,0.53,0.53,0.54,0.51
57,1857,,,0.53,0.53,0.54,0.52
58,1858,,,0.53,0.53,0.54,0.52
59,1859,,,0.53,0.53,0.54,0.52
60,1860,,,0.53,0.53,0.55,0.52
61,1861,,,0.54,0.53,0.55,0.52
62,1862,,,0.54,0.54,0.55,0.52
63,1863,,,0.54,0.54,0.55,0.52
64,1864,,,0.54,0.54,0.55,0.52
65,1865,,,0.54,0.54,0.55,0.52
66,1866,,,0.54,0.54,0.55,0.52
67,1867,0.2928571428571428,0.25,0.54,0.53,0.54,0.52
68,1868,,,0.54,0.53,0.54,0.52
69,1869,,,0.54,0.54,0.54,0.52
70,1870,,,0.54,0.54,0.55,0.52
71,1871,0.23285714285714282,0.18,0.54,0.54,0.55,0.52
72,1872,,,0.54,0.54,0.55,0.53
73,1873,,,0.54,0.54,0.55,0.53
74,1874,,,0.54,0.54,0.55,0.53
75,1875,,,0.54,0.54,0.55,0.52
76,1876,,,0.54,0.54,0.55,0.52
77,1877,,,0.54,0.54,0.55,0.52
78,1878,,,0.53,0.53,0.54,0.52
79,1879,,,0.53,0.53,0.54,0.51
80,1880,,,0.52,0.52,0.53,0.51
81,1881,,,0.52,0.52,0.53,0.51
82,1882,,,0.52,0.51,0.52,0.5
83,1883,-0.017142857142857126,-0.07,0.51,0.51,0.52,0.5
84,1884,-0.3571428571428572,-0.09,0.51,0.51,0.51,0.49
85,1885,,,0.5,0.5,0.51,0.49
86,1886,-0.13714285714285712,-0.11,0.5,0.5,0.5,0.49
87,1887,-0.11714285714285722,-0.09,0.5,0.5,0.5,0.48
88,1888,,,0.5,0.49,0.5,0.48
89,1889,,,0.5,0.49,0.5,0.48
90,1890,0.10285714285714281,-0.01,0.5,0.49,0.5,0.48
91,1891,0.07285714285714284,0.02,0.5,0.5,0.5,0.48
92,1892,-0.0071428571428572285,0.05,0.5,0.5,0.51,0.49
93,1893,-0.24714285714285722,0.1,0.51,0.51,0.51,0.49
94,1894,0.12285714285714283,0.14,0.52,0.51,0.52,0.5
95,1895,-0.037142857142857144,0.18,0.52,0.52,0.53,0.51
96,1896,0.1628571428571428,0.21,0.53,0.53,0.54,0.51
97,1897,0.5028571428571428,0.24,0.53,0.53,0.54,0.52
98,1898,0.3928571428571428,0.29,0.54,0.54,0.55,0.52
99,1899,0.5028571428571428,0.31,0.54,0.54,0.55,0.52
100,1900,0.4728571428571428,0.31,0.54,0.54,0.55,0.53
101,1901,0.4028571428571428,0.31,0.55,0.55,0.56,0.53
102,1902,0.32285714285714284,0.28,0.55,0.55,0.56,0.53
103,1903,0.31285714285714283,0.23,0.55,0.55,0.56,0.53
104,1904,-0.017142857142857126,0.17,0.55,0.55,0.57,0.54
105,1905,0.03285714285714281,0.13,0.56,0.56,0.57,0.54
106,1906,0.4228571428571428,0.09,0.56,0.56,0.57,0.54
107,1907,-0.14714285714285713,0.07,0.56,0.56,0.57,0.54
108,1908,-0.13714285714285712,0.05,0.56,0.56,0.57,0.54
109,1909,-0.19714285714285718,0.05,0.56,0.56,0.57,0.54
110,1910,0.01285714285714279,0.06,0.57,0.57,0.58,0.55
111,1911,0.17285714285714282,0.07,0.57,0.57,0.58,0.55
112,1912,0.19285714285714284,0.09,0.58,0.58,0.59,0.56
113,1913,0.07285714285714284,0.11,0.58,0.59,0.6,0.57
