Sao Tome and Principe,year,obs_anoms,smoothed_anoms,ssp126,ssp245,ssp370,ssp585
0,1800,,,,,,
1,1801,,,,,,
2,1802,,,,,,
3,1803,,,,,,
4,1804,,,,,,
5,1805,,,,,,
6,1806,,,,,,
7,1807,,,,,,
8,1808,,,,,,
9,1809,,,,,,
10,1810,,,,,,
11,1811,,,,,,
12,1812,,,,,,
13,1813,,,,,,
14,1814,,,,,,
15,1815,,,,,,
16,1816,,,,,,
17,1817,,,,,,
18,1818,,,,,,
19,1819,,,,,,
20,1820,,,,,,
21,1821,,,,,,
22,1822,,,,,,
23,1823,,,,,,
24,1824,,,,,,
25,1825,,,,,,
26,1826,,,,,,
27,1827,,,,,,
28,1828,,,,,,
29,1829,,,,,,
30,1830,,,,,,
31,1831,,,,,,
32,1832,,,,,,
33,1833,,,,,,
34,1834,,,,,,
35,1835,,,,,,
36,1836,,,,,,
37,1837,,,,,,
38,1838,,,,,,
39,1839,,,,,,
40,1840,,,,,,
41,1841,,,,,,
42,1842,,,,,,
43,1843,,,,,,
44,1844,,,,,,
45,1845,,,,,,
46,1846,,,,,,
47,1847,,,,,,
48,1848,,,,,,
49,1849,,,,,,
50,1850,,,0.46,0.46,0.46,0.45
51,1851,,,0.46,0.46,0.46,0.45
52,1852,,,0.46,0.46,0.46,0.45
53,1853,,,0.46,0.46,0.46,0.45
54,1854,,,0.46,0.46,0.46,0.45
55,1855,,,0.46,0.46,0.45,0.45
56,1856,,,0.46,0.46,0.45,0.45
57,1857,,,0.46,0.45,0.45,0.45
58,1858,,,0.46,0.45,0.45,0.46
59,1859,,,0.46,0.45,0.45,0.46
60,1860,,,0.46,0.45,0.45,0.46
61,1861,,,0.46,0.45,0.45,0.46
62,1862,,,0.46,0.45,0.45,0.46
63,1863,,,0.46,0.45,0.45,0.45
64,1864,,,0.46,0.45,0.45,0.45
65,1865,,,0.46,0.45,0.45,0.45
66,1866,,,0.46,0.45,0.45,0.45
67,1867,,,0.46,0.45,0.45,0.45
68,1868,,,0.46,0.45,0.45,0.45
69,1869,,,0.46,0.45,0.46,0.45
70,1870,,,0.46,0.45,0.46,0.45
71,1871,,,0.46,0.46,0.46,0.46
72,1872,,,0.46,0.46,0.47,0.46
73,1873,,,0.47,0.46,0.47,0.46
74,1874,0.08714285714285719,0.03,0.47,0.46,0.47,0.46
75,1875,-0.10285714285714287,0.03,0.47,0.47,0.47,0.46
76,1876,,,0.47,0.47,0.47,0.47
77,1877,0.3471428571428572,0.04,0.47,0.47,0.47,0.47
78,1878,0.07714285714285718,0.04,0.47,0.47,0.47,0.46
79,1879,-0.6228571428571429,0.05,0.47,0.46,0.47,0.46
80,1880,-0.2528571428571428,0.05,0.46,0.46,0.46,0.46
81,1881,0.1471428571428572,0.06,0.46,0.46,0.46,0.45
82,1882,-0.07285714285714284,0.06,0.46,0.45,0.46,0.45
83,1883,0.3471428571428572,0.06,0.46,0.45,0.45,0.45
84,1884,,,0.46,0.45,0.45,0.45
85,1885,,,0.46,0.45,0.45,0.45
86,1886,0.4771428571428572,0.07,0.45,0.45,0.45,0.45
87,1887,-0.33285714285714285,0.08,0.45,0.45,0.45,0.44
88,1888,0.0971428571428572,0.09,0.45,0.45,0.45,0.44
89,1889,0.3571428571428572,0.1,0.45,0.45,0.44,0.44
90,1890,-0.5528571428571428,0.1,0.45,0.45,0.45,0.44
91,1891,-0.1628571428571428,0.1,0.45,0.45,0.45,0.45
92,1892,0.007142857142857173,0.1,0.46,0.45,0.45,0.45
93,1893,0.17714285714285716,0.11,0.47,0.46,0.46,0.46
94,1894,0.2671428571428572,0.11,0.47,0.47,0.47,0.46
95,1895,0.4471428571428572,0.12,0.48,0.47,0.47,0.47
96,1896,-0.01285714285714279,0.12,0.48,0.48,0.48,0.47
97,1897,0.2171428571428572,0.11,0.49,0.48,0.48,0.48
98,1898,-0.1628571428571428,0.09,0.49,0.48,0.48,0.48
99,1899,0.30714285714285716,0.06,0.49,0.48,0.48,0.48
100,1900,0.23714285714285718,0.02,0.49,0.48,0.48,0.48
101,1901,0.20714285714285718,-0.02,0.49,0.49,0.49,0.48
102,1902,-0.24285714285714277,-0.05,0.5,0.49,0.49,0.49
103,1903,-0.4128571428571428,-0.08,0.5,0.49,0.49,0.49
104,1904,-0.8628571428571429,-0.11,0.5,0.49,0.49,0.49
105,1905,-0.07285714285714284,-0.13,0.5,0.49,0.5,0.49
106,1906,-0.21285714285714286,-0.14,0.5,0.5,0.5,0.49
107,1907,-0.3028571428571428,-0.12,0.5,0.5,0.5,0.49
108,1908,-0.23285714285714276,-0.08,0.5,0.5,0.5,0.49
109,1909,-0.11285714285714277,-0.02,0.51,0.5,0.5,0.5
110,1910,-0.08285714285714285,0.06,0.51,0.5,0.51,0.5
111,1911,-0.34285714285714286,0.13,0.52,0.51,0.51,0.51
