Sierra Leone,year,obs_anoms,smoothed_anoms,ssp126,ssp245,ssp370,ssp585
0,1800,,,,,,
1,1801,,,,,,
2,1802,,,,,,
3,1803,,,,,,
4,1804,,,,,,
5,1805,,,,,,
6,1806,,,,,,
7,1807,,,,,,
8,1808,,,,,,
9,1809,,,,,,
10,1810,,,,,,
11,1811,,,,,,
12,1812,,,,,,
13,1813,,,,,,
14,1814,,,,,,
15,1815,,,,,,
16,1816,,,,,,
17,1817,,,,,,
18,1818,,,,,,
19,1819,,,,,,
20,1820,,,,,,
21,1821,,,,,,
22,1822,,,,,,
23,1823,,,,,,
24,1824,,,,,,
25,1825,,,,,,
26,1826,,,,,,
27,1827,,,,,,
28,1828,,,,,,
29,1829,,,,,,
30,1830,,,,,,
31,1831,,,,,,
32,1832,,,,,,
33,1833,,,,,,
34,1834,,,,,,
35,1835,,,,,,
36,1836,,,,,,
37,1837,,,,,,
38,1838,,,,,,
39,1839,,,,,,
40,1840,,,,,,
41,1841,,,,,,
42,1842,,,,,,
43,1843,,,,,,
44,1844,,,,,,
45,1845,,,,,,
46,1846,,,,,,
47,1847,,,,,,
48,1848,,,,,,
49,1849,-0.1449999999999999,-0.13,,,,
50,1850,-0.10499999999999998,-0.13,0.31,0.29,0.3,0.3
51,1851,-0.11499999999999999,-0.12,0.31,0.29,0.29,0.3
52,1852,,,0.31,0.29,0.29,0.3
53,1853,,,0.31,0.29,0.29,0.3
54,1854,,,0.3,0.29,0.29,0.3
55,1855,,,0.3,0.28,0.28,0.3
56,1856,,,0.3,0.28,0.28,0.3
57,1857,-0.2749999999999999,-0.11,0.3,0.28,0.28,0.29
58,1858,0.03500000000000003,-0.11,0.3,0.28,0.28,0.29
59,1859,0.515,-0.11,0.3,0.28,0.28,0.29
60,1860,-0.4149999999999999,-0.1,0.3,0.28,0.27,0.29
61,1861,,,0.3,0.28,0.27,0.29
62,1862,,,0.3,0.28,0.27,0.29
63,1863,,,0.3,0.28,0.27,0.29
64,1864,,,0.29,0.28,0.27,0.29
65,1865,0.16500000000000004,-0.09,0.29,0.28,0.27,0.29
66,1866,,,0.29,0.27,0.27,0.29
67,1867,,,0.29,0.27,0.27,0.29
68,1868,,,0.3,0.28,0.28,0.29
69,1869,,,0.3,0.28,0.28,0.29
70,1870,,,0.3,0.28,0.29,0.29
71,1871,,,0.3,0.28,0.29,0.29
72,1872,,,0.3,0.28,0.29,0.3
73,1873,,,0.31,0.29,0.3,0.3
74,1874,-0.235,-0.04,0.31,0.29,0.3,0.3
75,1875,-0.5549999999999999,-0.03,0.3,0.29,0.3,0.3
76,1876,-0.46499999999999997,-0.02,0.3,0.28,0.3,0.29
77,1877,0.11500000000000005,-0.02,0.3,0.28,0.29,0.29
78,1878,0.3350000000000001,0.0,0.3,0.28,0.29,0.29
79,1879,-0.06499999999999995,0.03,0.29,0.27,0.28,0.28
80,1880,0.5650000000000001,0.05,0.29,0.27,0.27,0.28
81,1881,0.535,0.07,0.28,0.26,0.26,0.27
82,1882,0.28500000000000003,0.1,0.28,0.26,0.26,0.27
83,1883,,,0.28,0.26,0.26,0.27
84,1884,0.275,0.11,0.28,0.26,0.25,0.26
85,1885,-0.245,0.1,0.27,0.26,0.25,0.26
86,1886,0.04500000000000004,0.08,0.27,0.26,0.25,0.26
87,1887,-0.10499999999999998,0.06,0.27,0.26,0.25,0.26
88,1888,0.11500000000000005,0.04,0.27,0.26,0.25,0.26
89,1889,-0.15499999999999992,0.04,0.27,0.26,0.25,0.26
90,1890,-0.19499999999999995,0.06,0.28,0.26,0.25,0.27
91,1891,0.18500000000000005,0.08,0.28,0.26,0.26,0.27
92,1892,0.22500000000000003,0.11,0.29,0.27,0.27,0.28
93,1893,0.07500000000000007,0.14,0.3,0.28,0.28,0.29
94,1894,0.11500000000000005,0.17,0.31,0.29,0.29,0.3
95,1895,0.265,0.2,0.31,0.29,0.3,0.3
96,1896,0.35500000000000004,0.22,0.32,0.3,0.3,0.31
97,1897,0.395,0.22,0.32,0.3,0.31,0.31
98,1898,0.00500000000000006,0.22,0.33,0.31,0.31,0.32
99,1899,0.5750000000000001,0.2,0.33,0.31,0.31,0.32
100,1900,0.12500000000000006,0.18,0.33,0.31,0.32,0.32
101,1901,0.48500000000000004,0.16,0.33,0.31,0.32,0.32
102,1902,0.21500000000000005,0.13,0.34,0.32,0.32,0.33
103,1903,-0.06499999999999995,0.1,0.34,0.32,0.33,0.33
104,1904,-0.475,0.07,0.34,0.32,0.33,0.33
105,1905,-0.024999999999999967,0.05,0.35,0.33,0.33,0.33
106,1906,0.10500000000000004,0.03,0.35,0.33,0.34,0.34
107,1907,-0.09499999999999997,0.03,0.35,0.33,0.34,0.34
108,1908,-0.11499999999999999,0.03,0.36,0.33,0.34,0.34
