Solomon Islands,year,obs_anoms,smoothed_anoms,ssp126,ssp245,ssp370,ssp585
0,1800,,,,,,
1,1801,,,,,,
2,1802,,,,,,
3,1803,,,,,,
4,1804,,,,,,
5,1805,,,,,,
6,1806,,,,,,
7,1807,,,,,,
8,1808,,,,,,
9,1809,,,,,,
10,1810,,,,,,
11,1811,,,,,,
12,1812,,,,,,
13,1813,,,,,,
14,1814,,,,,,
15,1815,,,,,,
16,1816,,,,,,
17,1817,,,,,,
18,1818,,,,,,
19,1819,,,,,,
20,1820,,,,,,
21,1821,,,,,,
22,1822,,,,,,
23,1823,,,,,,
24,1824,,,,,,
25,1825,,,,,,
26,1826,,,,,,
27,1827,,,,,,
28,1828,,,,,,
29,1829,,,,,,
30,1830,,,,,,
31,1831,,,,,,
32,1832,,,,,,
33,1833,,,,,,
34,1834,,,,,,
35,1835,,,,,,
36,1836,,,,,,
37,1837,,,,,,
38,1838,,,,,,
39,1839,,,,,,
40,1840,,,,,,
41,1841,,,,,,
42,1842,,,,,,
43,1843,,,,,,
44,1844,,,,,,
45,1845,,,,,,
46,1846,,,,,,
47,1847,,,,,,
48,1848,,,,,,
49,1849,,,,,,
50,1850,,,0.56,0.55,0.56,0.55
51,1851,,,0.56,0.55,0.56,0.55
52,1852,,,0.56,0.55,0.56,0.55
53,1853,,,0.56,0.55,0.56,0.55
54,1854,,,0.56,0.56,0.56,0.56
55,1855,,,0.56,0.56,0.56,0.56
56,1856,,,0.56,0.56,0.56,0.56
57,1857,,,0.56,0.56,0.56,0.56
58,1858,,,0.57,0.56,0.56,0.56
59,1859,,,0.57,0.56,0.57,0.56
60,1860,,,0.57,0.56,0.57,0.56
61,1861,,,0.57,0.57,0.57,0.56
62,1862,,,0.57,0.57,0.57,0.56
63,1863,,,0.57,0.57,0.57,0.56
64,1864,,,0.57,0.57,0.57,0.57
65,1865,,,0.58,0.57,0.57,0.57
66,1866,,,0.58,0.57,0.58,0.57
67,1867,,,0.58,0.58,0.58,0.57
68,1868,,,0.58,0.58,0.58,0.57
69,1869,,,0.58,0.58,0.58,0.58
70,1870,,,0.59,0.58,0.59,0.58
71,1871,0.06499999999999995,0.04,0.59,0.58,0.59,0.58
72,1872,,,0.59,0.59,0.59,0.58
73,1873,,,0.59,0.59,0.59,0.58
74,1874,,,0.59,0.59,0.59,0.58
75,1875,,,0.59,0.59,0.59,0.58
76,1876,,,0.59,0.59,0.59,0.58
77,1877,,,0.58,0.58,0.59,0.58
78,1878,,,0.58,0.58,0.59,0.57
79,1879,,,0.58,0.58,0.58,0.57
80,1880,,,0.57,0.57,0.58,0.56
81,1881,,,0.57,0.57,0.57,0.56
82,1882,,,0.57,0.57,0.57,0.56
83,1883,,,0.56,0.57,0.57,0.56
84,1884,,,0.56,0.57,0.57,0.56
85,1885,,,0.56,0.57,0.57,0.56
86,1886,,,0.57,0.57,0.57,0.56
87,1887,,,0.57,0.57,0.57,0.56
88,1888,,,0.57,0.57,0.57,0.56
89,1889,,,0.57,0.57,0.57,0.56
90,1890,-0.06500000000000006,0.04,0.57,0.57,0.58,0.56
91,1891,0.025000000000000022,0.06,0.57,0.57,0.58,0.57
92,1892,0.08499999999999996,0.08,0.58,0.58,0.58,0.57
93,1893,0.375,0.09,0.59,0.58,0.59,0.58
94,1894,0.08499999999999996,0.11,0.59,0.59,0.6,0.58
95,1895,0.21499999999999997,0.12,0.6,0.6,0.61,0.59
96,1896,-0.14500000000000002,0.14,0.61,0.6,0.61,0.6
97,1897,0.515,0.15,0.61,0.61,0.62,0.6
98,1898,0.21499999999999997,0.15,0.61,0.61,0.62,0.6
99,1899,0.05499999999999994,0.14,0.62,0.61,0.62,0.6
100,1900,0.40499999999999997,0.13,0.62,0.61,0.62,0.61
101,1901,0.645,0.12,0.62,0.62,0.62,0.61
102,1902,-0.14500000000000002,0.12,0.62,0.62,0.62,0.61
103,1903,0.21499999999999997,0.11,0.62,0.62,0.62,0.61
104,1904,-0.05500000000000005,0.11,0.62,0.62,0.63,0.61
105,1905,-0.07500000000000007,0.11,0.62,0.62,0.63,0.61
106,1906,0.15499999999999997,0.13,0.62,0.62,0.63,0.61
107,1907,0.15499999999999997,0.15,0.62,0.62,0.63,0.61
108,1908,0.185,0.19,0.62,0.62,0.63,0.61
109,1909,0.31499999999999995,0.22,0.63,0.62,0.63,0.62
110,1910,-0.06500000000000006,0.26,0.63,0.63,0.63,0.62
111,1911,0.385,0.29,0.63,0.63,0.63,0.62
112,1912,0.365,0.31,0.63,0.63,0.63,0.62
113,1913,0.365,0.32,0.64,0.64,0.64,0.63
114,1914,0.32499999999999996,0.32,0.64,0.64,0.65,0.64
115,1915,0.835,0.33,0.65,0.65,0.65,0.64
116,1916,0.5449999999999999,0.34,0.65,0.65,0.66,0.65
