Somalia,year,obs_anoms,smoothed_anoms,ssp126,ssp245,ssp370,ssp585
0,1800,,,,,,
1,1801,,,,,,
2,1802,,,,,,
3,1803,,,,,,
4,1804,,,,,,
5,1805,,,,,,
6,1806,,,,,,
7,1807,,,,,,
8,1808,,,,,,
9,1809,,,,,,
10,1810,,,,,,
11,1811,,,,,,
12,1812,,,,,,
13,1813,,,,,,
14,1814,,,,,,
15,1815,,,,,,
16,1816,,,,,,
17,1817,,,,,,
18,1818,,,,,,
19,1819,,,,,,
20,1820,,,,,,
21,1821,,,,,,
22,1822,,,,,,
23,1823,,,,,,
24,1824,,,,,,
25,1825,,,,,,
26,1826,,,,,,
27,1827,,,,,,
28,1828,,,,,,
29,1829,,,,,,
30,1830,,,,,,
31,1831,,,,,,
32,1832,,,,,,
33,1833,,,,,,
34,1834,,,,,,
35,1835,,,,,,
36,1836,,,,,,
37,1837,,,,,,
38,1838,,,,,,
39,1839,,,,,,
40,1840,,,,,,
41,1841,,,,,,
42,1842,,,,,,
43,1843,,,,,,
44,1844,,,,,,
45,1845,,,,,,
46,1846,,,,,,
47,1847,,,,,,
48,1848,,,,,,
49,1849,,,,,,
50,1850,,,0.52,0.51,0.53,0.51
51,1851,,,0.52,0.51,0.52,0.5
52,1852,,,0.52,0.51,0.52,0.5
53,1853,,,0.52,0.51,0.52,0.5
54,1854,,,0.52,0.5,0.51,0.5
55,1855,,,0.51,0.5,0.51,0.5
56,1856,,,0.51,0.5,0.51,0.5
57,1857,,,0.51,0.5,0.5,0.49
58,1858,,,0.51,0.5,0.5,0.49
59,1859,,,0.51,0.49,0.5,0.49
60,1860,,,0.51,0.49,0.49,0.49
61,1861,,,0.51,0.49,0.49,0.49
62,1862,,,0.51,0.49,0.49,0.48
63,1863,,,0.5,0.49,0.49,0.48
64,1864,,,0.5,0.49,0.49,0.48
65,1865,,,0.5,0.49,0.49,0.48
66,1866,,,0.5,0.49,0.49,0.48
67,1867,,,0.5,0.49,0.49,0.48
68,1868,,,0.51,0.49,0.49,0.48
69,1869,,,0.51,0.49,0.5,0.49
70,1870,,,0.51,0.49,0.5,0.49
71,1871,,,0.51,0.5,0.51,0.49
72,1872,,,0.51,0.5,0.51,0.49
73,1873,,,0.52,0.5,0.51,0.49
74,1874,,,0.52,0.5,0.52,0.5
75,1875,,,0.51,0.5,0.52,0.5
76,1876,,,0.51,0.5,0.52,0.49
77,1877,,,0.51,0.5,0.51,0.49
78,1878,,,0.51,0.5,0.51,0.49
79,1879,,,0.51,0.5,0.51,0.49
80,1880,,,0.5,0.49,0.5,0.48
81,1881,,,0.5,0.49,0.5,0.48
82,1882,0.07500000000000001,-0.05,0.5,0.49,0.5,0.48
83,1883,-0.044999999999999984,-0.03,0.5,0.49,0.5,0.48
84,1884,-0.15500000000000003,-0.02,0.5,0.49,0.5,0.48
85,1885,,,0.5,0.48,0.5,0.48
86,1886,0.195,0.0,0.5,0.48,0.5,0.48
87,1887,-0.22499999999999998,0.02,0.5,0.48,0.5,0.47
88,1888,0.185,0.03,0.5,0.48,0.5,0.47
89,1889,0.125,0.05,0.5,0.48,0.5,0.48
90,1890,-0.15500000000000003,0.06,0.5,0.49,0.5,0.48
91,1891,0.03500000000000003,0.08,0.5,0.49,0.5,0.48
92,1892,-0.034999999999999976,0.1,0.51,0.5,0.51,0.49
93,1893,0.08500000000000002,0.12,0.52,0.51,0.52,0.5
94,1894,0.17500000000000002,0.13,0.53,0.51,0.53,0.5
95,1895,0.20500000000000002,0.15,0.53,0.52,0.53,0.51
96,1896,0.275,0.17,0.54,0.52,0.53,0.51
97,1897,0.255,0.19,0.54,0.53,0.54,0.52
98,1898,0.265,0.2,0.54,0.53,0.54,0.52
99,1899,0.14500000000000002,0.21,0.54,0.53,0.54,0.52
100,1900,0.325,0.21,0.55,0.53,0.54,0.52
101,1901,0.185,0.2,0.55,0.54,0.54,0.53
102,1902,0.34500000000000003,0.19,0.55,0.54,0.55,0.53
103,1903,0.20500000000000002,0.17,0.56,0.54,0.55,0.53
104,1904,0.125,0.16,0.56,0.54,0.55,0.53
105,1905,0.215,0.15,0.56,0.54,0.55,0.54
106,1906,0.17500000000000002,0.14,0.56,0.54,0.55,0.54
107,1907,-0.17500000000000004,0.13,0.56,0.54,0.55,0.54
108,1908,-0.08499999999999996,0.13,0.56,0.55,0.55,0.54
109,1909,-0.024999999999999967,0.12,0.56,0.55,0.56,0.54
110,1910,0.545,0.12,0.56,0.56,0.56,0.55
111,1911,0.265,0.12,0.57,0.56,0.57,0.55
112,1912,-0.10499999999999998,0.13,0.58,0.57,0.58,0.56
113,1913,0.09500000000000003,0.14,0.59,0.58,0.59,0.57
114,1914,0.20500000000000002,0.15,0.59,0.59,0.59,0.58
115,1915,0.545,0.16,0.6,0.59,0.6,0.59
