Somaliland,year,obs_anoms,smoothed_anoms,ssp126,ssp245,ssp370,ssp585
0,1800,,,,,,
1,1801,,,,,,
2,1802,,,,,,
3,1803,,,,,,
4,1804,,,,,,
5,1805,,,,,,
6,1806,,,,,,
7,1807,,,,,,
8,1808,,,,,,
9,1809,,,,,,
10,1810,,,,,,
11,1811,,,,,,
12,1812,,,,,,
13,1813,,,,,,
14,1814,,,,,,
15,1815,,,,,,
16,1816,,,,,,
17,1817,,,,,,
18,1818,,,,,,
19,1819,,,,,,
20,1820,,,,,,
21,1821,,,,,,
22,1822,,,,,,
23,1823,,,,,,
24,1824,,,,,,
25,1825,,,,,,
26,1826,,,,,,
27,1827,,,,,,
28,1828,,,,,,
29,1829,,,,,,
30,1830,,,,,,
31,1831,,,,,,
32,1832,,,,,,
33,1833,,,,,,
34,1834,,,,,,
35,1835,,,,,,
36,1836,,,,,,
37,1837,,,,,,
38,1838,,,,,,
39,1839,,,,,,
40,1840,,,,,,
41,1841,,,,,,
42,1842,,,,,,
43,1843,,,,,,
44,1844,,,,,,
45,1845,,,,,,
46,1846,,,,,,
47,1847,,,,,,
48,1848,,,,,,
49,1849,,,,,,
50,1850,,,0.32,0.31,0.33,0.29
51,1851,,,0.32,0.31,0.32,0.29
52,1852,,,0.32,0.3,0.32,0.29
53,1853,,,0.32,0.3,0.31,0.28
54,1854,,,0.32,0.3,0.31,0.28
55,1855,,,0.31,0.3,0.3,0.28
56,1856,,,0.31,0.29,0.3,0.28
57,1857,,,0.31,0.29,0.3,0.28
58,1858,,,0.31,0.29,0.29,0.28
59,1859,,,0.31,0.29,0.29,0.27
60,1860,,,0.31,0.29,0.29,0.27
61,1861,,,0.31,0.29,0.28,0.27
62,1862,,,0.31,0.28,0.28,0.27
63,1863,,,0.3,0.28,0.28,0.27
64,1864,,,0.3,0.28,0.27,0.26
65,1865,,,0.3,0.27,0.27,0.26
66,1866,,,0.3,0.27,0.27,0.26
67,1867,,,0.3,0.27,0.27,0.26
68,1868,,,0.29,0.27,0.27,0.25
69,1869,,,0.29,0.27,0.27,0.26
70,1870,,,0.29,0.27,0.28,0.26
71,1871,,,0.29,0.27,0.28,0.26
72,1872,,,0.29,0.27,0.28,0.26
73,1873,,,0.29,0.27,0.28,0.26
74,1874,,,0.29,0.27,0.28,0.26
75,1875,,,0.29,0.27,0.28,0.26
76,1876,,,0.29,0.27,0.28,0.25
77,1877,,,0.28,0.27,0.28,0.25
78,1878,,,0.28,0.26,0.27,0.24
79,1879,,,0.27,0.26,0.27,0.24
80,1880,,,0.27,0.25,0.26,0.23
81,1881,,,0.26,0.25,0.26,0.23
82,1882,0.06750000000000003,-0.04,0.26,0.25,0.25,0.23
83,1883,-0.052499999999999936,-0.03,0.26,0.24,0.25,0.22
84,1884,-0.15249999999999997,-0.02,0.26,0.24,0.25,0.22
85,1885,,,0.25,0.24,0.25,0.22
86,1886,0.22750000000000004,0.01,0.25,0.24,0.24,0.22
87,1887,-0.2425,0.02,0.25,0.24,0.24,0.21
88,1888,0.22750000000000004,0.04,0.25,0.24,0.24,0.21
89,1889,0.08750000000000005,0.05,0.25,0.24,0.24,0.21
90,1890,-0.16249999999999998,0.06,0.25,0.24,0.24,0.22
91,1891,0.08750000000000005,0.08,0.26,0.24,0.25,0.22
92,1892,-0.04249999999999998,0.09,0.27,0.25,0.26,0.23
93,1893,0.12750000000000003,0.11,0.28,0.26,0.27,0.24
94,1894,0.19750000000000004,0.12,0.28,0.27,0.28,0.25
95,1895,0.18750000000000006,0.14,0.29,0.27,0.28,0.25
96,1896,0.26750000000000007,0.15,0.29,0.27,0.29,0.25
97,1897,0.22750000000000004,0.16,0.29,0.27,0.29,0.25
98,1898,0.13750000000000004,0.17,0.3,0.28,0.29,0.26
99,1899,0.07750000000000004,0.18,0.3,0.28,0.3,0.26
100,1900,0.25750000000000006,0.18,0.3,0.28,0.3,0.26
101,1901,0.16750000000000004,0.17,0.31,0.29,0.31,0.26
102,1902,0.34750000000000003,0.16,0.31,0.29,0.31,0.27
103,1903,0.017500000000000016,0.15,0.31,0.29,0.31,0.27
104,1904,0.18750000000000006,0.14,0.31,0.3,0.32,0.27
105,1905,0.23750000000000004,0.13,0.31,0.3,0.31,0.27
106,1906,0.22750000000000004,0.13,0.31,0.3,0.31,0.27
107,1907,-0.18249999999999994,0.12,0.31,0.3,0.31,0.27
108,1908,-0.23249999999999998,0.11,0.32,0.3,0.31,0.28
109,1909,0.04750000000000004,0.11,0.32,0.31,0.32,0.28
110,1910,0.6175,0.1,0.33,0.31,0.33,0.29
111,1911,0.3975000000000001,0.1,0.34,0.32,0.33,0.3
112,1912,-0.062499999999999944,0.1,0.35,0.33,0.34,0.31
113,1913,-0.07249999999999995,0.11,0.36,0.34,0.35,0.32
