Spain,year,obs_anoms,smoothed_anoms,ssp126,ssp245,ssp370,ssp585
0,1800,0.2964516129032258,0.42,,,,
1,1801,0.24645161290322581,0.33,,,,
2,1802,0.26645161290322583,0.24,,,,
3,1803,0.09645161290322582,0.14,,,,
4,1804,0.6764516129032259,0.05,,,,
5,1805,-0.16354838709677416,-0.04,,,,
6,1806,0.2564516129032258,-0.13,,,,
7,1807,-0.1435483870967742,-0.22,,,,
8,1808,-0.8335483870967741,-0.31,,,,
9,1809,-0.6835483870967742,-0.4,,,,
10,1810,-0.8635483870967742,-0.47,,,,
11,1811,-0.17354838709677417,-0.51,,,,
12,1812,-0.6435483870967742,-0.54,,,,
13,1813,-0.7435483870967743,-0.54,,,,
14,1814,-1.1235483870967742,-0.52,,,,
15,1815,-0.7235483870967743,-0.48,,,,
16,1816,-1.2335483870967743,-0.43,,,,
17,1817,-0.17354838709677417,-0.37,,,,
18,1818,0.22645161290322582,-0.31,,,,
19,1819,-0.15354838709677415,-0.26,,,,
20,1820,-0.4835483870967742,-0.19,,,,
21,1821,0.26645161290322583,-0.13,,,,
22,1822,0.4264516129032258,-0.08,,,,
23,1823,-0.3135483870967742,-0.04,,,,
24,1824,0.02645161290322584,-0.02,,,,
25,1825,0.18645161290322582,-0.01,,,,
26,1826,-0.003548387096774186,-0.0,,,,
27,1827,-0.24354838709677423,0.0,,,,
28,1828,0.41645161290322585,-0.0,,,,
29,1829,-0.5835483870967741,-0.02,,,,
30,1830,-0.023548387096774204,-0.04,,,,
31,1831,0.5064516129032258,-0.06,,,,
32,1832,-0.12354838709677418,-0.08,,,,
33,1833,-0.18354838709677418,-0.1,,,,
34,1834,0.6264516129032258,-0.12,,,,
35,1835,-0.4335483870967742,-0.13,,,,
36,1836,-0.3135483870967742,-0.14,,,,
37,1837,-0.38354838709677413,-0.16,,,,
38,1838,-0.16354838709677416,-0.17,,,,
39,1839,-0.18354838709677418,-0.18,,,,
40,1840,-0.27354838709677415,-0.18,,,,
41,1841,-0.17354838709677417,-0.17,,,,
42,1842,-0.07354838709677419,-0.15,,,,
43,1843,0.016451612903225832,-0.14,,,,
44,1844,-0.28354838709677416,-0.12,,,,
45,1845,-0.5635483870967741,-0.12,,,,
46,1846,0.7464516129032258,-0.12,,,,
47,1847,0.18645161290322582,-0.12,,,,
48,1848,-0.25354838709677413,-0.13,,,,
49,1849,0.06645161290322582,-0.14,,,,
50,1850,-0.1435483870967742,-0.14,0.49,0.46,0.49,0.46
51,1851,-0.41354838709677416,-0.14,0.49,0.45,0.49,0.46
52,1852,0.3464516129032258,-0.14,0.48,0.45,0.48,0.45
53,1853,-0.8735483870967742,-0.13,0.47,0.44,0.47,0.44
54,1854,-0.28354838709677416,-0.12,0.47,0.44,0.46,0.44
55,1855,-0.7735483870967743,-0.11,0.46,0.43,0.46,0.43
56,1856,0.19645161290322583,-0.09,0.46,0.43,0.45,0.43
57,1857,-0.23354838709677422,-0.08,0.45,0.42,0.44,0.42
58,1858,0.2564516129032258,-0.05,0.44,0.42,0.44,0.42
59,1859,0.20645161290322583,-0.02,0.44,0.41,0.43,0.41
60,1860,-0.3135483870967742,0.01,0.43,0.4,0.42,0.41
61,1861,0.3764516129032258,0.05,0.43,0.4,0.42,0.4
62,1862,0.12645161290322582,0.08,0.42,0.4,0.41,0.4
63,1863,0.036451612903225794,0.11,0.42,0.4,0.41,0.4
64,1864,-0.023548387096774204,0.12,0.42,0.4,0.41,0.4
65,1865,0.036451612903225794,0.11,0.42,0.4,0.41,0.4
66,1866,0.20645161290322583,0.11,0.43,0.4,0.41,0.4
67,1867,0.3164516129032258,0.1,0.43,0.4,0.42,0.4
68,1868,0.3864516129032258,0.09,0.43,0.4,0.42,0.4
69,1869,0.08645161290322581,0.09,0.43,0.41,0.42,0.41
70,1870,0.22645161290322582,0.1,0.44,0.41,0.43,0.41
71,1871,-0.27354838709677415,0.1,0.44,0.41,0.43,0.41
72,1872,-0.1435483870967742,0.1,0.44,0.41,0.43,0.41
73,1873,-0.16354838709677416,0.1,0.44,0.41,0.43,0.41
74,1874,0.1464516129032258,0.08,0.44,0.41,0.43,0.41
75,1875,0.10645161290322583,0.07,0.44,0.41,0.42,0.4
76,1876,0.3564516129032258,0.04,0.43,0.4,0.42,0.4
77,1877,0.3764516129032258,0.01,0.42,0.39,0.41,0.39
78,1878,0.2964516129032258,-0.03,0.41,0.38,0.4,0.38
79,1879,-0.3535483870967742,-0.07,0.4,0.37,0.38,0.36
80,1880,-0.09354838709677415,-0.12,0.38,0.35,0.37,0.35
81,1881,0.5864516129032258,-0.18,0.36,0.33,0.35,0.33
82,1882,-0.17354838709677417,-0.25,0.35,0.32,0.33,0.31
83,1883,-0.6735483870967742,-0.33,0.33,0.3,0.31,0.29
84,1884,-0.5535483870967741,-0.4,0.31,0.28,0.29,0.28
85,1885,-0.7035483870967743,-0.45,0.3,0.27,0.28,0.26
86,1886,-0.42354838709677417,-0.48,0.29,0.26,0.27,0.25
87,1887,-0.6035483870967742,-0.49,0.28,0.26,0.26,0.25
88,1888,-0.7135483870967743,-0.48,0.28,0.25,0.26,0.24
89,1889,-0.9335483870967742,-0.44,0.28,0.25,0.26,0.24
90,1890,-0.8235483870967741,-0.39,0.28,0.26,0.27,0.25
91,1891,-0.6235483870967742,-0.32,0.28,0.26,0.27,0.25
92,1892,-0.07354838709677419,-0.24,0.29,0.27,0.28,0.26
93,1893,0.6264516129032258,-0.16,0.3,0.28,0.29,0.27
94,1894,-0.24354838709677423,-0.1,0.31,0.29,0.31,0.28
95,1895,0.6264516129032258,-0.05,0.32,0.3,0.32,0.29
96,1896,-0.4835483870967742,-0.0,0.33,0.31,0.33,0.3
97,1897,0.8264516129032258,0.04,0.34,0.32,0.34,0.31
98,1898,0.33645161290322584,0.06,0.35,0.32,0.34,0.32
99,1899,1.2564516129032257,0.08,0.35,0.33,0.35,0.32
100,1900,0.33645161290322584,0.08,0.36,0.33,0.36,0.33
101,1901,-0.5035483870967741,0.06,0.36,0.34,0.36,0.33
102,1902,-0.1935483870967742,0.04,0.36,0.33,0.36,0.33
103,1903,-0.1335483870967742,0.02,0.36,0.33,0.36,0.33
104,1904,0.5364516129032258,-0.01,0.35,0.33,0.35,0.33
105,1905,-0.40354838709677415,-0.04,0.34,0.32,0.35,0.32
106,1906,-0.013548387096774195,-0.06,0.34,0.32,0.34,0.32
107,1907,-0.10354838709677416,-0.07,0.33,0.31,0.33,0.31
108,1908,0.2564516129032258,-0.07,0.33,0.31,0.33,0.31
109,1909,-0.39354838709677414,-0.06,0.32,0.31,0.33,0.3
110,1910,-0.3335483870967742,-0.06,0.33,0.31,0.33,0.31
111,1911,0.07645161290322583,-0.06,0.33,0.31,0.33,0.31
112,1912,-0.18354838709677418,-0.06,0.34,0.32,0.33,0.32
113,1913,0.1464516129032258,-0.04,0.34,0.33,0.34,0.32
114,1914,0.036451612903225794,-0.02,0.35,0.34,0.35,0.33
115,1915,0.11645161290322581,0.0,0.36,0.34,0.36,0.34
116,1916,0.016451612903225832,0.03,0.37,0.35,0.37,0.35
117,1917,-0.5435483870967741,0.06,0.38,0.36,0.38,0.36
118,1918,-0.043548387096774166,0.09,0.38,0.37,0.39,0.36
119,1919,-0.06354838709677418,0.11,0.39,0.38,0.4,0.37
120,1920,0.5964516129032258,0.14,0.41,0.4,0.41,0.39
121,1921,0.5364516129032258,0.18,0.42,0.41,0.43,0.4
122,1922,0.10645161290322583,0.22,0.44,0.42,0.44,0.41
123,1923,0.07645161290322583,0.26,0.45,0.43,0.46,0.42
124,1924,0.3664516129032258,0.29,0.46,0.44,0.47,0.43
125,1925,-0.5235483870967741,0.32,0.47,0.45,0.48,0.44
126,1926,0.8464516129032258,0.33,0.47,0.46,0.48,0.44
