Sudan,year,obs_anoms,smoothed_anoms,ssp126,ssp245,ssp370,ssp585
0,1800,,,,,,
1,1801,,,,,,
2,1802,,,,,,
3,1803,,,,,,
4,1804,,,,,,
5,1805,,,,,,
6,1806,,,,,,
7,1807,,,,,,
8,1808,,,,,,
9,1809,,,,,,
10,1810,,,,,,
11,1811,,,,,,
12,1812,,,,,,
13,1813,,,,,,
14,1814,,,,,,
15,1815,,,,,,
16,1816,,,,,,
17,1817,,,,,,
18,1818,,,,,,
19,1819,,,,,,
20,1820,,,,,,
21,1821,,,,,,
22,1822,,,,,,
23,1823,,,,,,
24,1824,,,,,,
25,1825,,,,,,
26,1826,,,,,,
27,1827,,,,,,
28,1828,,,,,,
29,1829,,,,,,
30,1830,,,,,,
31,1831,,,,,,
32,1832,,,,,,
33,1833,,,,,,
34,1834,,,,,,
35,1835,,,,,,
36,1836,,,,,,
37,1837,,,,,,
38,1838,,,,,,
39,1839,,,,,,
40,1840,,,,,,
41,1841,,,,,,
42,1842,,,,,,
43,1843,,,,,,
44,1844,,,,,,
45,1845,,,,,,
46,1846,,,,,,
47,1847,,,,,,
48,1848,,,,,,
49,1849,,,,,,
50,1850,,,-0.05,-0.06,-0.06,-0.06
51,1851,,,-0.04,-0.05,-0.06,-0.05
52,1852,,,-0.04,-0.05,-0.05,-0.05
53,1853,,,-0.04,-0.05,-0.05,-0.05
54,1854,,,-0.03,-0.04,-0.04,-0.04
55,1855,,,-0.03,-0.04,-0.04,-0.04
56,1856,,,-0.03,-0.03,-0.03,-0.04
57,1857,,,-0.02,-0.03,-0.03,-0.03
58,1858,-0.09909090909090912,-0.08,-0.02,-0.03,-0.03,-0.03
59,1859,-0.06909090909090909,-0.06,-0.01,-0.03,-0.02,-0.03
60,1860,0.06090909090909091,-0.04,-0.01,-0.02,-0.02,-0.02
61,1861,-0.32909090909090905,-0.02,-0.01,-0.02,-0.01,-0.02
62,1862,-0.7890909090909091,-0.01,-0.0,-0.02,-0.01,-0.02
63,1863,,,-0.0,-0.02,-0.01,-0.02
64,1864,0.2209090909090909,0.01,-0.0,-0.02,-0.01,-0.02
65,1865,0.2309090909090909,0.02,-0.01,-0.02,-0.01,-0.02
66,1866,0.2909090909090909,0.03,-0.01,-0.02,-0.01,-0.02
67,1867,0.4109090909090909,0.05,-0.01,-0.02,-0.01,-0.02
68,1868,-0.1390909090909091,0.06,-0.0,-0.02,-0.01,-0.02
69,1869,0.3109090909090909,0.06,-0.0,-0.02,-0.01,-0.02
70,1870,0.07090909090909092,0.05,0.0,-0.01,-0.0,-0.01
71,1871,-0.31909090909090915,0.03,0.01,-0.01,0.0,-0.0
72,1872,-0.21909090909090906,0.02,0.01,-0.0,0.01,0.0
73,1873,0.12090909090909091,0.01,0.02,0.0,0.02,0.01
74,1874,0.010909090909090924,0.01,0.02,0.01,0.02,0.01
75,1875,-0.6190909090909091,0.01,0.02,0.01,0.03,0.02
76,1876,-0.15909090909090912,0.01,0.03,0.01,0.03,0.02
77,1877,0.3109090909090909,-0.0,0.03,0.02,0.03,0.02
78,1878,0.6609090909090909,-0.01,0.03,0.01,0.03,0.02
79,1879,-0.049090909090909074,-0.02,0.02,0.01,0.03,0.01
80,1880,0.09090909090909088,-0.03,0.02,-0.0,0.02,0.0
81,1881,0.4209090909090909,-0.04,0.01,-0.01,0.01,-0.0
82,1882,-0.17909090909090913,-0.05,0.01,-0.01,0.01,-0.01
83,1883,-0.1390909090909091,-0.06,0.0,-0.01,0.0,-0.01
84,1884,-0.43909090909090914,-0.07,-0.0,-0.02,-0.0,-0.02
85,1885,-0.19909090909090915,-0.09,-0.01,-0.02,-0.01,-0.02
86,1886,-0.34909090909090906,-0.1,-0.01,-0.03,-0.01,-0.03
87,1887,-0.21909090909090906,-0.11,-0.02,-0.03,-0.02,-0.03
88,1888,0.040909090909090895,-0.11,-0.02,-0.04,-0.02,-0.04
89,1889,0.1409090909090909,-0.11,-0.03,-0.04,-0.03,-0.04
90,1890,-0.1290909090909091,-0.09,-0.03,-0.04,-0.03,-0.04
91,1891,0.050909090909090904,-0.07,-0.02,-0.04,-0.03,-0.04
92,1892,-0.08909090909090911,-0.05,-0.02,-0.03,-0.02,-0.03
93,1893,-0.2890909090909091,-0.03,-0.01,-0.02,-0.01,-0.02
94,1894,0.08090909090909087,-0.01,-0.0,-0.02,-0.01,-0.02
95,1895,-0.02909090909090911,0.01,0.0,-0.01,0.0,-0.01
96,1896,0.08090909090909087,0.02,0.0,-0.01,0.0,-0.01
97,1897,-0.16909090909090913,0.02,0.0,-0.01,0.0,-0.01
98,1898,0.0009090909090909149,0.01,0.0,-0.01,0.0,-0.01
99,1899,0.2009090909090909,0.0,0.0,-0.01,0.0,-0.01
100,1900,0.3009090909090909,-0.01,0.0,-0.01,0.0,-0.01
