The Gambia,year,obs_anoms,smoothed_anoms,ssp126,ssp245,ssp370,ssp585
0,1800,,,,,,
1,1801,,,,,,
2,1802,,,,,,
3,1803,,,,,,
4,1804,,,,,,
5,1805,,,,,,
6,1806,,,,,,
7,1807,,,,,,
8,1808,,,,,,
9,1809,,,,,,
10,1810,,,,,,
11,1811,,,,,,
12,1812,,,,,,
13,1813,,,,,,
14,1814,,,,,,
15,1815,,,,,,
16,1816,,,,,,
17,1817,,,,,,
18,1818,,,,,,
19,1819,,,,,,
20,1820,,,,,,
21,1821,,,,,,
22,1822,,,,,,
23,1823,,,,,,
24,1824,,,,,,
25,1825,,,,,,
26,1826,,,,,,
27,1827,,,,,,
28,1828,,,,,,
29,1829,,,,,,
30,1830,,,,,,
31,1831,,,,,,
32,1832,,,,,,
33,1833,,,,,,
34,1834,,,,,,
35,1835,,,,,,
36,1836,,,,,,
37,1837,,,,,,
38,1838,,,,,,
39,1839,,,,,,
40,1840,,,,,,
41,1841,,,,,,
42,1842,,,,,,
43,1843,,,,,,
44,1844,,,,,,
45,1845,,,,,,
46,1846,,,,,,
47,1847,,,,,,
48,1848,,,,,,
49,1849,-0.28750000000000003,-0.23,,,,
50,1850,-0.2775,-0.22,0.52,0.51,0.51,0.51
51,1851,-0.15750000000000003,-0.2,0.52,0.51,0.51,0.51
52,1852,,,0.52,0.51,0.51,0.52
53,1853,,,0.52,0.52,0.51,0.52
54,1854,,,0.52,0.52,0.51,0.52
55,1855,,,0.53,0.52,0.52,0.52
56,1856,,,0.53,0.52,0.52,0.53
57,1857,,,0.53,0.53,0.52,0.53
58,1858,,,0.53,0.53,0.52,0.53
59,1859,,,0.53,0.53,0.52,0.53
60,1860,,,0.54,0.53,0.52,0.54
61,1861,,,0.54,0.53,0.53,0.54
62,1862,,,0.54,0.54,0.53,0.54
63,1863,,,0.54,0.54,0.53,0.54
64,1864,,,0.54,0.54,0.53,0.54
65,1865,0.27249999999999996,-0.01,0.54,0.54,0.53,0.54
66,1866,,,0.54,0.54,0.53,0.54
67,1867,,,0.54,0.54,0.53,0.54
68,1868,,,0.54,0.54,0.53,0.54
69,1869,,,0.54,0.54,0.53,0.54
70,1870,,,0.54,0.54,0.54,0.55
71,1871,,,0.55,0.54,0.54,0.55
72,1872,,,0.55,0.54,0.54,0.55
73,1873,,,0.55,0.54,0.54,0.55
74,1874,-0.2375,0.11,0.55,0.54,0.55,0.55
75,1875,-0.31750000000000006,0.1,0.55,0.54,0.55,0.55
76,1876,0.31249999999999994,0.09,0.55,0.54,0.54,0.55
77,1877,0.18249999999999997,0.08,0.54,0.54,0.54,0.54
78,1878,0.44249999999999995,0.08,0.54,0.53,0.53,0.54
79,1879,0.052499999999999936,0.07,0.54,0.53,0.53,0.53
80,1880,0.17249999999999996,0.06,0.53,0.52,0.52,0.53
81,1881,,,0.53,0.52,0.51,0.52
82,1882,0.36249999999999993,0.04,0.53,0.51,0.51,0.52
83,1883,,,0.52,0.51,0.5,0.52
84,1884,-0.04750000000000004,-0.0,0.52,0.51,0.5,0.51
85,1885,-0.3575,-0.02,0.52,0.51,0.49,0.51
86,1886,-0.19750000000000006,-0.03,0.51,0.5,0.49,0.51
87,1887,-0.12750000000000006,-0.03,0.51,0.5,0.49,0.5
88,1888,0.09249999999999997,-0.01,0.51,0.5,0.49,0.5
89,1889,-0.3875,0.02,0.51,0.5,0.49,0.5
90,1890,-0.21750000000000008,0.06,0.51,0.5,0.49,0.5
91,1891,0.3525,0.11,0.51,0.5,0.49,0.51
92,1892,0.6824999999999999,0.16,0.52,0.51,0.5,0.51
93,1893,0.7024999999999999,0.21,0.53,0.52,0.51,0.52
94,1894,-0.09750000000000003,0.26,0.53,0.53,0.52,0.53
95,1895,-0.21750000000000008,0.3,0.54,0.54,0.53,0.53
96,1896,0.5325,0.32,0.55,0.54,0.54,0.54
97,1897,0.6525,0.33,0.55,0.55,0.55,0.54
98,1898,-0.04750000000000004,0.32,0.55,0.55,0.55,0.55
99,1899,0.6125,0.3,0.56,0.55,0.55,0.55
100,1900,0.26249999999999996,0.29,0.56,0.55,0.56,0.55
101,1901,0.46249999999999997,0.26,0.56,0.56,0.56,0.55
102,1902,0.5325,0.22,0.56,0.56,0.56,0.55
103,1903,0.09249999999999997,0.17,0.56,0.56,0.56,0.55
104,1904,-0.40750000000000003,0.12,0.56,0.56,0.56,0.55
105,1905,-0.027500000000000024,0.08,0.56,0.56,0.56,0.55
106,1906,0.33249999999999996,0.04,0.56,0.56,0.56,0.55
107,1907,-0.21750000000000008,0.01,0.55,0.56,0.56,0.55
108,1908,-0.1375,-0.0,0.55,0.56,0.56,0.55
109,1909,-0.1375,0.01,0.56,0.56,0.56,0.55
110,1910,0.10249999999999995,0.03,0.56,0.56,0.56,0.56
