Togo,year,obs_anoms,smoothed_anoms,ssp126,ssp245,ssp370,ssp585
0,1800,,,,,,
1,1801,,,,,,
2,1802,,,,,,
3,1803,,,,,,
4,1804,,,,,,
5,1805,,,,,,
6,1806,,,,,,
7,1807,,,,,,
8,1808,,,,,,
9,1809,,,,,,
10,1810,,,,,,
11,1811,,,,,,
12,1812,,,,,,
13,1813,,,,,,
14,1814,,,,,,
15,1815,,,,,,
16,1816,,,,,,
17,1817,,,,,,
18,1818,,,,,,
19,1819,,,,,,
20,1820,,,,,,
21,1821,,,,,,
22,1822,,,,,,
23,1823,,,,,,
24,1824,,,,,,
25,1825,,,,,,
26,1826,,,,,,
27,1827,,,,,,
28,1828,,,,,,
29,1829,,,,,,
30,1830,,,,,,
31,1831,,,,,,
32,1832,,,,,,
33,1833,,,,,,
34,1834,,,,,,
35,1835,,,,,,
36,1836,,,,,,
37,1837,,,,,,
38,1838,,,,,,
39,1839,,,,,,
40,1840,,,,,,
41,1841,,,,,,
42,1842,,,,,,
43,1843,,,,,,
44,1844,,,,,,
45,1845,,,,,,
46,1846,,,,,,
47,1847,,,,,,
48,1848,,,,,,
49,1849,-0.3399999999999999,-0.33,,,,
50,1850,-0.38999999999999996,-0.32,0.24,0.25,0.25,0.26
51,1851,-0.21999999999999992,-0.31,0.24,0.24,0.25,0.26
52,1852,,,0.24,0.24,0.24,0.25
53,1853,,,0.23,0.24,0.24,0.25
54,1854,,,0.23,0.24,0.24,0.25
55,1855,,,0.23,0.23,0.24,0.25
56,1856,,,0.23,0.23,0.23,0.24
57,1857,,,0.23,0.23,0.23,0.24
58,1858,,,0.23,0.23,0.23,0.24
59,1859,,,0.22,0.23,0.23,0.24
60,1860,,,0.22,0.22,0.23,0.23
61,1861,,,0.22,0.22,0.23,0.23
62,1862,,,0.22,0.22,0.22,0.23
63,1863,,,0.22,0.22,0.22,0.23
64,1864,,,0.21,0.21,0.22,0.23
65,1865,,,0.21,0.21,0.22,0.22
66,1866,,,0.21,0.21,0.22,0.22
67,1867,,,0.21,0.21,0.22,0.22
68,1868,,,0.21,0.21,0.22,0.22
69,1869,,,0.21,0.21,0.23,0.23
70,1870,,,0.22,0.22,0.23,0.23
71,1871,,,0.22,0.22,0.24,0.24
72,1872,,,0.23,0.23,0.24,0.24
73,1873,,,0.23,0.23,0.25,0.25
74,1874,-0.05999999999999994,-0.16,0.23,0.23,0.25,0.25
75,1875,-0.36999999999999994,-0.12,0.23,0.24,0.25,0.25
76,1876,-0.31,-0.09,0.23,0.24,0.25,0.25
77,1877,0.20000000000000004,-0.06,0.23,0.24,0.25,0.25
78,1878,0.28,-0.03,0.23,0.23,0.24,0.24
79,1879,-0.3199999999999999,-0.0,0.22,0.23,0.24,0.24
80,1880,0.020000000000000073,0.03,0.22,0.22,0.23,0.23
81,1881,0.33000000000000007,0.05,0.22,0.22,0.23,0.23
82,1882,-0.05999999999999994,0.08,0.21,0.22,0.22,0.23
83,1883,0.27,0.1,0.21,0.21,0.22,0.22
84,1884,,,0.21,0.21,0.22,0.22
85,1885,,,0.21,0.22,0.22,0.22
86,1886,0.45000000000000007,0.1,0.21,0.22,0.22,0.22
87,1887,-0.15999999999999998,0.11,0.21,0.22,0.22,0.23
88,1888,0.14000000000000004,0.11,0.22,0.22,0.22,0.23
89,1889,0.13000000000000006,0.11,0.22,0.22,0.22,0.23
90,1890,-0.54,0.11,0.23,0.22,0.23,0.23
91,1891,-0.039999999999999925,0.09,0.23,0.23,0.24,0.24
92,1892,0.13000000000000006,0.08,0.24,0.24,0.25,0.25
93,1893,0.43000000000000005,0.06,0.26,0.25,0.26,0.26
94,1894,0.16000000000000006,0.06,0.27,0.26,0.27,0.28
95,1895,0.6000000000000001,0.05,0.28,0.27,0.28,0.28
96,1896,-0.29,0.05,0.28,0.28,0.29,0.29
97,1897,-0.09999999999999992,0.02,0.29,0.29,0.29,0.3
98,1898,-0.3199999999999999,-0.02,0.29,0.29,0.29,0.3
99,1899,0.26000000000000006,-0.08,0.29,0.29,0.3,0.3
100,1900,0.10000000000000003,-0.14,0.3,0.29,0.3,0.3
101,1901,0.050000000000000044,-0.17,0.3,0.3,0.3,0.31
102,1902,-0.27999999999999997,-0.2,0.3,0.3,0.31,0.31
103,1903,-0.7599999999999998,-0.22,0.31,0.3,0.31,0.31
104,1904,-0.8899999999999999,-0.24,0.31,0.31,0.32,0.32
105,1905,-0.36999999999999994,-0.28,0.31,0.31,0.32,0.32
106,1906,-0.11999999999999994,-0.3,0.32,0.31,0.32,0.32
107,1907,-0.4599999999999999,-0.3,0.32,0.31,0.32,0.32
108,1908,-0.14999999999999997,-0.26,0.32,0.32,0.33,0.32
109,1909,-0.29,-0.19,0.32,0.32,0.33,0.33
110,1910,-0.3,-0.12,0.33,0.32,0.33,0.33
