Tonga,year,obs_anoms,smoothed_anoms,ssp126,ssp245,ssp370,ssp585
0,1800,,,,,,
1,1801,,,,,,
2,1802,,,,,,
3,1803,,,,,,
4,1804,,,,,,
5,1805,,,,,,
6,1806,,,,,,
7,1807,,,,,,
8,1808,,,,,,
9,1809,,,,,,
10,1810,,,,,,
11,1811,,,,,,
12,1812,,,,,,
13,1813,,,,,,
14,1814,,,,,,
15,1815,,,,,,
16,1816,,,,,,
17,1817,,,,,,
18,1818,,,,,,
19,1819,,,,,,
20,1820,,,,,,
21,1821,,,,,,
22,1822,,,,,,
23,1823,,,,,,
24,1824,,,,,,
25,1825,,,,,,
26,1826,,,,,,
27,1827,,,,,,
28,1828,,,,,,
29,1829,,,,,,
30,1830,,,,,,
31,1831,,,,,,
32,1832,,,,,,
33,1833,,,,,,
34,1834,,,,,,
35,1835,,,,,,
36,1836,,,,,,
37,1837,,,,,,
38,1838,,,,,,
39,1839,,,,,,
40,1840,,,,,,
41,1841,,,,,,
42,1842,,,,,,
43,1843,,,,,,
44,1844,,,,,,
45,1845,,,,,,
46,1846,,,,,,
47,1847,,,,,,
48,1848,,,,,,
49,1849,,,,,,
50,1850,,,0.55,0.54,0.56,0.54
51,1851,,,0.56,0.54,0.57,0.55
52,1852,,,0.56,0.54,0.57,0.55
53,1853,,,0.56,0.55,0.57,0.55
54,1854,,,0.56,0.55,0.58,0.56
55,1855,,,0.57,0.55,0.58,0.56
56,1856,,,0.57,0.56,0.58,0.56
57,1857,,,0.57,0.56,0.59,0.57
58,1858,,,0.57,0.57,0.59,0.57
59,1859,,,0.58,0.57,0.6,0.58
60,1860,,,0.58,0.57,0.6,0.58
61,1861,,,0.58,0.58,0.6,0.58
62,1862,,,0.58,0.58,0.61,0.59
63,1863,,,0.59,0.58,0.61,0.59
64,1864,,,0.59,0.59,0.61,0.59
65,1865,,,0.6,0.59,0.62,0.6
66,1866,,,0.6,0.59,0.62,0.6
67,1867,0.25181818181818183,0.26,0.6,0.6,0.62,0.6
68,1868,,,0.61,0.6,0.63,0.61
69,1869,-0.05818181818181822,0.21,0.61,0.6,0.63,0.61
70,1870,,,0.61,0.61,0.63,0.61
71,1871,0.4818181818181818,0.17,0.62,0.61,0.63,0.61
72,1872,0.3318181818181818,0.15,0.62,0.61,0.63,0.61
73,1873,0.07181818181818184,0.13,0.62,0.61,0.63,0.61
74,1874,,,0.62,0.6,0.63,0.61
75,1875,,,0.62,0.6,0.62,0.61
76,1876,,,0.61,0.6,0.62,0.6
77,1877,,,0.61,0.59,0.61,0.6
78,1878,,,0.6,0.59,0.61,0.59
79,1879,,,0.59,0.58,0.6,0.58
80,1880,,,0.59,0.57,0.59,0.58
81,1881,,,0.58,0.57,0.58,0.57
82,1882,,,0.58,0.56,0.58,0.57
83,1883,-0.048181818181818215,-0.09,0.57,0.56,0.57,0.57
84,1884,-0.4481818181818181,-0.13,0.57,0.56,0.57,0.57
85,1885,-0.36818181818181817,-0.19,0.57,0.56,0.57,0.57
86,1886,-0.20818181818181813,-0.17,0.57,0.56,0.57,0.57
87,1887,-0.048181818181818215,-0.13,0.58,0.56,0.57,0.57
88,1888,,,0.58,0.56,0.58,0.57
89,1889,,,0.58,0.57,0.58,0.57
90,1890,0.04181818181818181,0.01,0.58,0.57,0.59,0.58
91,1891,-0.07818181818181813,0.05,0.59,0.58,0.59,0.58
92,1892,0.021818181818181848,0.1,0.6,0.58,0.6,0.59
93,1893,0.25181818181818183,0.15,0.6,0.59,0.61,0.6
94,1894,0.3418181818181818,0.19,0.61,0.6,0.62,0.6
95,1895,0.13181818181818183,0.21,0.62,0.61,0.63,0.61
96,1896,0.28181818181818186,0.23,0.63,0.62,0.64,0.62
97,1897,0.4818181818181818,0.23,0.64,0.62,0.64,0.63
98,1898,0.5118181818181818,0.24,0.64,0.63,0.64,0.63
99,1899,0.3718181818181818,0.22,0.65,0.63,0.65,0.64
100,1900,0.26181818181818184,0.2,0.65,0.64,0.65,0.64
101,1901,0.2318181818181818,0.17,0.65,0.64,0.65,0.65
102,1902,-0.1581818181818182,0.14,0.66,0.65,0.66,0.65
103,1903,0.12181818181818183,0.11,0.66,0.65,0.66,0.65
104,1904,-0.3181818181818181,0.08,0.66,0.65,0.66,0.65
105,1905,-0.038181818181818206,0.06,0.66,0.65,0.66,0.66
106,1906,0.17181818181818181,0.04,0.66,0.65,0.66,0.66
107,1907,-0.028181818181818197,0.03,0.66,0.65,0.66,0.66
108,1908,0.08181818181818185,0.02,0.66,0.65,0.67,0.66
109,1909,-0.24818181818181817,0.03,0.66,0.65,0.67,0.66
110,1910,0.3418181818181818,0.04,0.67,0.66,0.67,0.66
111,1911,0.14181818181818184,0.05,0.67,0.66,0.67,0.66
112,1912,0.0018181818181818299,0.06,0.67,0.66,0.68,0.66
