Turkmenistan,year,obs_anoms,smoothed_anoms,ssp126,ssp245,ssp370,ssp585
0,1800,,,,,,
1,1801,,,,,,
2,1802,,,,,,
3,1803,,,,,,
4,1804,,,,,,
5,1805,,,,,,
6,1806,,,,,,
7,1807,,,,,,
8,1808,,,,,,
9,1809,,,,,,
10,1810,,,,,,
11,1811,,,,,,
12,1812,-1.1196774193548387,-1.23,,,,
13,1813,,,,,,
14,1814,,,,,,
15,1815,,,,,,
16,1816,,,,,,
17,1817,-1.2996774193548386,-0.92,,,,
18,1818,,,,,,
19,1819,-1.0696774193548386,-0.81,,,,
20,1820,-0.7296774193548388,-0.75,,,,
21,1821,,,,,,
22,1822,,,,,,
23,1823,,,,,,
24,1824,0.31032258064516133,-0.54,,,,
25,1825,-0.4496774193548386,-0.48,,,,
26,1826,-0.2696774193548387,-0.45,,,,
27,1827,0.5303225806451614,-0.39,,,,
28,1828,-0.5996774193548386,-0.34,,,,
29,1829,-0.35967741935483866,-0.36,,,,
30,1830,0.26032258064516134,-0.41,,,,
31,1831,-0.6796774193548387,-0.47,,,,
32,1832,-1.0396774193548386,-0.53,,,,
33,1833,-0.3796774193548387,-0.59,,,,
34,1834,-0.47967741935483865,-0.65,,,,
35,1835,-0.9396774193548387,-0.69,,,,
36,1836,-0.6796774193548387,-0.71,,,,
37,1837,-0.8996774193548387,-0.72,,,,
38,1838,-1.0796774193548386,-0.7,,,,
39,1839,-0.8596774193548387,-0.68,,,,
40,1840,-0.6696774193548387,-0.64,,,,
41,1841,-0.9596774193548387,-0.6,,,,
42,1842,-0.21967741935483864,-0.56,,,,
43,1843,0.0903225806451613,-0.5,,,,
44,1844,-0.6496774193548387,-0.44,,,,
45,1845,-0.5696774193548386,-0.38,,,,
46,1846,0.08032258064516135,-0.32,,,,
47,1847,-0.2996774193548387,-0.27,,,,
48,1848,-0.6096774193548387,-0.23,,,,
49,1849,-0.07967741935483869,-0.19,,,,
50,1850,-0.3796774193548387,-0.16,0.26,0.24,0.24,0.25
51,1851,0.25032258064516133,-0.13,0.26,0.24,0.24,0.25
52,1852,-0.009677419354838679,-0.11,0.26,0.24,0.25,0.25
53,1853,-0.12967741935483867,-0.09,0.27,0.25,0.25,0.25
54,1854,-0.07967741935483869,-0.08,0.27,0.25,0.26,0.26
55,1855,0.4603225806451613,-0.1,0.27,0.25,0.26,0.26
56,1856,0.010322580645161339,-0.12,0.28,0.25,0.26,0.26
57,1857,-0.7396774193548388,-0.16,0.28,0.26,0.27,0.27
58,1858,-0.05967741935483867,-0.2,0.28,0.26,0.27,0.27
59,1859,0.3703225806451613,-0.24,0.29,0.26,0.28,0.27
60,1860,-0.33967741935483864,-0.27,0.29,0.27,0.28,0.28
61,1861,-0.7196774193548388,-0.29,0.3,0.27,0.29,0.28
62,1862,-0.9796774193548388,-0.29,0.3,0.28,0.29,0.28
63,1863,-0.13967741935483868,-0.28,0.3,0.28,0.3,0.29
64,1864,-0.5696774193548386,-0.26,0.31,0.28,0.3,0.29
65,1865,-0.23967741935483866,-0.23,0.31,0.29,0.31,0.29
66,1866,-0.36967741935483867,-0.19,0.31,0.29,0.32,0.29
67,1867,0.2903225806451613,-0.13,0.31,0.29,0.32,0.3
68,1868,-0.1596774193548387,-0.05,0.31,0.29,0.33,0.3
69,1869,0.11032258064516132,0.02,0.31,0.3,0.33,0.3
70,1870,0.22032258064516133,0.08,0.32,0.3,0.33,0.3
71,1871,-0.17967741935483872,0.14,0.32,0.3,0.34,0.3
72,1872,0.38032258064516133,0.2,0.31,0.3,0.34,0.3
73,1873,0.40032258064516135,0.25,0.31,0.3,0.34,0.3
74,1874,0.24032258064516132,0.29,0.31,0.29,0.34,0.3
75,1875,0.40032258064516135,0.31,0.3,0.29,0.34,0.29
76,1876,0.19032258064516133,0.32,0.3,0.29,0.34,0.29
77,1877,0.3703225806451613,0.31,0.29,0.28,0.34,0.28
78,1878,0.6803225806451614,0.29,0.29,0.27,0.33,0.27
79,1879,0.9703225806451613,0.25,0.28,0.26,0.32,0.26
80,1880,-0.24967741935483867,0.19,0.27,0.25,0.31,0.25
81,1881,0.5503225806451613,0.14,0.26,0.24,0.3,0.24
82,1882,-0.1496774193548387,0.08,0.25,0.23,0.28,0.23
83,1883,0.22032258064516133,0.02,0.24,0.22,0.27,0.22
84,1884,-0.35967741935483866,-0.03,0.23,0.21,0.26,0.21
85,1885,-0.2596774193548387,-0.08,0.23,0.2,0.26,0.21
86,1886,-1.0196774193548386,-0.12,0.22,0.2,0.25,0.2
87,1887,0.17032258064516131,-0.15,0.22,0.2,0.25,0.2
88,1888,1.3703225806451613,-0.16,0.22,0.2,0.25,0.2
89,1889,-0.3796774193548387,-0.17,0.21,0.19,0.24,0.19
90,1890,0.04032258064516131,-0.16,0.21,0.19,0.24,0.19
