Uganda,year,obs_anoms,smoothed_anoms,ssp126,ssp245,ssp370,ssp585
0,1800,,,,,,
1,1801,,,,,,
2,1802,,,,,,
3,1803,,,,,,
4,1804,,,,,,
5,1805,,,,,,
6,1806,,,,,,
7,1807,,,,,,
8,1808,,,,,,
9,1809,,,,,,
10,1810,,,,,,
11,1811,,,,,,
12,1812,,,,,,
13,1813,,,,,,
14,1814,,,,,,
15,1815,,,,,,
16,1816,,,,,,
17,1817,,,,,,
18,1818,,,,,,
19,1819,,,,,,
20,1820,,,,,,
21,1821,,,,,,
22,1822,,,,,,
23,1823,,,,,,
24,1824,,,,,,
25,1825,,,,,,
26,1826,,,,,,
27,1827,,,,,,
28,1828,,,,,,
29,1829,,,,,,
30,1830,,,,,,
31,1831,,,,,,
32,1832,,,,,,
33,1833,,,,,,
34,1834,,,,,,
35,1835,,,,,,
36,1836,,,,,,
37,1837,,,,,,
38,1838,,,,,,
39,1839,,,,,,
40,1840,,,,,,
41,1841,,,,,,
42,1842,,,,,,
43,1843,,,,,,
44,1844,,,,,,
45,1845,,,,,,
46,1846,,,,,,
47,1847,,,,,,
48,1848,,,,,,
49,1849,,,,,,
50,1850,,,0.24,0.28,0.3,0.29
51,1851,,,0.25,0.29,0.3,0.29
52,1852,,,0.25,0.29,0.31,0.3
53,1853,,,0.26,0.29,0.31,0.3
54,1854,,,0.27,0.3,0.31,0.31
55,1855,,,0.27,0.3,0.32,0.31
56,1856,,,0.28,0.3,0.32,0.32
57,1857,,,0.28,0.31,0.32,0.32
58,1858,,,0.29,0.31,0.33,0.32
59,1859,,,0.29,0.32,0.33,0.33
60,1860,,,0.3,0.32,0.33,0.33
61,1861,,,0.3,0.32,0.34,0.34
62,1862,,,0.31,0.33,0.34,0.34
63,1863,,,0.31,0.33,0.34,0.34
64,1864,,,0.31,0.33,0.34,0.34
65,1865,,,0.3,0.33,0.34,0.34
66,1866,,,0.3,0.33,0.34,0.34
67,1867,,,0.31,0.33,0.35,0.34
68,1868,,,0.31,0.33,0.35,0.34
69,1869,,,0.31,0.33,0.36,0.34
70,1870,,,0.31,0.33,0.36,0.35
71,1871,,,0.31,0.34,0.37,0.35
72,1872,,,0.32,0.34,0.38,0.35
73,1873,,,0.32,0.34,0.38,0.36
74,1874,,,0.32,0.35,0.39,0.36
75,1875,,,0.32,0.35,0.39,0.36
76,1876,,,0.33,0.35,0.39,0.36
77,1877,,,0.33,0.35,0.39,0.36
78,1878,,,0.33,0.35,0.39,0.36
79,1879,,,0.32,0.35,0.38,0.36
80,1880,,,0.32,0.35,0.38,0.36
81,1881,,,0.32,0.34,0.37,0.35
82,1882,0.07999999999999996,-0.06,0.32,0.34,0.37,0.35
83,1883,-0.010000000000000064,-0.05,0.31,0.34,0.36,0.35
84,1884,-0.19000000000000006,-0.04,0.31,0.34,0.36,0.35
85,1885,,,0.31,0.33,0.35,0.34
86,1886,0.019999999999999962,-0.01,0.3,0.33,0.35,0.34
87,1887,-0.19000000000000006,0.0,0.3,0.32,0.34,0.33
88,1888,0.12999999999999995,0.01,0.29,0.32,0.34,0.33
89,1889,0.2899999999999999,0.03,0.29,0.32,0.33,0.32
90,1890,-0.13,0.04,0.29,0.32,0.33,0.32
91,1891,-0.020000000000000073,0.06,0.29,0.32,0.33,0.32
92,1892,0.02999999999999997,0.08,0.3,0.32,0.34,0.33
93,1893,-0.22000000000000008,0.11,0.3,0.33,0.35,0.34
94,1894,0.21999999999999995,0.14,0.31,0.34,0.37,0.35
95,1895,0.19999999999999996,0.18,0.32,0.35,0.38,0.36
96,1896,0.12999999999999995,0.21,0.33,0.36,0.39,0.36
97,1897,0.11999999999999994,0.25,0.33,0.36,0.39,0.37
98,1898,0.35999999999999993,0.27,0.34,0.36,0.4,0.37
99,1899,0.42999999999999994,0.28,0.34,0.37,0.4,0.37
100,1900,0.6299999999999999,0.29,0.35,0.37,0.4,0.38
101,1901,1.0499999999999998,0.28,0.35,0.37,0.41,0.38
102,1902,0.4099999999999999,0.27,0.36,0.38,0.41,0.38
103,1903,0.4799999999999999,0.26,0.36,0.38,0.41,0.39
104,1904,-0.33000000000000007,0.24,0.36,0.39,0.42,0.39
105,1905,0.35999999999999993,0.22,0.37,0.39,0.42,0.39
106,1906,-0.030000000000000027,0.2,0.37,0.39,0.42,0.4
107,1907,0.10999999999999993,0.17,0.37,0.39,0.42,0.4
108,1908,0.039999999999999925,0.14,0.37,0.4,0.42,0.4
109,1909,-0.09000000000000008,0.12,0.38,0.4,0.43,0.41
110,1910,0.15999999999999992,0.11,0.39,0.41,0.43,0.41
111,1911,-0.040000000000000036,0.1,0.39,0.42,0.44,0.42
112,1912,0.15999999999999992,0.1,0.4,0.43,0.45,0.43
113,1913,0.04999999999999993,0.11,0.41,0.43,0.46,0.44
