United Arab Emirates,year,obs_anoms,smoothed_anoms,ssp126,ssp245,ssp370,ssp585
0,1800,,,,,,
1,1801,,,,,,
2,1802,,,,,,
3,1803,,,,,,
4,1804,,,,,,
5,1805,,,,,,
6,1806,,,,,,
7,1807,,,,,,
8,1808,,,,,,
9,1809,,,,,,
10,1810,,,,,,
11,1811,,,,,,
12,1812,,,,,,
13,1813,,,,,,
14,1814,,,,,,
15,1815,,,,,,
16,1816,,,,,,
17,1817,,,,,,
18,1818,,,,,,
19,1819,,,,,,
20,1820,,,,,,
21,1821,,,,,,
22,1822,,,,,,
23,1823,,,,,,
24,1824,,,,,,
25,1825,,,,,,
26,1826,,,,,,
27,1827,,,,,,
28,1828,,,,,,
29,1829,,,,,,
30,1830,,,,,,
31,1831,,,,,,
32,1832,,,,,,
33,1833,,,,,,
34,1834,,,,,,
35,1835,,,,,,
36,1836,,,,,,
37,1837,,,,,,
38,1838,,,,,,
39,1839,,,,,,
40,1840,,,,,,
41,1841,,,,,,
42,1842,,,,,,
43,1843,,,,,,
44,1844,,,,,,
45,1845,,,,,,
46,1846,,,,,,
47,1847,,,,,,
48,1848,-0.5089285714285714,-0.48,,,,
49,1849,-0.37892857142857145,-0.46,,,,
50,1850,-0.6689285714285713,-0.44,0.29,0.26,0.25,0.25
51,1851,-0.16892857142857143,-0.42,0.29,0.26,0.25,0.25
52,1852,,,0.29,0.26,0.25,0.25
53,1853,,,0.29,0.26,0.25,0.25
54,1854,,,0.29,0.26,0.25,0.25
55,1855,,,0.29,0.26,0.25,0.25
56,1856,,,0.29,0.26,0.26,0.25
57,1857,,,0.29,0.26,0.26,0.25
58,1858,,,0.29,0.26,0.26,0.26
59,1859,,,0.29,0.26,0.26,0.26
60,1860,,,0.3,0.26,0.26,0.26
61,1861,,,0.3,0.26,0.27,0.26
62,1862,-0.8989285714285713,-0.21,0.3,0.26,0.27,0.26
63,1863,,,0.3,0.26,0.27,0.26
64,1864,-0.21892857142857142,-0.15,0.3,0.26,0.26,0.26
65,1865,0.001071428571428612,-0.12,0.3,0.26,0.26,0.26
66,1866,-0.0789285714285714,-0.1,0.3,0.26,0.26,0.26
67,1867,0.22107142857142859,-0.07,0.3,0.26,0.27,0.26
68,1868,0.06107142857142858,-0.04,0.3,0.27,0.27,0.26
69,1869,0.2910714285714286,-0.02,0.3,0.27,0.27,0.27
70,1870,-0.04892857142857143,0.01,0.31,0.27,0.28,0.27
71,1871,-0.16892857142857143,0.02,0.31,0.27,0.28,0.27
72,1872,-0.17892857142857138,0.04,0.31,0.28,0.28,0.28
73,1873,0.0810714285714286,0.05,0.31,0.28,0.29,0.28
74,1874,0.031071428571428583,0.06,0.31,0.28,0.29,0.28
75,1875,-0.1489285714285714,0.07,0.31,0.28,0.29,0.28
76,1876,0.1110714285714286,0.08,0.31,0.28,0.29,0.27
77,1877,0.5710714285714287,0.08,0.31,0.28,0.29,0.27
78,1878,0.5210714285714286,0.07,0.3,0.27,0.28,0.27
79,1879,-0.0689285714285714,0.06,0.3,0.26,0.28,0.26
80,1880,0.0510714285714286,0.05,0.29,0.26,0.27,0.25
81,1881,0.5110714285714286,0.03,0.28,0.25,0.26,0.25
82,1882,-0.24892857142857144,0.01,0.28,0.25,0.25,0.24
83,1883,-0.11892857142857138,-0.0,0.27,0.24,0.25,0.23
84,1884,-0.16892857142857143,-0.02,0.27,0.24,0.25,0.23
85,1885,-0.1389285714285714,-0.03,0.27,0.24,0.24,0.23
86,1886,-0.17892857142857138,-0.03,0.26,0.23,0.24,0.22
87,1887,-0.25892857142857145,-0.02,0.26,0.23,0.24,0.22
88,1888,0.3110714285714286,-0.01,0.26,0.23,0.24,0.22
89,1889,0.3110714285714286,-0.0,0.26,0.23,0.24,0.22
90,1890,-0.1489285714285714,0.01,0.26,0.24,0.24,0.22
91,1891,0.09107142857142858,0.02,0.27,0.24,0.24,0.23
92,1892,0.15107142857142858,0.03,0.27,0.25,0.25,0.23
93,1893,0.10107142857142859,0.03,0.28,0.25,0.26,0.24
94,1894,0.001071428571428612,0.04,0.29,0.26,0.27,0.25
95,1895,-0.27892857142857136,0.05,0.3,0.27,0.28,0.26
96,1896,0.1310714285714286,0.06,0.3,0.28,0.29,0.27
97,1897,0.021071428571428574,0.07,0.31,0.28,0.29,0.27
98,1898,-0.35892857142857143,0.07,0.31,0.28,0.29,0.27
99,1899,0.22107142857142859,0.07,0.31,0.28,0.29,0.27
100,1900,0.2310714285714286,0.07,0.3,0.28,0.29,0.27
101,1901,0.3410714285714286,0.07,0.3,0.27,0.29,0.27
102,1902,0.5310714285714286,0.07,0.3,0.27,0.28,0.26
103,1903,-0.37892857142857145,0.06,0.29,0.27,0.28,0.26
104,1904,0.2310714285714286,0.05,0.29,0.26,0.27,0.25
