United Kingdom,year,obs_anoms,smoothed_anoms,ssp126,ssp245,ssp370,ssp585
0,1800,-0.11064516129032259,0.07,,,,
1,1801,0.3093548387096774,0.02,,,,
2,1802,-0.10064516129032258,-0.03,,,,
3,1803,-0.2506451612903226,-0.07,,,,
4,1804,0.10935483870967738,-0.12,,,,
5,1805,-0.3606451612903226,-0.17,,,,
6,1806,0.2993548387096774,-0.21,,,,
7,1807,-0.5206451612903227,-0.26,,,,
8,1808,-0.3906451612903226,-0.31,,,,
9,1809,-0.3906451612903226,-0.35,,,,
10,1810,-0.5206451612903227,-0.39,,,,
11,1811,0.3893548387096774,-0.4,,,,
12,1812,-0.9506451612903226,-0.4,,,,
13,1813,-0.3406451612903226,-0.4,,,,
14,1814,-1.2706451612903225,-0.37,,,,
15,1815,-0.3506451612903226,-0.34,,,,
16,1816,-1.4106451612903226,-0.3,,,,
17,1817,-0.4906451612903226,-0.26,,,,
18,1818,0.4293548387096774,-0.2,,,,
19,1819,-0.020645161290322567,-0.14,,,,
20,1820,-0.5906451612903225,-0.06,,,,
21,1821,0.2493548387096774,0.02,,,,
22,1822,0.7293548387096774,0.09,,,,
23,1823,-0.7406451612903224,0.14,,,,
24,1824,0.10935483870967738,0.18,,,,
25,1825,0.5293548387096774,0.2,,,,
26,1826,0.8193548387096774,0.22,,,,
27,1827,0.049354838709677384,0.23,,,,
28,1828,0.7893548387096774,0.23,,,,
29,1829,-1.0606451612903225,0.21,,,,
30,1830,-0.5006451612903227,0.16,,,,
31,1831,0.6193548387096774,0.11,,,,
32,1832,0.14935483870967742,0.04,,,,
33,1833,0.049354838709677384,-0.03,,,,
34,1834,1.0793548387096774,-0.1,,,,
35,1835,0.049354838709677384,-0.15,,,,
36,1836,-0.5306451612903227,-0.2,,,,
37,1837,-0.5306451612903227,-0.23,,,,
38,1838,-1.2606451612903224,-0.27,,,,
39,1839,-0.5306451612903227,-0.3,,,,
40,1840,-0.5306451612903227,-0.33,,,,
41,1841,-0.3906451612903226,-0.33,,,,
42,1842,0.1993548387096774,-0.31,,,,
43,1843,-0.020645161290322567,-0.28,,,,
44,1844,-0.5006451612903227,-0.24,,,,
45,1845,-0.7306451612903226,-0.19,,,,
46,1846,1.0793548387096774,-0.16,,,,
47,1847,0.029354838709677422,-0.13,,,,
48,1848,0.03935483870967743,-0.11,,,,
49,1849,-0.030645161290322576,-0.09,,,,
50,1850,-0.15064516129032263,-0.07,0.46,0.47,0.45,0.46
51,1851,-0.05064516129032259,-0.05,0.46,0.47,0.45,0.45
52,1852,0.5893548387096774,-0.03,0.45,0.46,0.44,0.44
