Vanuatu,year,obs_anoms,smoothed_anoms,ssp126,ssp245,ssp370,ssp585
0,1800,,,,,,
1,1801,,,,,,
2,1802,,,,,,
3,1803,,,,,,
4,1804,,,,,,
5,1805,,,,,,
6,1806,,,,,,
7,1807,,,,,,
8,1808,,,,,,
9,1809,,,,,,
10,1810,,,,,,
11,1811,,,,,,
12,1812,,,,,,
13,1813,,,,,,
14,1814,,,,,,
15,1815,,,,,,
16,1816,,,,,,
17,1817,,,,,,
18,1818,,,,,,
19,1819,,,,,,
20,1820,,,,,,
21,1821,,,,,,
22,1822,,,,,,
23,1823,,,,,,
24,1824,,,,,,
25,1825,,,,,,
26,1826,,,,,,
27,1827,,,,,,
28,1828,,,,,,
29,1829,,,,,,
30,1830,,,,,,
31,1831,,,,,,
32,1832,,,,,,
33,1833,,,,,,
34,1834,,,,,,
35,1835,,,,,,
36,1836,,,,,,
37,1837,,,,,,
38,1838,,,,,,
39,1839,,,,,,
40,1840,,,,,,
41,1841,,,,,,
42,1842,,,,,,
43,1843,,,,,,
44,1844,,,,,,
45,1845,,,,,,
46,1846,,,,,,
47,1847,,,,,,
48,1848,,,,,,
49,1849,,,,,,
50,1850,,,0.47,0.47,0.47,0.47
51,1851,,,0.47,0.47,0.48,0.47
52,1852,,,0.48,0.47,0.48,0.47
53,1853,,,0.48,0.47,0.48,0.47
54,1854,,,0.48,0.47,0.48,0.47
55,1855,,,0.48,0.47,0.49,0.48
56,1856,,,0.48,0.47,0.49,0.48
57,1857,,,0.48,0.48,0.49,0.48
58,1858,,,0.48,0.48,0.5,0.48
59,1859,,,0.49,0.48,0.5,0.48
60,1860,,,0.49,0.48,0.5,0.48
61,1861,,,0.49,0.48,0.5,0.48
62,1862,,,0.49,0.48,0.51,0.49
63,1863,,,0.49,0.49,0.51,0.49
64,1864,,,0.5,0.49,0.51,0.49
65,1865,,,0.5,0.49,0.52,0.5
66,1866,,,0.5,0.49,0.52,0.5
67,1867,0.3011111111111111,0.19,0.51,0.5,0.52,0.5
68,1868,,,0.51,0.5,0.52,0.51
69,1869,-0.018888888888888955,0.16,0.51,0.5,0.53,0.51
70,1870,,,0.51,0.5,0.53,0.51
71,1871,0.3111111111111111,0.13,0.52,0.51,0.53,0.51
72,1872,0.1111111111111111,0.11,0.52,0.51,0.53,0.51
73,1873,,,0.52,0.51,0.53,0.51
74,1874,,,0.52,0.51,0.53,0.51
75,1875,,,0.52,0.5,0.53,0.51
76,1876,,,0.52,0.5,0.53,0.51
77,1877,,,0.51,0.5,0.52,0.5
78,1878,,,0.51,0.49,0.52,0.5
79,1879,,,0.5,0.49,0.51,0.49
80,1880,,,0.49,0.48,0.5,0.48
81,1881,,,0.49,0.48,0.5,0.48
82,1882,,,0.49,0.48,0.49,0.48
83,1883,-0.26888888888888896,-0.07,0.48,0.47,0.49,0.48
84,1884,-0.2188888888888889,-0.1,0.49,0.47,0.49,0.48
85,1885,,,0.49,0.48,0.49,0.48
86,1886,0.011111111111111072,-0.13,0.49,0.48,0.49,0.48
87,1887,-0.15888888888888886,-0.1,0.49,0.48,0.5,0.48
88,1888,,,0.49,0.48,0.5,0.48
89,1889,,,0.5,0.49,0.5,0.49
90,1890,-0.06888888888888889,-0.0,0.5,0.49,0.51,0.49
91,1891,-0.028888888888888964,0.03,0.5,0.5,0.51,0.5
92,1892,0.0411111111111111,0.06,0.51,0.5,0.52,0.5
93,1893,0.36111111111111105,0.09,0.52,0.51,0.53,0.51
94,1894,0.09111111111111109,0.11,0.53,0.52,0.53,0.52
95,1895,0.1611111111111111,0.12,0.53,0.53,0.54,0.53
96,1896,0.03111111111111109,0.13,0.54,0.53,0.55,0.53
97,1897,0.4411111111111111,0.12,0.54,0.54,0.55,0.54
98,1898,0.3411111111111111,0.13,0.55,0.54,0.56,0.54
99,1899,0.011111111111111072,0.11,0.55,0.55,0.56,0.54
100,1900,-0.018888888888888955,0.09,0.55,0.55,0.56,0.54
101,1901,0.5411111111111111,0.07,0.55,0.55,0.57,0.55
102,1902,-0.2188888888888889,0.06,0.56,0.55,0.57,0.55
103,1903,0.20111111111111107,0.06,0.56,0.56,0.57,0.55
104,1904,-0.3088888888888889,0.06,0.56,0.56,0.57,0.55
105,1905,-0.18888888888888888,0.07,0.56,0.56,0.57,0.55
106,1906,-0.14888888888888896,0.07,0.56,0.56,0.57,0.55
107,1907,0.38111111111111107,0.09,0.56,0.56,0.57,0.56
108,1908,0.4111111111111111,0.11,0.56,0.56,0.57,0.56
109,1909,-0.5988888888888888,0.14,0.56,0.56,0.57,0.56
110,1910,0.13111111111111107,0.17,0.57,0.56,0.57,0.56
111,1911,0.3011111111111111,0.2,0.57,0.56,0.58,0.56
112,1912,0.1811111111111111,0.22,0.57,0.56,0.58,0.57
113,1913,0.1711111111111111,0.23,0.57,0.57,0.58,0.57
