Yemen,year,obs_anoms,smoothed_anoms,ssp126,ssp245,ssp370,ssp585
0,1800,,,,,,
1,1801,,,,,,
2,1802,,,,,,
3,1803,,,,,,
4,1804,,,,,,
5,1805,,,,,,
6,1806,,,,,,
7,1807,,,,,,
8,1808,,,,,,
9,1809,,,,,,
10,1810,,,,,,
11,1811,,,,,,
12,1812,,,,,,
13,1813,,,,,,
14,1814,,,,,,
15,1815,,,,,,
16,1816,,,,,,
17,1817,,,,,,
18,1818,,,,,,
19,1819,,,,,,
20,1820,,,,,,
21,1821,,,,,,
22,1822,,,,,,
23,1823,,,,,,
24,1824,,,,,,
25,1825,,,,,,
26,1826,,,,,,
27,1827,,,,,,
28,1828,,,,,,
29,1829,,,,,,
30,1830,,,,,,
31,1831,,,,,,
32,1832,,,,,,
33,1833,,,,,,
34,1834,,,,,,
35,1835,,,,,,
36,1836,,,,,,
37,1837,,,,,,
38,1838,,,,,,
39,1839,,,,,,
40,1840,,,,,,
41,1841,,,,,,
42,1842,,,,,,
43,1843,,,,,,
44,1844,,,,,,
45,1845,,,,,,
46,1846,,,,,,
47,1847,,,,,,
48,1848,,,,,,
49,1849,,,,,,
50,1850,,,0.21,0.2,0.21,0.18
51,1851,,,0.21,0.2,0.21,0.17
52,1852,,,0.21,0.2,0.2,0.17
53,1853,,,0.21,0.19,0.2,0.17
54,1854,,,0.2,0.19,0.2,0.17
55,1855,,,0.2,0.19,0.19,0.16
56,1856,,,0.2,0.18,0.19,0.16
57,1857,,,0.2,0.18,0.18,0.16
58,1858,,,0.2,0.18,0.18,0.16
59,1859,,,0.2,0.17,0.18,0.16
60,1860,,,0.19,0.17,0.18,0.15
61,1861,,,0.19,0.17,0.17,0.15
62,1862,,,0.19,0.16,0.17,0.15
63,1863,,,0.19,0.16,0.17,0.14
64,1864,,,0.18,0.16,0.16,0.14
65,1865,,,0.18,0.15,0.16,0.14
66,1866,,,0.18,0.15,0.16,0.14
67,1867,,,0.18,0.15,0.16,0.13
68,1868,,,0.18,0.15,0.16,0.13
69,1869,0.3019999999999999,0.07,0.18,0.15,0.16,0.13
70,1870,,,0.18,0.15,0.16,0.14
71,1871,,,0.18,0.16,0.17,0.14
72,1872,-0.29800000000000015,0.06,0.18,0.16,0.17,0.14
73,1873,0.0819999999999999,0.05,0.18,0.16,0.17,0.14
74,1874,-0.008000000000000118,0.04,0.18,0.16,0.18,0.14
75,1875,-0.6680000000000001,0.03,0.18,0.16,0.18,0.14
76,1876,-0.06800000000000012,0.02,0.18,0.16,0.18,0.14
77,1877,0.42199999999999993,0.01,0.18,0.16,0.18,0.14
78,1878,0.6119999999999999,0.01,0.18,0.16,0.17,0.14
79,1879,-0.08800000000000008,0.01,0.17,0.15,0.17,0.13
80,1880,-0.05800000000000011,0.01,0.17,0.15,0.16,0.13
81,1881,0.5019999999999999,0.01,0.16,0.14,0.16,0.12
82,1882,-0.09800000000000009,0.0,0.16,0.14,0.15,0.12
83,1883,-0.15800000000000008,-0.01,0.16,0.14,0.15,0.11
84,1884,-0.20800000000000007,-0.02,0.15,0.13,0.14,0.11
85,1885,0.0019999999999998908,-0.03,0.15,0.13,0.14,0.11
86,1886,0.0419999999999999,-0.04,0.14,0.13,0.14,0.1
87,1887,-0.3580000000000001,-0.03,0.14,0.12,0.13,0.1
88,1888,0.2119999999999999,-0.03,0.14,0.12,0.13,0.1
89,1889,0.12199999999999989,-0.02,0.14,0.12,0.13,0.1
90,1890,-0.28800000000000014,-0.01,0.14,0.12,0.13,0.1
91,1891,0.12199999999999989,-0.0,0.14,0.12,0.13,0.1
92,1892,-0.08800000000000008,-0.0,0.15,0.13,0.14,0.11
93,1893,0.1419999999999999,-0.0,0.16,0.14,0.15,0.12
94,1894,0.06199999999999989,-0.0,0.16,0.15,0.16,0.12
95,1895,-0.1180000000000001,0.0,0.17,0.15,0.17,0.13
96,1896,0.0819999999999999,0.01,0.17,0.16,0.18,0.13
97,1897,0.0019999999999998908,0.02,0.18,0.16,0.18,0.14
98,1898,-0.1780000000000001,0.02,0.18,0.16,0.19,0.14
99,1899,-0.1080000000000001,0.02,0.18,0.16,0.19,0.14
100,1900,0.1719999999999999,0.02,0.18,0.17,0.2,0.14
101,1901,0.1419999999999999,0.01,0.19,0.17,0.2,0.15
102,1902,0.3619999999999999,0.01,0.19,0.18,0.21,0.15
103,1903,-0.2480000000000001,0.01,0.2,0.18,0.21,0.15
104,1904,0.1019999999999999,0.01,0.2,0.18,0.21,0.16
105,1905,-0.09800000000000009,0.0,0.2,0.18,0.21,0.16
106,1906,0.1119999999999999,-0.01,0.2,0.18,0.21,0.16
107,1907,-0.2380000000000001,-0.02,0.2,0.18,0.21,0.16
108,1908,-0.1780000000000001,-0.03,0.2,0.19,0.22,0.16
109,1909,0.1719999999999999,-0.04,0.21,0.19,0.22,0.17
