Zambia,year,obs_anoms,smoothed_anoms,ssp126,ssp245,ssp370,ssp585
0,1800,,,,,,
1,1801,,,,,,
2,1802,,,,,,
3,1803,,,,,,
4,1804,,,,,,
5,1805,,,,,,
6,1806,,,,,,
7,1807,,,,,,
8,1808,,,,,,
9,1809,,,,,,
10,1810,,,,,,
11,1811,,,,,,
12,1812,,,,,,
13,1813,,,,,,
14,1814,,,,,,
15,1815,,,,,,
16,1816,,,,,,
17,1817,,,,,,
18,1818,,,,,,
19,1819,,,,,,
20,1820,,,,,,
21,1821,,,,,,
22,1822,,,,,,
23,1823,,,,,,
24,1824,,,,,,
25,1825,,,,,,
26,1826,,,,,,
27,1827,,,,,,
28,1828,,,,,,
29,1829,,,,,,
30,1830,,,,,,
31,1831,,,,,,
32,1832,,,,,,
33,1833,,,,,,
34,1834,,,,,,
35,1835,,,,,,
36,1836,,,,,,
37,1837,,,,,,
38,1838,,,,,,
39,1839,,,,,,
40,1840,,,,,,
41,1841,,,,,,
42,1842,,,,,,
43,1843,,,,,,
44,1844,,,,,,
45,1845,,,,,,
46,1846,,,,,,
47,1847,,,,,,
48,1848,,,,,,
49,1849,,,,,,
50,1850,,,0.14,0.15,0.16,0.14
51,1851,,,0.14,0.15,0.16,0.14
52,1852,,,0.14,0.15,0.16,0.14
53,1853,,,0.14,0.15,0.15,0.14
54,1854,,,0.14,0.15,0.15,0.14
55,1855,,,0.14,0.14,0.15,0.13
56,1856,,,0.13,0.14,0.15,0.13
57,1857,-0.36478260869565216,-0.22,0.13,0.14,0.15,0.13
58,1858,0.005217391304347785,-0.19,0.13,0.14,0.14,0.13
59,1859,0.1552173913043478,-0.16,0.13,0.14,0.14,0.13
60,1860,-0.20478260869565224,-0.13,0.13,0.14,0.14,0.13
61,1861,-0.2947826086956522,-0.1,0.13,0.14,0.14,0.13
62,1862,-0.5647826086956522,-0.07,0.13,0.13,0.14,0.13
63,1863,-0.06478260869565222,-0.05,0.13,0.13,0.13,0.13
64,1864,-0.14478260869565218,-0.02,0.13,0.13,0.13,0.13
65,1865,0.16521739130434782,-0.0,0.13,0.13,0.13,0.13
66,1866,0.2752173913043478,0.02,0.13,0.13,0.13,0.13
67,1867,0.3752173913043478,0.05,0.13,0.13,0.13,0.13
68,1868,0.03521739130434781,0.06,0.13,0.13,0.14,0.13
69,1869,0.3352173913043478,0.08,0.14,0.14,0.14,0.13
70,1870,0.005217391304347785,0.09,0.14,0.14,0.15,0.14
71,1871,-0.044782608695652204,0.09,0.14,0.14,0.16,0.14
72,1872,0.005217391304347785,0.08,0.14,0.15,0.16,0.14
73,1873,,,0.14,0.15,0.16,0.14
74,1874,0.2052173913043478,0.04,0.14,0.15,0.16,0.14
75,1875,-0.1747826086956522,0.02,0.14,0.15,0.16,0.14
76,1876,-0.044782608695652204,-0.0,0.14,0.15,0.16,0.14
77,1877,0.42521739130434777,-0.02,0.14,0.15,0.16,0.14
78,1878,0.5952173913043478,-0.03,0.13,0.14,0.15,0.14
79,1879,-0.21478260869565224,-0.04,0.13,0.14,0.15,0.13
80,1880,-0.46478260869565224,-0.04,0.12,0.14,0.14,0.12
81,1881,-0.22478260869565225,-0.05,0.12,0.13,0.13,0.12
82,1882,-0.014782608695652177,-0.06,0.11,0.13,0.13,0.11
83,1883,-0.024782608695652186,-0.06,0.11,0.13,0.12,0.11
84,1884,-0.25478260869565217,-0.07,0.11,0.12,0.12,0.11
85,1885,0.03521739130434781,-0.07,0.11,0.12,0.12,0.11
86,1886,0.09521739130434781,-0.06,0.11,0.12,0.12,0.11
87,1887,-0.19478260869565223,-0.05,0.11,0.12,0.12,0.11
88,1888,-0.004782608695652224,-0.03,0.11,0.12,0.12,0.11
89,1889,0.5652173913043478,-0.01,0.11,0.12,0.12,0.11
90,1890,-0.2647826086956522,0.01,0.11,0.12,0.12,0.11
91,1891,-0.1547826086956522,0.03,0.12,0.13,0.13,0.11
92,1892,0.005217391304347785,0.05,0.12,0.13,0.13,0.12
93,1893,-0.044782608695652204,0.08,0.13,0.14,0.15,0.13
94,1894,0.09521739130434781,0.1,0.14,0.15,0.16,0.14
95,1895,0.18521739130434778,0.13,0.15,0.15,0.16,0.15
96,1896,0.3652173913043478,0.15,0.15,0.15,0.17,0.15
97,1897,0.3152173913043478,0.17,0.15,0.15,0.17,0.15
98,1898,-0.044782608695652204,0.19,0.15,0.15,0.17,0.15
99,1899,0.2352173913043478,0.19,0.15,0.15,0.17,0.15
100,1900,0.7052173913043478,0.18,0.15,0.15,0.17,0.15
101,1901,0.1952173913043478,0.16,0.16,0.16,0.17,0.15
102,1902,0.3852173913043478,0.14,0.16,0.16,0.17,0.15
103,1903,0.29521739130434776,0.12,0.16,0.16,0.18,0.15
104,1904,-0.47478260869565225,0.09,0.16,0.16,0.18,0.16
