Andorra,year,obs_anoms,smoothed_anoms,ssp126,ssp245,ssp370,ssp585
0,1800,0.34838709677419355,0.43,,,,
1,1801,0.30838709677419357,0.35,,,,
2,1802,0.34838709677419355,0.26,,,,
3,1803,0.01838709677419359,0.17,,,,
4,1804,0.6683870967741936,0.09,,,,
5,1805,-0.5416129032258064,0.0,,,,
6,1806,0.35838709677419356,-0.08,,,,
7,1807,0.11838709677419357,-0.17,,,,
8,1808,-0.8816129032258064,-0.25,,,,
9,1809,-0.6016129032258064,-0.33,,,,
10,1810,-0.4916129032258065,-0.39,,,,
11,1811,0.6083870967741936,-0.43,,,,
12,1812,-0.7816129032258066,-0.44,,,,
13,1813,-0.7116129032258065,-0.43,,,,
14,1814,-1.2016129032258065,-0.41,,,,
15,1815,-0.4916129032258065,-0.37,,,,
16,1816,-1.3016129032258066,-0.32,,,,
17,1817,-0.21161290322580645,-0.26,,,,
18,1818,0.24838709677419357,-0.2,,,,
19,1819,0.30838709677419357,-0.14,,,,
20,1820,-0.32161290322580643,-0.07,,,,
21,1821,0.29838709677419356,-0.01,,,,
22,1822,1.0583870967741935,0.05,,,,
23,1823,-0.2716129032258064,0.08,,,,
24,1824,0.08838709677419357,0.11,,,,
25,1825,0.3983870967741936,0.12,,,,
26,1826,0.09838709677419358,0.13,,,,
27,1827,-0.20161290322580644,0.13,,,,
28,1828,0.7683870967741936,0.13,,,,
29,1829,-0.7816129032258066,0.11,,,,
30,1830,-0.04161290322580641,0.08,,,,
31,1831,0.6383870967741936,0.05,,,,
32,1832,0.16838709677419356,0.02,,,,
33,1833,0.06838709677419358,-0.0,,,,
34,1834,0.7983870967741935,-0.02,,,,
35,1835,-0.4316129032258064,-0.04,,,,
36,1836,-0.3716129032258065,-0.06,,,,
37,1837,-0.5216129032258063,-0.08,,,,
38,1838,-0.23161290322580647,-0.1,,,,
39,1839,0.03838709677419355,-0.12,,,,
40,1840,-0.24161290322580647,-0.12,,,,
41,1841,0.07838709677419356,-0.11,,,,
42,1842,-0.07161290322580643,-0.1,,,,
43,1843,-0.001612903225806428,-0.08,,,,
44,1844,-0.2616129032258064,-0.06,,,,
45,1845,-0.3816129032258064,-0.06,,,,
46,1846,1.0083870967741935,-0.08,,,,
47,1847,0.22838709677419355,-0.1,,,,
48,1848,-0.09161290322580645,-0.12,,,,
49,1849,0.36838709677419357,-0.14,,,,
50,1850,-0.34161290322580645,-0.16,,,,
51,1851,-0.8616129032258064,-0.16,,,,
52,1852,0.3883870967741936,-0.16,,,,
53,1853,-0.9916129032258065,-0.17,,,,
54,1854,-0.46161290322580645,-0.16,,,,
55,1855,-0.6416129032258064,-0.15,,,,
56,1856,0.10838709677419356,-0.12,,,,
57,1857,-0.1716129032258064,-0.09,,,,
58,1858,0.07838709677419356,-0.04,,,,
59,1859,0.49838709677419357,0.02,,,,
60,1860,-0.6916129032258065,0.08,,,,
61,1861,0.4483870967741936,0.13,,,,
62,1862,0.35838709677419356,0.18,,,,
63,1863,0.41838709677419356,0.21,,,,
64,1864,-0.15161290322580645,0.23,,,,
65,1865,0.20838709677419356,0.23,,,,
66,1866,0.6283870967741936,0.22,,,,
67,1867,0.30838709677419357,0.2,,,,
68,1868,0.5783870967741935,0.19,,,,
69,1869,0.14838709677419357,0.18,,,,
70,1870,0.04838709677419356,0.17,,,,
71,1871,-0.5416129032258064,0.15,,,,
72,1872,0.22838709677419355,0.14,,,,
73,1873,0.05838709677419357,0.12,,,,
74,1874,-0.011612903225806437,0.1,,,,
75,1875,-0.12161290322580642,0.09,,,,
76,1876,0.46838709677419355,0.08,,,,
77,1877,0.34838709677419355,0.07,,,,
78,1878,0.2583870967741936,0.06,,,,
79,1879,-0.7216129032258065,0.03,,,,
80,1880,0.12838709677419358,-0.02,,,,
81,1881,0.33838709677419354,-0.08,,,,
82,1882,0.24838709677419357,-0.15,,,,
83,1883,-0.32161290322580643,-0.23,,,,
84,1884,-0.13161290322580643,-0.31,,,,
85,1885,-0.2916129032258064,-0.38,,,,
86,1886,-0.5116129032258063,-0.42,,,,
87,1887,-1.1516129032258065,-0.44,,,,
88,1888,-1.0116129032258065,-0.45,,,,
89,1889,-0.8916129032258064,-0.44,,,,
90,1890,-0.9416129032258065,-0.41,,,,
91,1891,-0.7516129032258065,-0.36,,,,
92,1892,-0.24161290322580647,-0.29,,,,
93,1893,0.49838709677419357,-0.21,,,,
94,1894,-0.11161290322580641,-0.12,,,,
95,1895,0.34838709677419355,-0.03,,,,
96,1896,-0.4916129032258065,0.04,,,,
97,1897,0.7283870967741936,0.09,,,,
98,1898,0.4483870967741936,0.13,,,,
99,1899,0.8583870967741936,0.15,,,,
100,1900,0.5183870967741936,0.15,,,,
101,1901,-0.48161290322580647,0.14,,,,
102,1902,-0.09161290322580645,0.11,,,,
103,1903,-0.20161290322580644,0.08,,,,
104,1904,0.7083870967741936,0.05,,,,
105,1905,-0.2816129032258064,0.02,,,,
106,1906,0.06838709677419358,-0.01,,,,
107,1907,-0.14161290322580644,-0.03,,,,
108,1908,0.15838709677419358,-0.04,,,,
109,1909,-0.6016129032258064,-0.04,,,,
110,1910,-0.3016129032258064,-0.04,,,,
111,1911,0.6583870967741936,-0.05,,,,
112,1912,-0.18161290322580642,-0.05,,,,
113,1913,0.18838709677419357,-0.03,,,,
114,1914,-0.1016129032258064,-0.01,,,,
