Angola,year,obs_anoms,smoothed_anoms,ssp126,ssp245,ssp370,ssp585
0,1800,,,,,,
1,1801,,,,,,
2,1802,,,,,,
3,1803,,,,,,
4,1804,,,,,,
5,1805,,,,,,
6,1806,,,,,,
7,1807,,,,,,
8,1808,,,,,,
9,1809,,,,,,
10,1810,,,,,,
11,1811,,,,,,
12,1812,,,,,,
13,1813,,,,,,
14,1814,,,,,,
15,1815,,,,,,
16,1816,,,,,,
17,1817,,,,,,
18,1818,,,,,,
19,1819,,,,,,
20,1820,,,,,,
21,1821,,,,,,
22,1822,,,,,,
23,1823,,,,,,
24,1824,,,,,,
25,1825,,,,,,
26,1826,,,,,,
27,1827,,,,,,
28,1828,,,,,,
29,1829,,,,,,
30,1830,,,,,,
31,1831,,,,,,
32,1832,,,,,,
33,1833,,,,,,
34,1834,,,,,,
35,1835,,,,,,
36,1836,,,,,,
37,1837,,,,,,
38,1838,,,,,,
39,1839,,,,,,
40,1840,,,,,,
41,1841,,,,,,
42,1842,,,,,,
43,1843,,,,,,
44,1844,,,,,,
45,1845,,,,,,
46,1846,,,,,,
47,1847,,,,,,
48,1848,,,,,,
49,1849,,,,,,
50,1850,,,,,,
51,1851,,,,,,
52,1852,,,,,,
53,1853,,,,,,
54,1854,,,,,,
55,1855,,,,,,
56,1856,,,,,,
57,1857,-0.3534782608695653,-0.18,,,,
58,1858,0.006521739130434745,-0.15,,,,
59,1859,0.15652173913043477,-0.12,,,,
60,1860,-0.14347826086956522,-0.09,,,,
61,1861,-0.20347826086956528,-0.07,,,,
62,1862,-0.5234782608695652,-0.04,,,,
63,1863,-0.023478260869565226,-0.01,,,,
64,1864,-0.08347826086956528,0.01,,,,
65,1865,0.22652173913043475,0.03,,,,
66,1866,0.27652173913043476,0.05,,,,
67,1867,0.38652173913043475,0.07,,,,
68,1868,0.046521739130434725,0.08,,,,
69,1869,0.3465217391304347,0.09,,,,
70,1870,0.006521739130434745,0.1,,,,
71,1871,-0.033478260869565235,0.1,,,,
72,1872,0.006521739130434745,0.09,,,,
73,1873,,,,,,
74,1874,0.20652173913043476,0.04,,,,
75,1875,-0.15347826086956523,0.02,,,,
76,1876,-0.043478260869565244,0.0,,,,
77,1877,0.42652173913043473,-0.01,,,,
78,1878,0.5565217391304348,-0.01,,,,
79,1879,-0.3634782608695653,-0.01,,,,
80,1880,-0.7234782608695651,-0.01,,,,
81,1881,-0.4534782608695653,-0.01,,,,
82,1882,0.06652173913043474,-0.02,,,,
83,1883,0.03652173913043477,-0.02,,,,
84,1884,-0.16347826086956524,-0.03,,,,
85,1885,0.2965217391304348,-0.04,,,,
86,1886,0.32652173913043475,-0.03,,,,
87,1887,-0.14347826086956522,-0.02,,,,
88,1888,-0.1234782608695652,0.0,,,,
89,1889,0.7065217391304348,0.02,,,,
90,1890,-0.4534782608695653,0.05,,,,
91,1891,-0.20347826086956528,0.07,,,,
92,1892,-0.2434782608695652,0.09,,,,
93,1893,0.23652173913043475,0.11,,,,
94,1894,0.16652173913043472,0.14,,,,
95,1895,0.26652173913043475,0.17,,,,
96,1896,0.4165217391304348,0.21,,,,
97,1897,0.45652173913043476,0.23,,,,
98,1898,-0.033478260869565235,0.24,,,,
99,1899,0.42652173913043473,0.23,,,,
100,1900,0.5865217391304347,0.21,,,,
101,1901,0.42652173913043473,0.18,,,,
102,1902,0.28652173913043477,0.16,,,,
103,1903,-0.003478260869565264,0.13,,,,
104,1904,-0.4934782608695652,0.11,,,,
105,1905,0.08652173913043476,0.09,,,,
106,1906,-0.19347826086956527,0.09,,,,
107,1907,-0.2734782608695652,0.09,,,,
108,1908,-0.1234782608695652,0.11,,,,
109,1909,0.17652173913043473,0.14,,,,
110,1910,0.13652173913043475,0.19,,,,
111,1911,-0.15347826086956523,0.24,,,,
112,1912,0.6365217391304347,0.29,,,,
113,1913,0.5465217391304348,0.34,,,,
114,1914,0.5265217391304348,0.39,,,,
115,1915,0.5665217391304347,0.43,,,,
116,1916,0.7565217391304347,0.47,,,,
117,1917,0.49652173913043474,0.5,,,,
118,1918,-0.2334782608695653,0.51,,,,
119,1919,0.11652173913043473,0.52,,,,
120,1920,0.5965217391304347,0.52,,,,
121,1921,0.7465217391304347,0.52,,,,
122,1922,0.6765217391304348,0.52,,,,
123,1923,0.4165217391304348,0.51,,,,
124,1924,0.5965217391304347,0.51,,,,
125,1925,0.11652173913043473,0.51,,,,
126,1926,0.5265217391304348,0.5,,,,
127,1927,0.5965217391304347,0.48,,,,
128,1928,0.7565217391304347,0.46,,,,
129,1929,0.5065217391304347,0.44,,,,
130,1930,0.19652173913043475,0.42,,,,
131,1931,0.6365217391304347,0.39,,,,
132,1932,0.21652173913043474,0.37,,,,
133,1933,0.33652173913043476,0.36,,,,
134,1934,0.40652173913043477,0.34,,,,
