Argentina,year,obs_anoms,smoothed_anoms,ssp126,ssp245,ssp370,ssp585
0,1800,,,,,,
1,1801,,,,,,
2,1802,,,,,,
3,1803,,,,,,
4,1804,,,,,,
5,1805,,,,,,
6,1806,,,,,,
7,1807,,,,,,
8,1808,,,,,,
9,1809,,,,,,
10,1810,,,,,,
11,1811,,,,,,
12,1812,,,,,,
13,1813,,,,,,
14,1814,,,,,,
15,1815,,,,,,
16,1816,,,,,,
17,1817,,,,,,
18,1818,,,,,,
19,1819,,,,,,
20,1820,,,,,,
21,1821,,,,,,
22,1822,,,,,,
23,1823,,,,,,
24,1824,,,,,,
25,1825,,,,,,
26,1826,,,,,,
27,1827,,,,,,
28,1828,,,,,,
29,1829,,,,,,
30,1830,,,,,,
31,1831,,,,,,
32,1832,-0.8170000000000001,-0.74,,,,
33,1833,-0.137,-0.73,,,,
34,1834,-0.267,-0.71,,,,
35,1835,-0.9269999999999999,-0.69,,,,
36,1836,-0.6869999999999999,-0.66,,,,
37,1837,-1.037,-0.64,,,,
38,1838,-0.807,-0.62,,,,
39,1839,-0.747,-0.6,,,,
40,1840,-0.507,-0.58,,,,
41,1841,-0.757,-0.56,,,,
42,1842,-0.347,-0.54,,,,
43,1843,-0.19700000000000006,-0.51,,,,
44,1844,,,,,,
45,1845,,,,,,
46,1846,,,,,,
47,1847,,,,,,
48,1848,,,,,,
49,1849,,,,,,
50,1850,,,,,,
51,1851,-0.31700000000000006,-0.28,,,,
52,1852,-0.33699999999999997,-0.26,,,,
53,1853,-0.31700000000000006,-0.25,,,,
54,1854,-0.17700000000000005,-0.23,,,,
55,1855,-0.397,-0.2,,,,
56,1856,-0.16700000000000004,-0.17,,,,
57,1857,0.022999999999999965,-0.14,,,,
58,1858,-0.15700000000000003,-0.11,,,,
59,1859,0.253,-0.07,,,,
60,1860,-0.03700000000000003,-0.03,,,,
61,1861,-0.017000000000000015,0.01,,,,
62,1862,-0.137,0.05,,,,
63,1863,-0.44700000000000006,0.08,,,,
64,1864,0.063,0.09,,,,
65,1865,0.563,0.09,,,,
66,1866,0.373,0.1,,,,
67,1867,0.22299999999999998,0.1,,,,
68,1868,0.32299999999999995,0.11,,,,
69,1869,0.09299999999999997,0.11,,,,
70,1870,0.022999999999999965,0.1,,,,
71,1871,-0.267,0.09,,,,
72,1872,-0.16700000000000004,0.07,,,,
73,1873,0.523,0.05,,,,
74,1874,-0.09699999999999998,0.03,,,,
75,1875,-0.05700000000000005,0.02,,,,
76,1876,0.08299999999999996,0.02,,,,
77,1877,0.643,0.01,,,,
78,1878,-0.16700000000000004,0.0,,,,
79,1879,0.04299999999999998,-0.02,,,,
80,1880,0.032999999999999974,-0.04,,,,
81,1881,-0.11699999999999999,-0.07,,,,
82,1882,-0.07700000000000007,-0.1,,,,
83,1883,-0.03700000000000003,-0.13,,,,
84,1884,-0.06700000000000006,-0.15,,,,
85,1885,-0.537,-0.17,,,,
86,1886,-0.357,-0.18,,,,
87,1887,-0.33699999999999997,-0.19,,,,
88,1888,0.05299999999999999,-0.19,,,,
89,1889,-0.43700000000000006,-0.17,,,,
90,1890,-0.127,-0.14,,,,
91,1891,0.08299999999999996,-0.1,,,,
92,1892,-0.21699999999999997,-0.05,,,,
93,1893,-0.277,-0.0,,,,
94,1894,-0.09699999999999998,0.05,,,,
95,1895,0.283,0.11,,,,
96,1896,0.753,0.15,,,,
97,1897,0.20299999999999996,0.19,,,,
98,1898,-0.557,0.21,,,,
99,1899,0.363,0.23,,,,
100,1900,0.5529999999999999,0.24,,,,
101,1901,0.5529999999999999,0.24,,,,
102,1902,0.303,0.22,,,,
103,1903,-0.017000000000000015,0.19,,,,
104,1904,0.11299999999999999,0.16,,,,
105,1905,-0.127,0.13,,,,
106,1906,0.413,0.09,,,,
107,1907,-0.28700000000000003,0.07,,,,
108,1908,0.10299999999999998,0.07,,,,
109,1909,0.07300000000000001,0.08,,,,
110,1910,-0.05700000000000005,0.09,,,,
111,1911,-0.33699999999999997,0.11,,,,
112,1912,0.23299999999999998,0.13,,,,
113,1913,0.923,0.15,,,,
114,1914,0.22299999999999998,0.17,,,,
115,1915,0.263,0.18,,,,
116,1916,0.21299999999999997,0.19,,,,
117,1917,0.383,0.18,,,,
118,1918,0.032999999999999974,0.16,,,,
119,1919,0.413,0.14,,,,
120,1920,0.283,0.13,,,,
121,1921,-0.18700000000000006,0.12,,,,
122,1922,-0.05700000000000005,0.11,,,,
123,1923,-0.247,0.12,,,,
124,1924,-0.18700000000000006,0.12,,,,
125,1925,0.21299999999999997,0.13,,,,
126,1926,0.433,0.15,,,,
127,1927,0.363,0.18,,,,
128,1928,-0.14700000000000002,0.21,,,,
129,1929,0.473,0.23,,,,
130,1930,0.533,0.26,,,,
131,1931,-0.237,0.27,,,,
132,1932,0.633,0.28,,,,
