Austria,year,obs_anoms,smoothed_anoms,ssp126,ssp245,ssp370,ssp585
0,1800,0.6735483870967742,0.72,,,,
1,1801,1.1135483870967742,0.64,,,,
2,1802,0.7035483870967743,0.57,,,,
3,1803,-0.27645161290322584,0.49,,,,
4,1804,0.12354838709677418,0.42,,,,
5,1805,-1.4464516129032259,0.34,,,,
6,1806,0.9635483870967742,0.26,,,,
7,1807,0.7335483870967742,0.18,,,,
8,1808,-0.8964516129032258,0.1,,,,
9,1809,0.08354838709677415,0.02,,,,
10,1810,0.34354838709677415,-0.04,,,,
11,1811,1.2235483870967743,-0.07,,,,
12,1812,-0.8564516129032258,-0.1,,,,
13,1813,-0.39645161290322584,-0.11,,,,
14,1814,-0.8164516129032258,-0.12,,,,
15,1815,-0.3164516129032259,-0.11,,,,
16,1816,-1.006451612903226,-0.09,,,,
17,1817,0.07354838709677419,-0.05,,,,
18,1818,0.33354838709677415,-0.0,,,,
19,1819,0.6335483870967742,0.06,,,,
20,1820,-0.27645161290322584,0.14,,,,
21,1821,0.19354838709677416,0.21,,,,
22,1822,1.543548387096774,0.26,,,,
23,1823,-0.07645161290322583,0.29,,,,
24,1824,0.6335483870967742,0.3,,,,
25,1825,0.6535483870967742,0.29,,,,
26,1826,0.3235483870967742,0.28,,,,
27,1827,0.29354838709677417,0.26,,,,
28,1828,0.48354838709677417,0.23,,,,
29,1829,-1.6464516129032256,0.2,,,,
30,1830,-0.30645161290322587,0.14,,,,
31,1831,0.29354838709677417,0.08,,,,
32,1832,-0.15645161290322585,0.01,,,,
33,1833,0.10354838709677416,-0.05,,,,
34,1834,1.4135483870967742,-0.1,,,,
35,1835,-0.3464516129032258,-0.13,,,,
36,1836,0.18354838709677418,-0.15,,,,
37,1837,-0.7664516129032257,-0.17,,,,
38,1838,-1.226451612903226,-0.18,,,,
39,1839,0.18354838709677418,-0.2,,,,
40,1840,-1.0164516129032257,-0.22,,,,
41,1841,0.7935483870967741,-0.22,,,,
42,1842,-0.4464516129032259,-0.23,,,,
43,1843,0.24354838709677418,-0.22,,,,
44,1844,-0.4564516129032258,-0.21,,,,
45,1845,-0.43645161290322587,-0.2,,,,
46,1846,1.3235483870967741,-0.19,,,,
47,1847,-0.5364516129032258,-0.2,,,,
48,1848,0.21354838709677418,-0.22,,,,
49,1849,-0.24645161290322581,-0.23,,,,
50,1850,-0.40645161290322585,-0.24,,,,
51,1851,-0.6564516129032258,-0.25,,,,
52,1852,0.47354838709677416,-0.25,,,,
53,1853,-0.6064516129032258,-0.25,,,,
54,1854,-0.3264516129032258,-0.23,,,,
55,1855,-0.6764516129032259,-0.2,,,,
56,1856,-0.1064516129032258,-0.15,,,,
57,1857,0.09354838709677415,-0.09,,,,
58,1858,-0.9364516129032259,-0.02,,,,
59,1859,0.6735483870967742,0.04,,,,
