Azerbaijan,year,obs_anoms,smoothed_anoms,ssp126,ssp245,ssp370,ssp585
0,1800,,,,,,
1,1801,,,,,,
2,1802,,,,,,
3,1803,,,,,,
4,1804,,,,,,
5,1805,,,,,,
6,1806,,,,,,
7,1807,,,,,,
8,1808,,,,,,
9,1809,-1.3890322580645162,-1.34,,,,
10,1810,-1.2890322580645162,-1.27,,,,
11,1811,-1.3790322580645162,-1.21,,,,
12,1812,-1.0990322580645162,-1.15,,,,
13,1813,-0.8490322580645162,-1.08,,,,
14,1814,-0.4590322580645162,-1.01,,,,
15,1815,-1.0790322580645162,-0.95,,,,
16,1816,-1.3690322580645162,-0.88,,,,
17,1817,-1.1190322580645162,-0.81,,,,
18,1818,-0.04903225806451622,-0.75,,,,
19,1819,-0.8790322580645162,-0.68,,,,
20,1820,-0.7590322580645161,-0.62,,,,
21,1821,-0.37903225806451624,-0.56,,,,
22,1822,-0.8390322580645162,-0.5,,,,
23,1823,-0.23903225806451622,-0.45,,,,
24,1824,0.5009677419354838,-0.41,,,,
25,1825,-0.4590322580645162,-0.39,,,,
26,1826,-0.3290322580645162,-0.38,,,,
27,1827,0.5909677419354837,-0.39,,,,
28,1828,-0.5890322580645162,-0.4,,,,
29,1829,-0.42903225806451617,-0.42,,,,
30,1830,0.08096774193548378,-0.45,,,,
31,1831,-0.6390322580645162,-0.5,,,,
32,1832,-1.5290322580645161,-0.54,,,,
33,1833,-0.4390322580645162,-0.59,,,,
34,1834,-0.5390322580645162,-0.62,,,,
35,1835,-0.9190322580645163,-0.65,,,,
36,1836,-0.5590322580645162,-0.66,,,,
37,1837,-0.7790322580645161,-0.65,,,,
38,1838,-1.0190322580645161,-0.63,,,,
39,1839,-0.6890322580645163,-0.59,,,,
40,1840,-0.8590322580645162,-0.54,,,,
41,1841,-0.6390322580645162,-0.49,,,,
42,1842,-0.2090322580645162,-0.44,,,,
43,1843,0.05096774193548381,-0.38,,,,
44,1844,-0.4790322580645162,-0.31,,,,
45,1845,-0.40903225806451615,-0.24,,,,
46,1846,0.2309677419354838,-0.18,,,,
47,1847,-0.10903225806451622,-0.12,,,,
48,1848,-0.14903225806451625,-0.08,,,,
49,1849,0.09096774193548379,-0.05,,,,
50,1850,-0.4590322580645162,-0.04,,,,
51,1851,0.6609677419354838,-0.03,,,,
52,1852,0.06096774193548382,-0.03,,,,
53,1853,0.3109677419354838,-0.03,,,,
54,1854,-0.38903225806451625,-0.04,,,,
55,1855,0.4209677419354838,-0.07,,,,
56,1856,-0.07903225806451619,-0.1,,,,
57,1857,-0.7590322580645161,-0.14,,,,
58,1858,-0.23903225806451622,-0.17,,,,
59,1859,0.3609677419354838,-0.2,,,,
60,1860,0.14096774193548378,-0.22,,,,
61,1861,-0.9090322580645163,-0.23,,,,
62,1862,-1.0790322580645162,-0.22,,,,
63,1863,-0.42903225806451617,-0.21,,,,
64,1864,-0.29903225806451617,-0.18,,,,
65,1865,-0.06903225806451618,-0.15,,,,
66,1866,-0.1990322580645162,-0.11,,,,
67,1867,-0.04903225806451622,-0.07,,,,
68,1868,0.030967741935483795,-0.01,,,,
69,1869,0.4509677419354838,0.04,,,,
70,1870,0.07096774193548377,0.1,,,,
71,1871,-0.06903225806451618,0.16,,,,
72,1872,0.6609677419354838,0.21,,,,
73,1873,0.4609677419354838,0.24,,,,
74,1874,-0.0890322580645162,0.25,,,,
75,1875,-0.17903225806451617,0.24,,,,
76,1876,0.4609677419354838,0.22,,,,
77,1877,0.6809677419354838,0.18,,,,
78,1878,0.6209677419354838,0.15,,,,
79,1879,0.8709677419354838,0.12,,,,
80,1880,-0.9690322580645161,0.09,,,,
81,1881,-0.3090322580645162,0.07,,,,
82,1882,-0.28903225806451616,0.06,,,,
83,1883,0.2109677419354838,0.04,,,,
84,1884,-0.38903225806451625,0.02,,,,
85,1885,-0.03903225806451621,0.0,,,,
86,1886,-0.6090322580645162,-0.01,,,,
87,1887,0.25096774193548377,-0.01,,,,
88,1888,0.6209677419354838,-0.01,,,,
89,1889,0.1609677419354838,-0.01,,,,
90,1890,0.2709677419354838,-0.02,,,,
91,1891,-0.16903225806451616,-0.02,,,,
92,1892,0.25096774193548377,-0.04,,,,
93,1893,-0.09903225806451621,-0.05,,,,
94,1894,-0.5790322580645162,-0.06,,,,
95,1895,-0.04903225806451622,-0.07,,,,
96,1896,-0.5690322580645162,-0.08,,,,
97,1897,0.1009677419354838,-0.09,,,,
98,1898,-0.5690322580645162,-0.1,,,,
99,1899,0.9109677419354838,-0.1,,,,
100,1900,-0.3490322580645162,-0.1,,,,
101,1901,0.7209677419354839,-0.1,,,,
102,1902,0.020967741935483786,-0.09,,,,
103,1903,-0.11903225806451623,-0.07,,,,
104,1904,-0.37903225806451624,-0.06,,,,
105,1905,0.040967741935483803,-0.04,,,,
