Barbados,year,obs_anoms,smoothed_anoms,ssp126,ssp245,ssp370,ssp585
0,1800,,,,,,
1,1801,,,,,,
2,1802,,,,,,
3,1803,,,,,,
4,1804,,,,,,
5,1805,,,,,,
6,1806,,,,,,
7,1807,,,,,,
8,1808,,,,,,
9,1809,,,,,,
10,1810,,,,,,
11,1811,,,,,,
12,1812,,,,,,
13,1813,,,,,,
14,1814,,,,,,
15,1815,,,,,,
16,1816,,,,,,
17,1817,,,,,,
18,1818,,,,,,
19,1819,,,,,,
20,1820,,,,,,
21,1821,,,,,,
22,1822,,,,,,
23,1823,,,,,,
24,1824,-0.14258064516129032,0.0,,,,
25,1825,0.23741935483870968,0.0,,,,
26,1826,-0.07258064516129026,-0.0,,,,
27,1827,0.1274193548387097,-0.0,,,,
28,1828,-0.06258064516129036,-0.01,,,,
29,1829,-0.09258064516129028,-0.01,,,,
30,1830,,,,,,
31,1831,,,,,,
32,1832,,,,,,
33,1833,,,,,,
34,1834,,,,,,
35,1835,,,,,,
36,1836,,,,,,
37,1837,,,,,,
38,1838,,,,,,
39,1839,,,,,,
40,1840,,,,,,
41,1841,,,,,,
42,1842,,,,,,
43,1843,,,,,,
44,1844,,,,,,
45,1845,,,,,,
46,1846,0.33741935483870966,-0.01,,,,
47,1847,-0.16258064516129034,-0.02,,,,
48,1848,-0.1325806451612903,-0.03,,,,
49,1849,-0.19258064516129025,-0.04,,,,
50,1850,-0.08258064516129027,-0.06,,,,
51,1851,-0.05258064516129035,-0.07,,,,
52,1852,-0.1225806451612903,-0.08,,,,
53,1853,0.08741935483870972,-0.1,,,,
54,1854,-0.07258064516129026,-0.11,,,,
55,1855,0.05741935483870969,-0.12,,,,
56,1856,0.02741935483870972,-0.12,,,,
57,1857,-0.3925806451612903,-0.13,,,,
58,1858,-0.33258064516129027,-0.14,,,,
59,1859,-0.3425806451612903,-0.14,,,,
60,1860,-0.09258064516129028,-0.14,,,,
61,1861,-0.06258064516129036,-0.12,,,,
62,1862,-0.2325806451612903,-0.09,,,,
63,1863,-0.2625806451612903,-0.06,,,,
64,1864,-0.08258064516129027,-0.02,,,,
65,1865,0.1374193548387097,0.03,,,,
66,1866,0.1374193548387097,0.06,,,,
67,1867,0.1974193548387097,0.09,,,,
68,1868,0.28741935483870973,0.12,,,,
69,1869,0.32741935483870965,0.13,,,,
70,1870,-0.1225806451612903,0.15,,,,
71,1871,0.2474193548387097,0.15,,,,
72,1872,0.33741935483870966,0.15,,,,
73,1873,0.09741935483870967,0.14,,,,
74,1874,0.08741935483870972,0.12,,,,
75,1875,-0.1125806451612903,0.09,,,,
76,1876,0.03741935483870967,0.07,,,,
77,1877,0.46741935483870967,0.04,,,,
78,1878,0.4974193548387097,0.02,,,,
79,1879,-0.19258064516129025,-0.01,,,,
80,1880,-0.4725806451612903,-0.03,,,,
81,1881,0.1274193548387097,-0.05,,,,
82,1882,-0.032580645161290334,-0.06,,,,
83,1883,-0.2425806451612903,-0.08,,,,
84,1884,-0.28258064516129033,-0.09,,,,
85,1885,0.05741935483870969,-0.09,,,,
86,1886,-0.1225806451612903,-0.09,,,,
87,1887,-0.2625806451612903,-0.09,,,,
88,1888,0.1274193548387097,-0.09,,,,
89,1889,0.4474193548387097,-0.09,,,,
90,1890,-0.5925806451612904,-0.08,,,,
91,1891,0.07741935483870971,-0.07,,,,
92,1892,-0.07258064516129026,-0.06,,,,
93,1893,-0.2325806451612903,-0.04,,,,
94,1894,-0.2625806451612903,-0.03,,,,
95,1895,-0.05258064516129035,-0.0,,,,
96,1896,0.01741935483870971,0.03,,,,
97,1897,0.1874193548387097,0.06,,,,
98,1898,0.11741935483870969,0.09,,,,
99,1899,0.07741935483870971,0.11,,,,
100,1900,0.21741935483870967,0.13,,,,
101,1901,0.34741935483870967,0.14,,,,
102,1902,0.32741935483870965,0.13,,,,
103,1903,0.32741935483870965,0.11,,,,
104,1904,-0.14258064516129032,0.09,,,,
105,1905,0.1374193548387097,0.06,,,,
106,1906,0.02741935483870972,0.02,,,,
107,1907,-0.05258064516129035,-0.02,,,,
108,1908,-0.05258064516129035,-0.05,,,,
109,1909,-0.16258064516129034,-0.08,,,,
110,1910,-0.2525806451612903,-0.11,,,,
111,1911,-0.1225806451612903,-0.13,,,,
112,1912,-0.1225806451612903,-0.15,,,,
113,1913,-0.5025806451612903,-0.16,,,,
114,1914,-0.022580645161290325,-0.17,,,,
115,1915,0.22741935483870968,-0.18,,,,
116,1916,-0.17258064516129035,-0.18,,,,
117,1917,-0.5025806451612903,-0.17,,,,
118,1918,-0.32258064516129026,-0.17,,,,
119,1919,0.11741935483870969,-0.16,,,,
120,1920,-0.2525806451612903,-0.14,,,,
121,1921,-0.21258064516129027,-0.12,,,,
122,1922,-0.2425806451612903,-0.09,,,,
123,1923,-0.16258064516129034,-0.05,,,,
