Bosnia and Herzegovina,year,obs_anoms,smoothed_anoms,ssp126,ssp245,ssp370,ssp585
0,1800,0.599032258064516,0.74,,,,
1,1801,1.0290322580645161,0.64,,,,
2,1802,0.9790322580645161,0.55,,,,
3,1803,-0.14096774193548395,0.46,,,,
4,1804,0.259032258064516,0.38,,,,
5,1805,-1.010967741935484,0.29,,,,
6,1806,0.539032258064516,0.19,,,,
7,1807,0.7090322580645161,0.1,,,,
8,1808,-0.9809677419354841,0.01,,,,
9,1809,-0.29096774193548397,-0.08,,,,
10,1810,0.16903225806451605,-0.15,,,,
11,1811,0.7390322580645161,-0.19,,,,
12,1812,-0.8009677419354839,-0.21,,,,
13,1813,-0.5209677419354839,-0.22,,,,
14,1814,-0.7309677419354841,-0.22,,,,
15,1815,-0.440967741935484,-0.2,,,,
16,1816,-0.930967741935484,-0.17,,,,
17,1817,-0.10096774193548397,-0.12,,,,
18,1818,0.20903225806451606,-0.07,,,,
19,1819,0.269032258064516,-0.02,,,,
20,1820,0.10903225806451605,0.05,,,,
21,1821,0.029032258064516037,0.1,,,,
22,1822,1.139032258064516,0.15,,,,
23,1823,-0.010967741935483943,0.17,,,,
24,1824,0.619032258064516,0.16,,,,
25,1825,0.24903225806451607,0.14,,,,
26,1826,0.08903225806451603,0.11,,,,
27,1827,0.27903225806451604,0.07,,,,
28,1828,0.23903225806451606,0.03,,,,
29,1829,-1.080967741935484,-0.02,,,,
30,1830,-0.10096774193548397,-0.08,,,,
31,1831,0.039032258064516046,-0.14,,,,
32,1832,-0.670967741935484,-0.2,,,,
33,1833,-0.200967741935484,-0.25,,,,
34,1834,0.7090322580645161,-0.28,,,,
35,1835,-0.670967741935484,-0.3,,,,
36,1836,-0.03096774193548396,-0.3,,,,
37,1837,-0.930967741935484,-0.3,,,,
38,1838,-0.900967741935484,-0.29,,,,
39,1839,-0.0009677419354839345,-0.28,,,,
40,1840,-0.7209677419354841,-0.27,,,,
41,1841,0.789032258064516,-0.25,,,,
42,1842,-0.39096774193548395,-0.23,,,,
43,1843,0.049032258064516054,-0.21,,,,
44,1844,-0.40096774193548396,-0.18,,,,
45,1845,-0.25096774193548393,-0.16,,,,
46,1846,0.9690322580645161,-0.15,,,,
47,1847,-0.430967741935484,-0.14,,,,
48,1848,0.34903225806451604,-0.14,,,,
49,1849,-0.2109677419354839,-0.15,,,,
50,1850,-0.580967741935484,-0.16,,,,
51,1851,-0.3309677419354839,-0.17,,,,
52,1852,0.13903225806451605,-0.17,,,,
53,1853,-0.06096774193548393,-0.18,,,,
54,1854,-0.37096774193548393,-0.17,,,,
55,1855,-0.190967741935484,-0.14,,,,
56,1856,-0.23096774193548392,-0.11,,,,
57,1857,-0.2109677419354839,-0.06,,,,
58,1858,-0.830967741935484,-0.02,,,,
59,1859,0.47903225806451605,0.02,,,,
60,1860,-0.12096774193548393,0.06,,,,
61,1861,0.15903225806451604,0.1,,,,
62,1862,0.5790322580645161,0.14,,,,
63,1863,1.059032258064516,0.17,,,,
64,1864,-0.9709677419354841,0.19,,,,
65,1865,0.14903225806451606,0.21,,,,
66,1866,0.40903225806451604,0.21,,,,
67,1867,0.30903225806451606,0.2,,,,
68,1868,0.6890322580645161,0.18,,,,
69,1869,0.24903225806451607,0.15,,,,
70,1870,-0.620967741935484,0.12,,,,
71,1871,-0.7209677419354841,0.09,,,,
72,1872,1.139032258064516,0.07,,,,
73,1873,0.669032258064516,0.05,,,,
74,1874,-0.300967741935484,0.03,,,,
75,1875,-0.840967741935484,0.0,,,,
76,1876,0.08903225806451603,-0.01,,,,
77,1877,0.11903225806451606,-0.02,,,,
78,1878,0.16903225806451605,-0.03,,,,
79,1879,-0.28096774193548396,-0.03,,,,
80,1880,0.259032258064516,-0.04,,,,
81,1881,-0.450967741935484,-0.05,,,,
82,1882,0.7490322580645161,-0.07,,,,
83,1883,-0.41096774193548397,-0.08,,,,
84,1884,-0.450967741935484,-0.1,,,,
85,1885,0.28903225806451605,-0.13,,,,
86,1886,0.27903225806451604,-0.15,,,,
87,1887,-0.2109677419354839,-0.16,,,,
88,1888,-0.640967741935484,-0.18,,,,
89,1889,-0.440967741935484,-0.18,,,,
90,1890,-0.08096774193548395,-0.18,,,,
91,1891,-0.38096774193548394,-0.17,,,,
92,1892,0.14903225806451606,-0.15,,,,
93,1893,-0.8009677419354839,-0.12,,,,
94,1894,0.08903225806451603,-0.08,,,,
95,1895,-0.11096774193548392,-0.05,,,,
96,1896,-0.29096774193548397,-0.01,,,,
97,1897,0.11903225806451606,0.03,,,,
98,1898,0.909032258064516,0.05,,,,
99,1899,0.019032258064516028,0.07,,,,
100,1900,0.769032258064516,0.08,,,,
101,1901,-0.3409677419354839,0.08,,,,
102,1902,-0.020967741935483952,0.08,,,,
