Burkina Faso,year,obs_anoms,smoothed_anoms,ssp126,ssp245,ssp370,ssp585
0,1800,,,,,,
1,1801,,,,,,
2,1802,,,,,,
3,1803,,,,,,
4,1804,,,,,,
5,1805,,,,,,
6,1806,,,,,,
7,1807,,,,,,
8,1808,,,,,,
9,1809,,,,,,
10,1810,,,,,,
11,1811,,,,,,
12,1812,,,,,,
13,1813,,,,,,
14,1814,,,,,,
15,1815,,,,,,
16,1816,,,,,,
17,1817,,,,,,
18,1818,,,,,,
19,1819,,,,,,
20,1820,,,,,,
21,1821,,,,,,
22,1822,,,,,,
23,1823,,,,,,
24,1824,,,,,,
25,1825,,,,,,
26,1826,,,,,,
27,1827,,,,,,
28,1828,,,,,,
29,1829,,,,,,
30,1830,,,,,,
31,1831,,,,,,
32,1832,,,,,,
33,1833,,,,,,
34,1834,,,,,,
35,1835,,,,,,
36,1836,,,,,,
37,1837,,,,,,
38,1838,,,,,,
39,1839,,,,,,
40,1840,,,,,,
41,1841,,,,,,
42,1842,,,,,,
43,1843,,,,,,
44,1844,,,,,,
45,1845,,,,,,
46,1846,,,,,,
47,1847,,,,,,
48,1848,,,,,,
49,1849,-0.3175,-0.28,,,,
50,1850,-0.34750000000000003,-0.28,,,,
51,1851,-0.13750000000000007,-0.27,,,,
52,1852,,,,,,
53,1853,,,,,,
54,1854,,,,,,
55,1855,,,,,,
56,1856,,,,,,
57,1857,,,,,,
58,1858,,,,,,
59,1859,,,,,,
60,1860,,,,,,
61,1861,,,,,,
62,1862,,,,,,
63,1863,,,,,,
64,1864,,,,,,
65,1865,,,,,,
66,1866,,,,,,
67,1867,,,,,,
68,1868,,,,,,
69,1869,,,,,,
70,1870,,,,,,
71,1871,,,,,,
72,1872,,,,,,
73,1873,,,,,,
74,1874,-0.10750000000000004,-0.11,,,,
75,1875,-0.3975000000000001,-0.08,,,,
76,1876,-0.14750000000000008,-0.06,,,,
77,1877,0.19249999999999995,-0.04,,,,
78,1878,0.4624999999999999,-0.02,,,,
79,1879,-0.1775000000000001,0.0,,,,
80,1880,-0.06750000000000006,0.03,,,,
81,1881,0.39249999999999996,0.04,,,,
82,1882,-0.06750000000000006,0.06,,,,
83,1883,0.27249999999999996,0.07,,,,
84,1884,,,,,,
85,1885,-0.24750000000000005,0.05,,,,
86,1886,0.27249999999999996,0.05,,,,
87,1887,-0.05750000000000005,0.06,,,,
88,1888,0.15249999999999994,0.07,,,,
89,1889,0.062499999999999944,0.07,,,,
90,1890,-0.5375000000000001,0.08,,,,
91,1891,0.062499999999999944,0.08,,,,
92,1892,0.17249999999999993,0.09,,,,
93,1893,0.4124999999999999,0.09,,,,
94,1894,0.09249999999999992,0.09,,,,
95,1895,0.5125,0.1,,,,
96,1896,-0.3275,0.11,,,,
97,1897,-0.03750000000000003,0.1,,,,
98,1898,-0.10750000000000004,0.06,,,,
99,1899,0.6824999999999999,0.01,,,,
100,1900,0.09249999999999992,-0.05,,,,
101,1901,0.20249999999999993,-0.09,,,,
102,1902,0.09249999999999992,-0.13,,,,
103,1903,-0.5675,-0.16,,,,
104,1904,-0.7275000000000001,-0.18,,,,
105,1905,-0.5475000000000001,-0.21,,,,
106,1906,-0.02750000000000008,-0.23,,,,
107,1907,-0.47750000000000004,-0.23,,,,
108,1908,-0.15750000000000008,-0.19,,,,
109,1909,-0.21750000000000003,-0.14,,,,
110,1910,0.37249999999999994,-0.08,,,,
111,1911,-0.8375,-0.04,,,,
112,1912,-0.04750000000000004,-0.01,,,,
113,1913,0.10249999999999992,0.01,,,,
114,1914,0.5625,0.03,,,,
115,1915,0.21249999999999994,0.04,,,,
116,1916,-0.25750000000000006,0.05,,,,
117,1917,0.07249999999999995,0.06,,,,
118,1918,-0.2875000000000001,0.08,,,,
119,1919,0.10249999999999992,0.09,,,,
120,1920,0.0024999999999999467,0.12,,,,
121,1921,0.16249999999999995,0.15,,,,
122,1922,0.30249999999999994,0.18,,,,
123,1923,0.22249999999999995,0.2,,,,
124,1924,0.37249999999999994,0.21,,,,
125,1925,0.3424999999999999,0.23,,,,
126,1926,0.5924999999999999,0.25,,,,
127,1927,-0.08750000000000008,0.26,,,,
128,1928,0.062499999999999944,0.26,,,,
129,1929,-0.01750000000000007,0.26,,,,
130,1930,0.37249999999999994,0.25,,,,
131,1931,0.5725,0.25,,,,
132,1932,0.31249999999999994,0.27,,,,
133,1933,0.27249999999999996,0.31,,,,
134,1934,0.16249999999999995,0.35,,,,
135,1935,0.23249999999999993,0.4,,,,
136,1936,0.0024999999999999467,0.44,,,,
137,1937,0.7525,0.48,,,,
138,1938,0.8125,0.51,,,,
139,1939,0.42249999999999993,0.54,,,,
140,1940,0.7324999999999999,0.56,,,,
141,1941,1.0025,0.58,,,,
142,1942,0.6525,0.58,,,,
143,1943,0.21249999999999994,0.57,,,,
