Comoros,year,obs_anoms,smoothed_anoms,ssp126,ssp245,ssp370,ssp585
0,1800,,,,,,
1,1801,,,,,,
2,1802,,,,,,
3,1803,,,,,,
4,1804,,,,,,
5,1805,,,,,,
6,1806,,,,,,
7,1807,,,,,,
8,1808,,,,,,
9,1809,,,,,,
10,1810,,,,,,
11,1811,,,,,,
12,1812,,,,,,
13,1813,,,,,,
14,1814,,,,,,
15,1815,,,,,,
16,1816,,,,,,
17,1817,,,,,,
18,1818,,,,,,
19,1819,,,,,,
20,1820,,,,,,
21,1821,,,,,,
22,1822,,,,,,
23,1823,,,,,,
24,1824,,,,,,
25,1825,,,,,,
26,1826,,,,,,
27,1827,,,,,,
28,1828,,,,,,
29,1829,,,,,,
30,1830,,,,,,
31,1831,,,,,,
32,1832,,,,,,
33,1833,,,,,,
34,1834,,,,,,
35,1835,,,,,,
36,1836,,,,,,
37,1837,,,,,,
38,1838,,,,,,
39,1839,,,,,,
40,1840,,,,,,
41,1841,,,,,,
42,1842,,,,,,
43,1843,,,,,,
44,1844,,,,,,
45,1845,,,,,,
46,1846,,,,,,
47,1847,,,,,,
48,1848,,,,,,
49,1849,,,,,,
50,1850,,,,,,
51,1851,,,,,,
52,1852,,,,,,
53,1853,-0.05500000000000005,-0.02,,,,
54,1854,0.06499999999999995,-0.02,,,,
55,1855,-0.05500000000000005,-0.02,,,,
56,1856,-0.09499999999999997,-0.02,,,,
57,1857,-0.32499999999999996,-0.02,,,,
58,1858,0.09499999999999997,-0.02,,,,
59,1859,0.27499999999999997,-0.02,,,,
60,1860,0.04500000000000004,-0.02,,,,
61,1861,-0.08499999999999996,-0.02,,,,
62,1862,,,,,,
63,1863,,,,,,
64,1864,,,,,,
65,1865,,,,,,
66,1866,,,,,,
67,1867,,,,,,
68,1868,,,,,,
69,1869,,,,,,
70,1870,,,,,,
71,1871,,,,,,
72,1872,,,,,,
73,1873,,,,,,
74,1874,,,,,,
75,1875,,,,,,
76,1876,,,,,,
77,1877,,,,,,
78,1878,,,,,,
79,1879,,,,,,
80,1880,,,,,,
81,1881,,,,,,
82,1882,,,,,,
83,1883,,,,,,
84,1884,-0.19500000000000006,-0.13,,,,
85,1885,-0.05500000000000005,-0.1,,,,
86,1886,,,,,,
87,1887,-0.14500000000000002,-0.03,,,,
88,1888,0.20500000000000002,0.0,,,,
89,1889,0.44499999999999995,0.04,,,,
90,1890,-0.21499999999999997,0.07,,,,
91,1891,-0.06500000000000006,0.11,,,,
92,1892,0.33499999999999996,0.14,,,,
93,1893,-0.04500000000000004,0.18,,,,
94,1894,0.135,0.22,,,,
95,1895,0.245,0.25,,,,
96,1896,0.395,0.29,,,,
97,1897,0.475,0.33,,,,
98,1898,0.505,0.36,,,,
99,1899,0.185,0.38,,,,
100,1900,0.735,0.38,,,,
101,1901,0.195,0.36,,,,
102,1902,0.685,0.34,,,,
103,1903,0.45499999999999996,0.32,,,,
104,1904,-0.16500000000000004,0.29,,,,
105,1905,0.345,0.25,,,,
106,1906,0.14500000000000002,0.22,,,,
107,1907,-0.05500000000000005,0.19,,,,
108,1908,0.44499999999999995,0.17,,,,
109,1909,0.20500000000000002,0.17,,,,
110,1910,-0.14500000000000002,0.18,,,,
111,1911,-0.14500000000000002,0.19,,,,
112,1912,0.355,0.2,,,,
113,1913,0.21499999999999997,0.22,,,,
114,1914,0.385,0.23,,,,
115,1915,0.415,0.25,,,,
116,1916,0.20500000000000002,0.27,,,,
117,1917,0.185,0.3,,,,
118,1918,0.15499999999999997,0.32,,,,
119,1919,0.565,0.34,,,,
120,1920,0.22499999999999998,0.36,,,,
121,1921,0.305,0.39,,,,
122,1922,0.365,0.42,,,,
123,1923,0.565,0.45,,,,
124,1924,0.515,0.47,,,,
125,1925,0.625,0.48,,,,
126,1926,0.735,0.49,,,,
127,1927,0.315,0.49,,,,
128,1928,0.505,0.48,,,,
129,1929,0.515,0.47,,,,
130,1930,0.22499999999999998,0.45,,,,
131,1931,0.655,0.44,,,,
132,1932,0.405,0.44,,,,
133,1933,0.315,0.44,,,,
134,1934,0.345,0.46,,,,
135,1935,0.385,0.48,,,,
136,1936,0.625,0.5,,,,
137,1937,0.385,0.52,,,,
138,1938,0.765,0.53,,,,
139,1939,0.475,0.53,,,,
140,1940,0.725,0.53,,,,
141,1941,0.815,0.52,,,,
142,1942,0.5549999999999999,0.51,,,,
143,1943,0.03500000000000003,0.5,,,,
144,1944,0.365,0.49,,,,
145,1945,0.325,0.47,,,,
146,1946,0.515,0.46,,,,
147,1947,0.385,0.46,,,,
148,1948,0.675,0.48,,,,
149,1949,0.525,0.51,,,,
150,1950,0.285,0.53,,,,
151,1951,0.45499999999999996,0.54,,,,
152,1952,0.745,0.55,,,,
153,1953,0.785,0.56,,,,
154,1954,0.705,0.57,,,,
