Costa Rica,year,obs_anoms,smoothed_anoms,ssp126,ssp245,ssp370,ssp585
0,1800,,,,,,
1,1801,,,,,,
2,1802,,,,,,
3,1803,,,,,,
4,1804,,,,,,
5,1805,,,,,,
6,1806,,,,,,
7,1807,,,,,,
8,1808,,,,,,
9,1809,,,,,,
10,1810,,,,,,
11,1811,,,,,,
12,1812,,,,,,
13,1813,,,,,,
14,1814,,,,,,
15,1815,,,,,,
16,1816,,,,,,
17,1817,,,,,,
18,1818,,,,,,
19,1819,,,,,,
20,1820,,,,,,
21,1821,,,,,,
22,1822,,,,,,
23,1823,,,,,,
24,1824,,,,,,
25,1825,-0.09433333333333338,-0.19,,,,
26,1826,0.05566666666666664,-0.21,,,,
27,1827,,,,,,
28,1828,,,,,,
29,1829,,,,,,
30,1830,0.24566666666666664,-0.29,,,,
31,1831,-0.4043333333333333,-0.3,,,,
32,1832,-0.6843333333333333,-0.32,,,,
33,1833,,,,,,
34,1834,-0.11433333333333329,-0.34,,,,
35,1835,-0.8843333333333333,-0.35,,,,
36,1836,,,,,,
37,1837,-0.7943333333333332,-0.36,,,,
38,1838,-0.6743333333333333,-0.37,,,,
39,1839,,,,,,
40,1840,,,,,,
41,1841,,,,,,
42,1842,,,,,,
43,1843,,,,,,
44,1844,,,,,,
45,1845,,,,,,
46,1846,,,,,,
47,1847,,,,,,
48,1848,,,,,,
49,1849,,,,,,
50,1850,,,,,,
51,1851,-0.08433333333333337,-0.17,,,,
52,1852,-0.2443333333333333,-0.15,,,,
53,1853,-0.18433333333333335,-0.14,,,,
54,1854,-0.2843333333333333,-0.14,,,,
55,1855,-0.18433333333333335,-0.14,,,,
56,1856,0.13566666666666666,-0.14,,,,
57,1857,-0.1343333333333333,-0.14,,,,
58,1858,0.08566666666666667,-0.15,,,,
59,1859,-0.044333333333333336,-0.14,,,,
60,1860,-0.23433333333333328,-0.15,,,,
61,1861,-0.18433333333333335,-0.15,,,,
62,1862,-0.5243333333333334,-0.15,,,,
63,1863,-0.044333333333333336,-0.15,,,,
64,1864,-0.32433333333333336,-0.15,,,,
65,1865,-0.054333333333333345,-0.14,,,,
66,1866,-0.33433333333333337,-0.13,,,,
67,1867,0.16566666666666668,-0.11,,,,
68,1868,-0.06433333333333335,-0.09,,,,
69,1869,0.9156666666666666,-0.06,,,,
70,1870,-0.1343333333333333,-0.03,,,,
71,1871,-0.20433333333333337,-0.0,,,,
72,1872,0.31566666666666665,0.02,,,,
73,1873,-0.10433333333333328,0.05,,,,
74,1874,0.035666666666666624,0.07,,,,
75,1875,0.1156666666666667,0.09,,,,
76,1876,0.12566666666666665,0.1,,,,
77,1877,0.39566666666666667,0.1,,,,
78,1878,0.9456666666666667,0.09,,,,
79,1879,0.025666666666666615,0.08,,,,
80,1880,0.10566666666666669,0.06,,,,
81,1881,0.19566666666666666,0.04,,,,
82,1882,-0.014333333333333309,0.01,,,,
83,1883,-0.09433333333333338,-0.02,,,,
84,1884,-0.2543333333333333,-0.05,,,,
85,1885,-0.1343333333333333,-0.07,,,,
86,1886,0.06566666666666665,-0.09,,,,
87,1887,-0.30433333333333334,-0.11,,,,
88,1888,-0.20433333333333337,-0.12,,,,
89,1889,0.3456666666666667,-0.11,,,,
90,1890,-0.7043333333333334,-0.09,,,,
91,1891,0.16566666666666668,-0.06,,,,
92,1892,-0.29433333333333334,-0.02,,,,
93,1893,-0.29433333333333334,0.02,,,,
94,1894,-0.1343333333333333,0.06,,,,
95,1895,0.1156666666666667,0.1,,,,
96,1896,0.38566666666666666,0.13,,,,
97,1897,0.7056666666666667,0.16,,,,
98,1898,0.16566666666666668,0.19,,,,
99,1899,0.38566666666666666,0.22,,,,
100,1900,0.5156666666666667,0.23,,,,
101,1901,0.015666666666666718,0.23,,,,
102,1902,0.20566666666666666,0.21,,,,
103,1903,0.3456666666666667,0.19,,,,
104,1904,-0.054333333333333345,0.15,,,,
105,1905,0.22566666666666668,0.12,,,,
106,1906,0.08566666666666667,0.09,,,,
107,1907,0.025666666666666615,0.06,,,,
108,1908,0.04566666666666663,0.05,,,,
109,1909,0.1156666666666667,0.05,,,,
110,1910,-0.44433333333333336,0.05,,,,
111,1911,-0.10433333333333328,0.06,,,,
112,1912,0.16566666666666668,0.06,,,,
113,1913,-0.2443333333333333,0.08,,,,
114,1914,0.39566666666666667,0.1,,,,
115,1915,0.7756666666666667,0.13,,,,
116,1916,0.15566666666666668,0.17,,,,
117,1917,-0.44433333333333336,0.2,,,,
118,1918,0.005666666666666709,0.22,,,,
119,1919,0.44566666666666666,0.24,,,,
120,1920,0.45566666666666666,0.26,,,,
121,1921,0.32566666666666666,0.27,,,,
122,1922,0.3656666666666667,0.29,,,,
123,1923,0.19566666666666666,0.31,,,,
124,1924,0.1756666666666667,0.33,,,,
125,1925,0.16566666666666668,0.36,,,,
