Cuba,year,obs_anoms,smoothed_anoms,ssp126,ssp245,ssp370,ssp585
0,1800,-0.2970967741935483,0.39,,,,
1,1801,0.47290322580645167,0.36,,,,
2,1802,,,,,,
3,1803,0.41290322580645167,0.31,,,,
4,1804,,,,,,
5,1805,,,,,,
6,1806,,,,,,
7,1807,,,,,,
8,1808,,,,,,
9,1809,,,,,,
10,1810,,,,,,
11,1811,,,,,,
12,1812,,,,,,
13,1813,,,,,,
14,1814,,,,,,
15,1815,,,,,,
16,1816,,,,,,
17,1817,,,,,,
18,1818,,,,,,
19,1819,,,,,,
20,1820,-0.4170967741935483,-0.26,,,,
21,1821,-0.5670967741935484,-0.24,,,,
22,1822,-0.08709677419354833,-0.23,,,,
23,1823,-0.8270967741935484,-0.21,,,,
24,1824,0.2929032258064517,-0.2,,,,
25,1825,-0.06709677419354831,-0.19,,,,
26,1826,0.40290322580645166,-0.18,,,,
27,1827,0.7829032258064517,-0.16,,,,
28,1828,0.5329032258064517,-0.13,,,,
29,1829,-0.3870967741935484,-0.14,,,,
30,1830,0.49290322580645163,-0.18,,,,
31,1831,-0.2870967741935484,-0.22,,,,
32,1832,-0.35709677419354835,-0.27,,,,
33,1833,-0.25709677419354837,-0.31,,,,
34,1834,-0.007096774193548372,-0.34,,,,
35,1835,-0.8670967741935482,-0.36,,,,
36,1836,-0.8070967741935484,-0.36,,,,
37,1837,-0.5170967741935484,-0.36,,,,
38,1838,-0.48709677419354835,-0.36,,,,
39,1839,-0.2870967741935484,-0.34,,,,
40,1840,-0.19709677419354832,-0.32,,,,
41,1841,-0.5770967741935484,-0.27,,,,
42,1842,-0.07709677419354832,-0.22,,,,
43,1843,-0.13709677419354838,-0.15,,,,
44,1844,-0.7870967741935484,-0.09,,,,
45,1845,-0.8070967741935484,-0.04,,,,
46,1846,0.04290322580645167,-0.01,,,,
47,1847,0.012903225806451646,0.02,,,,
48,1848,0.17290322580645168,0.04,,,,
49,1849,0.5229032258064517,0.06,,,,
50,1850,0.3629032258064516,0.06,,,,
51,1851,0.13290322580645164,0.05,,,,
52,1852,-0.1670967741935483,0.03,,,,
53,1853,-0.0370967741935484,0.0,,,,
54,1854,-0.12709677419354837,-0.03,,,,
55,1855,-0.08709677419354833,-0.05,,,,
56,1856,0.32290322580645164,-0.07,,,,
57,1857,-0.5470967741935484,-0.09,,,,
58,1858,-0.33709677419354833,-0.1,,,,
59,1859,-0.02709677419354839,-0.11,,,,
60,1860,-0.20709677419354833,-0.11,,,,
61,1861,0.16290322580645167,-0.11,,,,
62,1862,-0.047096774193548296,-0.1,,,,
63,1863,-0.21709677419354834,-0.09,,,,
64,1864,-0.6770967741935483,-0.07,,,,
65,1865,0.012903225806451646,-0.05,,,,
66,1866,-0.2670967741935484,-0.04,,,,
67,1867,0.09290322580645166,-0.03,,,,
68,1868,0.07290322580645164,-0.02,,,,
69,1869,0.5129032258064516,-0.01,,,,
70,1870,-0.2670967741935484,0.01,,,,
71,1871,0.12290322580645163,0.03,,,,
72,1872,0.09290322580645166,0.06,,,,
73,1873,-0.3170967741935483,0.08,,,,
74,1874,0.032903225806451664,0.09,,,,
75,1875,0.14290322580645165,0.11,,,,
76,1876,0.12290322580645163,0.12,,,,
77,1877,0.25290322580645164,0.14,,,,
78,1878,0.5129032258064516,0.14,,,,
79,1879,0.06290322580645163,0.14,,,,
80,1880,0.3129032258064517,0.13,,,,
81,1881,0.07290322580645164,0.11,,,,
82,1882,0.10290322580645167,0.08,,,,
83,1883,0.40290322580645166,0.06,,,,
84,1884,-0.08709677419354833,0.04,,,,
85,1885,-0.08709677419354833,0.02,,,,
86,1886,-0.47709677419354835,-0.0,,,,
87,1887,-0.3270967741935483,-0.02,,,,
88,1888,0.012903225806451646,-0.04,,,,
89,1889,0.13290322580645164,-0.04,,,,
90,1890,-0.007096774193548372,-0.04,,,,
91,1891,0.12290322580645163,-0.02,,,,
92,1892,-0.21709677419354834,0.0,,,,
93,1893,-0.01709677419354838,0.04,,,,
94,1894,-0.06709677419354831,0.07,,,,
95,1895,-0.06709677419354831,0.09,,,,
96,1896,0.12290322580645163,0.1,,,,
97,1897,0.44290322580645164,0.11,,,,
98,1898,0.20290322580645165,0.12,,,,
99,1899,0.3529032258064516,0.13,,,,
100,1900,0.3529032258064516,0.14,,,,
101,1901,-0.24709677419354836,0.14,,,,
102,1902,0.13290322580645164,0.14,,,,
