Denmark,year,obs_anoms,smoothed_anoms,ssp126,ssp245,ssp370,ssp585
0,1800,-0.16967741935483877,-0.03,,,,
1,1801,0.7103225806451613,-0.04,,,,
2,1802,0.010322580645161283,-0.06,,,,
3,1803,-0.6396774193548387,-0.07,,,,
4,1804,-0.25967741935483873,-0.08,,,,
5,1805,-1.0896774193548389,-0.1,,,,
6,1806,0.48032258064516126,-0.11,,,,
7,1807,0.27032258064516124,-0.13,,,,
8,1808,-0.12967741935483873,-0.15,,,,
9,1809,-0.2296774193548387,-0.16,,,,
10,1810,-0.25967741935483873,-0.16,,,,
11,1811,1.1103225806451613,-0.15,,,,
12,1812,-1.1396774193548387,-0.13,,,,
13,1813,0.26032258064516123,-0.11,,,,
14,1814,-1.1096774193548389,-0.08,,,,
15,1815,-0.03967741935483876,-0.06,,,,
16,1816,-0.8796774193548389,-0.02,,,,
17,1817,0.12032258064516127,0.02,,,,
18,1818,0.6103225806451613,0.09,,,,
19,1819,0.7303225806451612,0.16,,,,
20,1820,-0.6796774193548387,0.24,,,,
21,1821,0.27032258064516124,0.31,,,,
22,1822,1.4503225806451612,0.36,,,,
23,1823,-0.3296774193548387,0.38,,,,
24,1824,0.8003225806451613,0.39,,,,
25,1825,0.7703225806451612,0.38,,,,
26,1826,1.1603225806451614,0.37,,,,
27,1827,0.1403225806451613,0.37,,,,
28,1828,0.41032258064516125,0.36,,,,
29,1829,-1.689677419354839,0.34,,,,
30,1830,-0.4996774193548387,0.29,,,,
31,1831,0.5603225806451613,0.23,,,,
32,1832,0.15032258064516124,0.15,,,,
33,1833,0.24032258064516127,0.07,,,,
34,1834,1.5503225806451613,0.02,,,,
35,1835,0.3103225806451613,-0.02,,,,
36,1836,-0.16967741935483877,-0.04,,,,
37,1837,-0.4296774193548388,-0.06,,,,
38,1838,-1.5096774193548388,-0.09,,,,
39,1839,-0.3096774193548388,-0.13,,,,
40,1840,-0.6896774193548387,-0.16,,,,
41,1841,0.030322580645161246,-0.18,,,,
42,1842,0.6503225806451612,-0.19,,,,
43,1843,0.36032258064516126,-0.19,,,,
44,1844,-0.9596774193548387,-0.17,,,,
45,1845,-0.7696774193548388,-0.14,,,,
46,1846,1.3203225806451613,-0.11,,,,
47,1847,-0.0896774193548387,-0.1,,,,
48,1848,0.030322580645161246,-0.11,,,,
49,1849,-0.5596774193548388,-0.12,,,,
50,1850,-0.3596774193548387,-0.12,,,,
51,1851,0.07032258064516128,-0.1,,,,
52,1852,0.7503225806451612,-0.07,,,,
53,1853,-0.6596774193548387,-0.05,,,,
54,1854,0.28032258064516125,-0.02,,,,
55,1855,-1.2996774193548388,-0.0,,,,
56,1856,-0.4696774193548387,0.01,,,,
57,1857,1.0203225806451612,0.03,,,,
58,1858,0.24032258064516127,0.04,,,,
59,1859,0.9903225806451612,0.04,,,,
60,1860,-0.7996774193548388,0.05,,,,
61,1861,0.20032258064516129,0.07,,,,
62,1862,-0.14967741935483875,0.07,,,,
63,1863,1.0203225806451612,0.06,,,,
64,1864,-0.9496774193548387,0.04,,,,
65,1865,0.06032258064516127,0.02,,,,
66,1866,0.42032258064516126,0.02,,,,
67,1867,-0.9096774193548387,0.02,,,,
68,1868,1.2203225806451612,0.03,,,,
69,1869,0.09032258064516124,0.04,,,,
70,1870,-0.7496774193548388,0.03,,,,
71,1871,-1.1496774193548387,0.03,,,,
72,1872,1.1103225806451613,0.02,,,,
73,1873,0.6503225806451612,0.01,,,,
74,1874,0.5103225806451612,0.01,,,,
75,1875,-0.37967741935483873,0.01,,,,
76,1876,-0.25967741935483873,0.02,,,,
77,1877,-0.3496774193548387,0.04,,,,
78,1878,0.6603225806451613,0.05,,,,
79,1879,-1.2996774193548388,0.05,,,,
80,1880,0.49032258064516127,0.03,,,,
81,1881,-1.1696774193548387,0.0,,,,
82,1882,0.8603225806451613,-0.01,,,,
83,1883,0.22032258064516125,-0.02,,,,
84,1884,0.9003225806451612,-0.01,,,,
85,1885,-0.25967741935483873,-0.02,,,,
86,1886,-0.17967741935483877,-0.02,,,,
87,1887,-0.24967741935483873,-0.02,,,,
88,1888,-1.1196774193548389,-0.02,,,,
89,1889,0.29032258064516125,-0.02,,,,
90,1890,0.10032258064516125,-0.01,,,,
91,1891,0.030322580645161246,0.02,,,,
92,1892,-0.5396774193548388,0.06,,,,
93,1893,-0.06967741935483879,0.11,,,,
94,1894,0.8503225806451613,0.17,,,,
95,1895,-0.3696774193548387,0.21,,,,
96,1896,0.7003225806451613,0.24,,,,
97,1897,0.35032258064516125,0.27,,,,
98,1898,0.7203225806451613,0.29,,,,
99,1899,0.6703225806451613,0.31,,,,
100,1900,0.26032258064516123,0.33,,,,
101,1901,0.3803225806451613,0.33,,,,
102,1902,-0.8196774193548388,0.33,,,,
103,1903,0.48032258064516126,0.32,,,,
104,1904,0.3303225806451613,0.32,,,,
105,1905,0.35032258064516125,0.34,,,,
106,1906,0.7403225806451612,0.36,,,,
107,1907,-0.13967741935483874,0.4,,,,
108,1908,0.29032258064516125,0.43,,,,
109,1909,-0.4996774193548387,0.46,,,,
110,1910,1.1003225806451613,0.47,,,,
111,1911,1.3103225806451613,0.46,,,,
112,1912,0.19032258064516128,0.46,,,,
113,1913,1.0703225806451613,0.45,,,,
114,1914,1.4603225806451612,0.45,,,,
115,1915,-0.4396774193548388,0.44,,,,
116,1916,0.39032258064516123,0.41,,,,
117,1917,-0.06967741935483879,0.37,,,,
118,1918,0.5703225806451613,0.33,,,,
119,1919,-0.5496774193548388,0.28,,,,
120,1920,0.8303225806451613,0.25,,,,
121,1921,1.1603225806451614,0.23,,,,
122,1922,-0.6196774193548389,0.22,,,,
123,1923,-0.28967741935483876,0.22,,,,
124,1924,-0.13967741935483874,0.23,,,,
125,1925,0.7603225806451612,0.25,,,,
126,1926,0.7103225806451613,0.28,,,,
127,1927,0.11032258064516126,0.33,,,,
128,1928,0.17032258064516126,0.39,,,,
129,1929,-0.5296774193548388,0.46,,,,
130,1930,1.1003225806451613,0.54,,,,
131,1931,-0.16967741935483877,0.61,,,,
132,1932,0.9903225806451612,0.68,,,,
133,1933,0.7603225806451612,0.72,,,,
134,1934,1.9503225806451612,0.76,,,,
135,1935,0.9103225806451613,0.78,,,,
136,1936,0.8203225806451613,0.79,,,,
137,1937,0.7903225806451613,0.8,,,,
138,1938,1.5903225806451613,0.81,,,,
139,1939,0.9903225806451612,0.81,,,,
140,1940,-1.0096774193548388,0.8,,,,
141,1941,-0.7996774193548388,0.79,,,,
142,1942,-1.0596774193548388,0.78,,,,
143,1943,1.3103225806451613,0.77,,,,
144,1944,0.9303225806451613,0.76,,,,
